year,test_rows,kept_rows,real_yield_rank250_le_q20,events,pf_x4,pf_x6,total_x4,total_x6,win_rate_x4,median_x4,avg_x4,scope_type,scope_value,macro_feature,macro_gate,overlay_name,london_range_ge_q40,prior_day_range_ge_q30,us10y_rank250_le_q30,london_range_ge_q60,prior_day_range_ge_q25,us10y_rank250_le_q20,real_yield_z60_le_q20,oil_rank250_le_q30,real_yield_ret_1_le_q30,dxy_ret_5_le_q30,dxy_chg_5_le_q30,real_yield_chg_5_le_q30,us10y_ret_5_le_q30,us10y_chg_5_le_q30,spx_chg_5_ge_q70
2025,38,18,,18.0,inf,inf,100.25746,87.65745999999999,1.0,4.459860000000001,5.569858888888889,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,,,0.524,13.072000000000205,12.740000000000007,,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,,,0.4718453373252134,15.150000000000093,13.519999999999982,,,,,,,,,,
2023,50,0,,,,,,,,,,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,,,0.4313725490196078,11.527999999999974,5.41250000000008,,,,,,,,,,
2024,50,22,,22.0,2.5939202769630234,1.0971096487818923,16.574379999999998,1.1743800000000046,0.9090909090909091,1.1495700000000002,0.753380909090909,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,,,0.5897312087558346,11.387999999999964,10.134999999999932,,,,,,,,,,
2025,38,18,,18.0,inf,inf,100.25746,87.65745999999999,1.0,4.459860000000001,5.569858888888889,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,,,0.524,13.072000000000205,12.740000000000007,,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q60_prior_q25,,,0.4718453373252134,15.150000000000093,13.519999999999982,,,,,,,,,,
2023,50,0,,,,,,,,,,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,8.876000000000024,9.868999999999906,0.4313725490196078,,,,,,,,,,,,
2024,50,26,,26.0,1.4673439941926212,0.6167412363001573,9.347880000000004,-8.852119999999992,0.8461538461538461,1.1495700000000002,0.3595338461538463,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,9.139999999999967,11.819999999999936,0.5897312087558346,,,,,,,,,,,,
2025,38,18,,18.0,inf,inf,100.25746,87.65745999999999,1.0,4.459860000000001,5.569858888888889,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,10.64799999999991,15.211999999999808,0.524,,,,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,11.519999999999982,15.55599999999995,0.4718453373252134,,,,,,,,,,,,
