variant,family,side,bias_min,horizon_bars,horizon_minutes,cooldown_bars,decision,score,reasons,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,KEEP_EXACT_WATCHLIST_ONLY,9.173025,Positive exact replay but not robust enough for forward-shadow design.,351,7.02,311.7,-0.52,0.461538,1.187452,-201.88,188.85,1.109167,-56.85,0.969645,71,331.81,-4.12,1.484918,106,264.82,1.289915,53,134.38,-4.81,1.234075,4,5,-289.2825,0.855459,0.826667,0.826667
london_ny_handoff_continuation_short_bias3_h8,london_ny_handoff_continuation_short,SHORT,3.0,8,120,4,KEEP_EXACT_WATCHLIST_ONLY,8.474129,Positive exact replay but not robust enough for forward-shadow design.,304,6.08,293.2,-0.64,0.457237,1.191879,-182.2,186.8,1.117746,-26.0,0.984795,61,192.99,-4.6,1.298566,92,252.33,1.297468,50,102.74,-5.245,1.178971,4,5,-294.468,0.826114,0.793333,0.793333
london_ny_handoff_continuation_short_bias2_h24,london_ny_handoff_continuation_short,SHORT,2.0,24,360,4,KEEP_EXACT_WATCHLIST_ONLY,7.971692,Positive exact replay but not robust enough for forward-shadow design.,245,4.9,360.01,-0.85,0.465306,1.193195,-289.44,274.26,1.143634,102.76,1.051295,49,348.21,-1.64,1.461603,74,240.4,1.239846,35,73.88,-1.75,1.117004,5,5,-268.3235,0.874869,0.83,0.83
london_ny_handoff_continuation_short_bias3_h24,london_ny_handoff_continuation_short,SHORT,3.0,24,360,4,KEEP_EXACT_WATCHLIST_ONLY,6.462571,Positive exact replay but not robust enough for forward-shadow design.,210,4.2,282.47,-1.14,0.457143,1.165078,-254.75,208.97,1.119332,61.97,1.033805,42,107.69,-2.065,1.153529,63,191.39,1.209917,33,-6.31,-2.38,0.990007,3,5,-361.2975,0.833583,0.773333,0.773333
london_ny_handoff_continuation_short_bias1_h8,london_ny_handoff_continuation_short,SHORT,1.0,8,120,4,REJECT_EXACT_WEAK,7.129562,Exact replay does not preserve enough robust edge.,392,7.84,243.74,-0.57,0.459184,1.132111,-215.16,106.54,1.055482,-167.86,0.919297,79,165.27,-4.99,1.194252,118,167.14,1.157724,55,61.63,-4.99,1.095279,4,5,-344.779,0.839393,0.703333,0.703333
london_ny_handoff_continuation_short_bias2_h16,london_ny_handoff_continuation_short,SHORT,2.0,16,240,4,REJECT_EXACT_WEAK,6.739053,Exact replay does not preserve enough robust edge.,245,4.9,183.33,-0.88,0.469388,1.104624,-234.47,97.58,1.054253,-73.92,0.960996,49,330.58,-3.19,1.430174,74,209.41,1.21696,35,12.1,-3.19,1.019028,5,5,-430.321,0.783025,0.713333,0.713333
london_ny_handoff_continuation_short_bias1_h16,london_ny_handoff_continuation_short,SHORT,1.0,16,240,4,REJECT_EXACT_WEAK,5.768334,Exact replay does not preserve enough robust edge.,275,5.5,151.53,-0.7,0.483636,1.078245,-282.02,55.28,1.027819,-137.22,0.934425,55,197.94,-3.57,1.21966,83,79.33,1.070552,37,-75.42,-3.57,0.895745,4,5,-539.579,0.769222,0.663333,0.663333
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,REJECT_EXACT_WEAK,5.723079,Exact replay does not preserve enough robust edge.,275,5.5,250.3,-0.76,0.472727,1.117474,-334.82,154.05,1.070615,-38.45,0.983175,55,164.74,-2.8,1.175663,83,57.96,1.046897,37,-48.72,-2.38,0.935387,4,5,-484.3085,0.804002,0.71,0.71
