path,status,reason,rows_read,rows_clean,rows_upserted,symbol,timeframe,first_utc,last_utc
/Users/vahid/Downloads/amarkets_xauusd_1h.csv,imported,ok,24339,24339,24339,XAUUSD,1h,2022-05-02T01:00:00+00:00,2026-06-16T12:00:00+00:00
/Users/vahid/Downloads/amarkets_xauusd_1m.csv,imported,ok,1456667,1456667,1456667,XAUUSD,1m,2022-05-02T01:01:00+00:00,2026-06-16T12:18:00+00:00
