period,events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters
2022,6,-15.85,-2.641667,-1.955,0.333333,0.250237,-19.77,0,1,1,2
2023,13,10.01,0.77,0.44,0.538462,1.99602,-8.35,1,1,3,4
2024,11,34.83,3.166364,2.35,0.727273,6.317557,-5.18,1,1,4,4
2025,13,68.9,5.3,1.81,0.923077,27.098485,-2.64,1,1,3,4
2026,5,39.87,7.974,11.64,0.8,3.501255,-15.94,1,1,1,2
