scenario,side_filter,tp_usd,sl_usd,passed,trade_count,total_net_usd,avg_net_usd,median_net_usd,win_rate,profit_factor,max_drawdown_usd,positive_fold_ratio,ambiguous_exit_count,ambiguous_exit_ratio
side=long|tp=24|sl=15,long,24.0,15.0,True,376,807.5899999999958,2.14784574468084,0.26000000000001366,0.5053191489361702,1.4049145888381354,-106.52000000000135,1.0,0,0.0
side=long|tp=18|sl=15,long,18.0,15.0,True,376,608.3499999999955,1.6179521276595625,1.5149999999997816,0.5212765957446809,1.315403359601823,-96.07000000000039,0.8,0,0.0
side=long|tp=24|sl=None,long,24.0,,True,376,726.6499999999943,1.9325797872340273,2.2300000000001545,0.5531914893617021,1.313897180476297,-192.6800000000011,1.0,0,0.0
side=long|tp=None|sl=None,long,,,True,376,717.5999999999947,1.9085106382978583,1.0949999999999362,0.5212765957446809,1.2800827446235494,-232.36000000000058,1.0,0,0.0
side=long|tp=18|sl=None,long,18.0,,True,376,595.7499999999939,1.5844414893616858,2.9350000000000818,0.5718085106382979,1.2744202971984462,-180.26000000000147,0.8,0,0.0
side=long|tp=None|sl=15,long,,15.0,False,376,787.0899999999978,2.0933244680851004,-0.8600000000002183,0.47606382978723405,1.368724322247883,-164.37000000000126,0.8,0,0.0
side=long|tp=24|sl=12,long,24.0,12.0,False,376,608.8099999999971,1.619175531914886,-1.3949999999999592,0.4734042553191489,1.3046410968500581,-117.31000000000077,0.6,0,0.0
side=long|tp=None|sl=12,long,,12.0,False,376,617.5899999999981,1.6425265957446757,-2.5950000000000046,0.44680851063829785,1.2941941446033356,-137.52000000000038,0.6,0,0.0
side=long|tp=18|sl=12,long,18.0,12.0,False,376,412.50999999999675,1.0971010638297787,-0.9200000000001637,0.4867021276595745,1.2119904002795625,-128.8100000000008,0.6,0,0.0
side=both|tp=None|sl=15,both,,15.0,False,668,645.0699999999981,0.9656736526946079,-2.3450000000001183,0.4431137724550898,1.1577242252791047,-192.22000000000162,0.8,0,0.0
side=both|tp=None|sl=None,both,,,False,668,734.6799999999988,1.0998203592814353,-0.5400000000000545,0.49251497005988026,1.1525926079777347,-325.3799999999992,0.8,0,0.0
side=both|tp=18|sl=15,both,18.0,15.0,False,668,525.0099999999957,0.7859431137724486,-0.5400000000000545,0.4940119760479042,1.1419744072343365,-151.19999999999996,0.8,0,0.0
side=both|tp=None|sl=12,both,,12.0,False,668,553.1999999999982,0.8281437125748476,-4.025000000000068,0.41467065868263475,1.1416250009600395,-166.29000000000119,0.6,0,0.0
side=both|tp=18|sl=None,both,18.0,,False,668,558.4999999999959,0.8360778443113711,2.2300000000001545,0.5479041916167665,1.134327460766039,-289.3099999999997,0.8,0,0.0
side=both|tp=24|sl=15,both,24.0,15.0,False,668,479.77999999999616,0.718233532934126,-1.3299999999999046,0.4655688622754491,1.1226136868952752,-143.9500000000004,1.0,0,0.0
side=both|tp=24|sl=None,both,24.0,,False,668,503.6699999999977,0.7539970059880204,0.7249999999999318,0.5209580838323353,1.111776885639909,-374.8799999999994,0.8,0,0.0
side=both|tp=18|sl=12,both,18.0,12.0,False,668,355.12999999999647,0.5316317365269408,-2.2100000000001274,0.4625748502994012,1.0989401951333666,-149.84000000000137,0.8,0,0.0
side=both|tp=24|sl=12,both,24.0,12.0,False,668,347.919999999997,0.520838323353289,-3.4550000000000183,0.4356287425149701,1.0921759587974096,-140.77000000000007,0.8,0,0.0
