candidate_id,signal_time,entry_time,exit_time,direction_label,entry_close,future_close,gross_return_bps,stress_return_bps,entry_spread_cost_bps,range_bps,prior_median_range
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-02 12:00:00+00:00,2022-05-02 12:05:00+00:00,2022-05-02 12:35:00+00:00,SHORT,1875.77,1865.95,52.35183418009637,49.36983044694264,2.665572005096574,18.304364763831344,12.416396728046237
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-06 00:45:00+00:00,2022-05-06 00:50:00+00:00,2022-05-06 01:20:00+00:00,SHORT,1872.17,1869.71,13.13983238701633,10.157828653862609,2.6706976396374262,15.222244773696689,15.667361499907841
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-09 02:30:00+00:00,2022-05-09 02:35:00+00:00,2022-05-09 03:05:00+00:00,SHORT,1875.55,1876.01,-2.4526138999228833,-5.434617633076606,2.6658846738290105,19.42327805169512,12.931027204700456
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-09 05:00:00+00:00,2022-05-09 05:05:00+00:00,2022-05-09 05:35:00+00:00,SHORT,1871.17,1873.4,-11.917677175243394,-14.899680908397116,2.9393374199030555,14.794874670853998,10.393260256154235
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-09 18:30:00+00:00,2022-05-09 18:35:00+00:00,2022-05-09 19:05:00+00:00,SHORT,1854.98,1855.59,-3.2884451584378263,-6.270448891591548,2.6954468511789886,16.392293465190445,16.706851649403696
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-09 20:00:00+00:00,2022-05-09 20:05:00+00:00,2022-05-09 20:35:00+00:00,SHORT,1852.69,1853.61,-4.965752500417476,-7.947756233571198,2.6987785328360383,10.799719207300608,16.427175019357648
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-10 23:30:00+00:00,2022-05-10 23:35:00+00:00,2022-05-11 00:05:00+00:00,SHORT,1836.23,1833.33,15.793228517125256,12.811224783971534,2.7229704339870278,21.472910887420117,14.49290328072745
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-11 00:30:00+00:00,2022-05-11 00:35:00+00:00,2022-05-11 01:05:00+00:00,SHORT,1832.66,1833.54,-4.801763556796578,-7.783767289950299,2.7282747481802403,9.878995944699156,14.49290328072745
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-12 15:45:00+00:00,2022-05-12 15:50:00+00:00,2022-05-12 16:20:00+00:00,SHORT,1834.01,1834.64,-3.435095773742287,-6.417099506896009,2.7262664870965807,14.43819092191861,18.179834582026743
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-12 18:30:00+00:00,2022-05-12 18:35:00+00:00,2022-05-12 19:05:00+00:00,SHORT,1821.63,1821.97,-1.866460258120025,-4.848463991273746,2.7447944972359917,8.454013460545907,18.179834582026743
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-12 22:15:00+00:00,2022-05-12 22:20:00+00:00,2022-05-12 22:50:00+00:00,SHORT,1822.4,1817.68,25.899912203687595,22.917908470533874,3.0179982440737487,26.928255433736506,15.466823326492026
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-17 18:00:00+00:00,2022-05-17 18:05:00+00:00,2022-05-17 18:35:00+00:00,SHORT,1819.62,1814.05,30.61078686758739,27.628783134433668,2.7478264692628134,27.630087073302192,13.622786031004
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-17 20:15:00+00:00,2022-05-17 20:20:00+00:00,2022-05-17 20:50:00+00:00,SHORT,1814.18,1814.31,-0.7165771863865865,-3.6985809195403085,2.756066101489378,14.397299265240727,13.622786031004
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-23 04:00:00+00:00,2022-05-23 04:05:00+00:00,2022-05-23 04:35:00+00:00,LONG,1854.49,1854.43,-0.3235390862174799,-3.305542819371202,2.6961590518147847,11.427154584607397,10.453667187920598
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-25 05:30:00+00:00,2022-05-25 05:35:00+00:00,2022-05-25 06:05:00+00:00,SHORT,1858.84,1858.29,2.9588345419721684,-0.023169191181553472,2.958834541972413,14.578435749982711,6.486231947004906
S51_VSQ_CW48_P20_B0_M3020_H6,2022-05-30 05:00:00+00:00,2022-05-30 05:05:00+00:00,2022-05-30 05:35:00+00:00,LONG,1861.64,1862.31,3.5989772458684026,0.6169735127146807,2.954384306310565,10.095314807356058,7.588792892693364
