time_utc,session_utc,broker_close,reference_close,basis_bps,abs_basis_bps,spread_points,spread_price,spread_cost_bps
2026-03-22T21:00:00Z,late_us,4475.74,4497.40385,-48.16967904716832,48.16967904716832,55.0,0.55,1.228847073333125
2026-03-22T21:05:00Z,late_us,4511.31,4497.72508,30.203980364225014,30.203980364225014,45.0,0.45,0.9974929676745778
2026-03-22T21:10:00Z,late_us,4507.99,4497.64953,22.990830946314524,22.990830946314524,45.0,0.45,0.9982275914542845
2026-03-22T21:15:00Z,late_us,4514.09,4497.49566,36.89684494326018,36.89684494326018,45.0,0.45,0.9968786621445297
2026-03-22T21:20:00Z,late_us,4527.66,4497.41635,67.24672044205876,67.24672044205876,45.0,0.45,0.9938908840328118
2026-03-22T21:25:00Z,late_us,4524.06,4497.44905,59.16898602775773,59.16898602775773,45.0,0.45,0.9946817681463109
2026-03-22T21:30:00Z,late_us,4512.69,4497.54472,33.674551211576905,33.674551211576905,45.0,0.45,0.9971879300372949
2026-03-22T21:35:00Z,late_us,4515.17,4497.48594,39.31987834074363,39.31987834074363,45.0,0.45,0.996640215097106
2026-03-22T21:40:00Z,late_us,4506.64,4497.48632,20.35288013950057,20.35288013950057,45.0,0.45,0.9985266185007011
2026-03-22T21:45:00Z,late_us,4506.24,4497.53388,19.357541782430836,19.357541782430836,45.0,0.45,0.9986152535151257
2026-03-22T21:50:00Z,late_us,4505.27,4492.24988,28.983516829656264,28.983516829656264,45.0,0.45,0.9988302587858219
2026-03-22T21:55:00Z,late_us,4497.8,4491.87103,13.19933266205093,13.19933266205093,45.0,0.45,1.0004891280181423
2026-03-22T22:00:00Z,late_us,4498.77,4468.52196,67.69137596450439,67.69137596450439,45.0,0.45,1.000273408064871
2026-03-22T22:05:00Z,late_us,4494.81,4508.19013,-29.679604484648372,29.679604484648372,45.0,0.45,1.0011546650470209
2026-03-22T22:10:00Z,late_us,4490.28,4502.93785,-28.110203652934068,28.110203652934068,45.0,0.45,1.002164675699511
2026-03-22T22:15:00Z,late_us,4490.89,4516.53763,-56.78604298487707,56.78604298487707,45.0,0.45,1.002028551133517
2026-03-22T22:20:00Z,late_us,4488.98,4525.73423,-81.21164021600195,81.21164021600195,45.0,0.45,1.0024549006678578
