session_utc,rows,median_spread_points,p90_spread_points,p95_spread_points,p99_spread_points,median_spread_cost_bps,p90_spread_cost_bps,p95_spread_cost_bps,p99_spread_cost_bps,median_abs_basis_bps,p95_abs_basis_bps
asia,5352,38.0,44.0,45.0,48.0,0.8362326399244755,0.9693023141564288,0.9951403107317746,1.0887325710422173,18.027441311361212,75.7342835347601
late_us,2304,41.0,44.0,45.0,53.0,0.9051011925184512,0.9802667647151044,1.0130251555695873,1.1368549591447896,15.3510588325337,108.7450897495625
london,3780,35.0,39.0,43.0,45.0,0.7744504875330532,0.8633864579547568,0.9443621394131902,1.0191252503040324,14.98698365705515,64.53395571831342
london_ny_overlap,3024,35.0,39.0,41.0,45.0,0.7720866419918948,0.8627409912473767,0.9302825364333848,1.019439949654564,23.979890638527973,102.70872646443306
new_york,2983,35.0,42.0,44.0,45.0,0.7714518724239019,0.9338974682021467,0.9708358651710342,1.0229470204992075,14.225099058385016,66.63667624292981
