stage,decision_scope,promotion,spec_id,spec_label,source_stage39d_classification,candidate,spec_type,dimension,bucket,dimension_a,bucket_a,dimension_b,bucket_b,segment,n,mean_final_bps,median_final_bps,cost_mean_bps,hit_rate_pct,median_mae_bps,mean_mae_bps,median_mfe_bps,mean_mfe_bps,touch_stop_50bps_pct,touch_stop_100bps_pct,touch_stop_150bps_pct,touch_target_50bps_pct,touch_target_100bps_pct,touch_target_150bps_pct,mean_after_cost_plus_slip_0bps,mean_after_cost_plus_slip_4bps,mean_after_cost_plus_slip_8bps,mean_after_cost_plus_slip_12bps,mean_after_cost_plus_slip_16bps
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,oos,17,84.7036431161629,38.08806294994138,76.7036431161629,82.35294117647058,-84.0532964712215,-132.00241190486656,130.16531416926824,175.81921397247172,76.47058823529412,41.17647058823529,29.411764705882355,88.23529411764706,82.35294117647058,35.294117647058826,76.7036431161629,72.7036431161629,68.7036431161629,64.7036431161629,60.703643116162894
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,first_half,25,22.988639011645958,9.9766525759315,14.988639011645962,52.0,-91.1998169466044,-103.52272622003387,80.93207230299937,118.98487700833014,80.0,44.0,20.0,80.0,48.0,24.0,14.988639011645962,10.988639011645962,6.988639011645962,2.9886390116459616,-1.0113609883540384
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,second_half,25,77.1583026777702,38.08806294994138,69.15830267777021,80.0,-82.78362030812004,-117.38123883854205,129.6164998874949,165.8597060472718,72.0,36.0,28.000000000000004,84.0,76.0,36.0,69.15830267777021,65.15830267777021,61.15830267777021,57.15830267777021,53.15830267777021
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,q1,12,-14.42542334293038,-2.9152782373326183,-22.425423342930372,50.0,-121.11363380062578,-139.18080620243217,70.2134932237175,92.50211217135688,100.0,75.0,33.33333333333333,83.33333333333334,41.66666666666667,16.666666666666664,-22.425423342930372,-26.425423342930372,-30.425423342930372,-34.42542334293037,-38.42542334293037
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,q2,13,57.52469656971644,9.9766525759315,49.52469656971644,53.84615384615385,-73.10010174532367,-70.60757546705082,120.250913607991,143.43050608861319,61.53846153846154,15.384615384615385,7.6923076923076925,76.92307692307693,53.84615384615385,30.76923076923077,49.52469656971644,45.52469656971644,41.52469656971644,37.52469656971644,33.52469656971644
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,q3,12,73.30112761263247,45.570741469422856,65.30112761263247,83.33333333333334,-72.7867335702226,-78.22799123967755,121.76016103259025,145.77395652100034,66.66666666666666,16.666666666666664,16.666666666666664,83.33333333333334,75.0,33.33333333333333,65.30112761263247,61.30112761263247,57.30112761263247,53.30112761263247,49.30112761263247
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,q4,13,80.71877196866654,33.7520856241591,72.71877196866654,76.92307692307693,-112.9315066166825,-153.52269816057085,130.16531416926824,184.40039791767614,76.92307692307693,53.84615384615385,38.46153846153847,84.61538461538461,76.92307692307693,38.46153846153847,72.71877196866654,68.71877196866654,64.71877196866654,60.718771968666545,56.718771968666545
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,recent_third,17,84.7036431161629,38.08806294994138,76.7036431161629,82.35294117647058,-84.0532964712215,-132.00241190486656,130.16531416926824,175.81921397247172,76.47058823529412,41.17647058823529,29.411764705882355,88.23529411764706,82.35294117647058,35.294117647058826,76.7036431161629,72.7036431161629,68.7036431161629,64.7036431161629,60.703643116162894
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,NA,,NA,train,104,22.38157613686137,27.831931788376842,14.381576136861367,56.730769230769226,-81.40424120059886,-97.69263524299956,96.30385064549719,119.53543357435635,69.23076923076923,38.46153846153847,22.115384615384613,75.0,48.07692307692308,29.807692307692307,14.381576136861367,10.381576136861367,6.3815761368613675,2.3815761368613675,-1.6184238631386325
Stage39E_FROZEN_RULE_OUT_OF_SAMPLE_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,FORWARD_ROBUSTNESS_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,NA,,NA,oos,52,82.19615418870657,91.43910055301353,74.19615418870657,73.07692307692307,-81.7090679867566,-168.417738985428,162.23619195898652,212.66189563489203,71.15384615384616,46.15384615384615,38.46153846153847,80.76923076923077,76.92307692307693,53.84615384615385,74.19615418870657,70.19615418870657,66.19615418870657,62.19615418870657,58.19615418870657
