variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,decision,score,reasons,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,pos_quarters,quarters,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1
pdl_sweep_reclaim_long_sweep3_reclaim1.55_new_york_only_h8_cool0,pdl_sweep_reclaim_refined,LONG,8,120,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,44,1.517241,34.83,2.025,0.545455,1.209353,-62.54,19.43,1.111872,-11.37,0.939643,9,78.18,12.49,3.896628,14,82.07,3.020931,4,15.77,9.3,1.61698,4,5,8,16,-110.4745,0.554519,0.68,0.68
pdl_sweep_reclaim_long_sweep3_reclaim1.55_new_york_only_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,44,1.517241,34.83,2.025,0.545455,1.209353,-62.54,19.43,1.111872,-11.37,0.939643,9,78.18,12.49,3.896628,14,82.07,3.020931,4,15.77,9.3,1.61698,4,5,8,16,-110.4745,0.554519,0.68,0.68
pdl_sweep_reclaim_long_sweep2.5_reclaim1.55_new_york_only_h8_cool0,pdl_sweep_reclaim_refined,LONG,8,120,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.5}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,53,1.766667,40.54,2.02,0.54717,1.208711,-69.37,21.99,1.108352,-15.11,0.931458,11,59.44,2.03,2.244817,16,48.61,1.656271,4,15.77,9.3,1.61698,4,5,7,16,-96.1375,0.63306,0.695,0.695
pdl_sweep_reclaim_long_sweep2_reclaim2_new_york_only_h6_cool0,pdl_sweep_reclaim_refined,LONG,6,90,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,79,2.135135,51.86,-0.9,0.455696,1.206236,-77.81,24.21,1.090776,-31.09,0.895605,16,117.99,8.265,4.359624,24,68.99,1.694903,4,64.44,14.72,999.0,4,5,6,17,-74.659,0.74205,0.75,0.75
pdl_sweep_reclaim_long_sweep3_reclaim1.55_london_new_york_h8_cool0,pdl_sweep_reclaim_refined,LONG,8,120,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,72,1.894737,55.72,-0.065,0.5,1.201818,-89.65,30.52,1.105489,-19.88,0.937073,15,130.37,4.16,3.081923,22,106.88,2.078507,10,41.02,3.03,1.87988,3,5,9,17,-124.4465,0.647516,0.75,0.75
pdl_sweep_reclaim_long_sweep3_reclaim1.55_london_new_york_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,72,1.894737,55.72,-0.065,0.5,1.201818,-89.65,30.52,1.105489,-19.88,0.937073,15,130.37,4.16,3.081923,22,106.88,2.078507,10,41.02,3.03,1.87988,3,5,9,17,-124.4465,0.647516,0.75,0.75
pdl_sweep_reclaim_long_sweep2.5_reclaim1.55_new_york_only_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.5}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,52,1.733333,38.07,1.575,0.538462,1.195995,-71.84,19.87,1.097906,-16.53,0.925017,11,59.44,2.03,2.244817,16,32.27,1.366955,4,15.77,9.3,1.61698,3,5,7,16,-98.619,0.602351,0.675,0.675
pdl_sweep_reclaim_long_sweep3_reclaim2_new_york_only_h8_cool0,pdl_sweep_reclaim_refined,LONG,8,120,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,48,1.548387,36.44,1.03,0.520833,1.195065,-79.03,19.64,1.10063,-13.96,0.934142,10,76.78,7.26,3.704473,15,80.67,2.920257,4,15.77,9.3,1.61698,4,5,7,16,-85.07,0.659101,0.645,0.645
pdl_sweep_reclaim_long_sweep3_reclaim2_new_york_only_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,48,1.548387,36.44,1.03,0.520833,1.195065,-79.03,19.64,1.10063,-13.96,0.934142,10,76.78,7.26,3.704473,15,80.67,2.920257,4,15.77,9.3,1.61698,4,5,7,16,-85.07,0.659101,0.645,0.645
pdl_sweep_reclaim_long_sweep2_reclaim1.55_new_york_only_h6_cool0,pdl_sweep_reclaim_refined,LONG,6,90,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,70,2.0,39.4,-0.84,0.457143,1.182797,-86.62,14.9,1.065057,-34.1,0.8673,14,117.19,9.325,4.944463,21,69.86,1.835146,4,64.44,14.72,999.0,4,5,7,17,-91.999,0.670581,0.685,0.685
