spec_id,stage40b_classification,stage,decision_scope,promotion,ea,paper_live,live,family,candidate,side,trigger,horizon_hours,params_json,year,month,hour_utc,weekday,session_utc,atr24_bps,ret24_bps,ret72_bps,spread,entry_idx,exit_idx,entry_ts,exit_ts,entry_close,exit_close,final_bps,mfe_bps,mae_bps,touch_target_50bps,touch_target_100bps,touch_target_150bps,touch_stop_50bps,touch_stop_100bps,touch_stop_150bps,cost_stressed_final_bps,candidate_classification,_event_time
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,5,10,Tuesday,LONDON_07_12,21.33479659903664,18.800333988742143,258.35631549917304,,395,467,2022-05-24T10:00:00+00:00,2022-05-27T10:00:00+00:00,1859.84,1858.12,-9.248107364074889,51.88618375774334,-103.82613558155506,True,False,False,True,True,False,-17.248107364074887,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-05-24 10:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,5,4,Monday,ASIA_00_06,20.88852340524496,4.41872245034336,-24.715768660406034,,485,557,2022-05-30T04:00:00+00:00,2022-06-02T05:00:00+00:00,1856.56,1844.2,-66.57474038005762,39.15844357305964,-152.32472960744593,False,False,False,True,True,True,-74.57474038005762,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-05-30 04:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,6,16,Thursday,NY_13_17,22.102335806354663,-2.548226542761212,27.40754033639492,,927,999,2022-06-23T16:00:00+00:00,2022-06-28T16:00:00+00:00,1843.95,1820.89,-125.05762086824411,1.952330594647833,-147.9975053553506,False,False,False,True,True,False,-133.05762086824413,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-06-23 16:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,7,15,Thursday,NY_13_17,24.094877744048137,-12.52458095327369,-61.38470856823397,,1405,1477,2022-07-21T15:00:00+00:00,2022-07-26T15:00:00+00:00,1706.5,1719.06,73.60093759156028,191.151479636682,-79.28508643422205,True,True,True,True,False,False,65.60093759156028,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-07-21 15:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,8,16,Thursday,NY_13_17,23.354860987427852,93.96208686398566,55.65580241344348,,1646,1718,2022-08-04T16:00:00+00:00,2022-08-09T16:00:00+00:00,1783.27,1797.55,80.07761023288707,95.10618134102032,-103.68592529454324,True,False,False,True,True,False,72.07761023288707,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-08-04 16:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,8,16,Tuesday,NY_13_17,19.492754752680728,72.84749656776279,80.07761023288707,,1718,1790,2022-08-09T16:00:00+00:00,2022-08-12T16:00:00+00:00,1797.55,1797.81,1.4464131734870378,56.35448249005748,-78.77388667908991,True,False,False,True,False,False,-6.553586826512962,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-08-09 16:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,8,15,Monday,NY_13_17,23.536502618208605,-75.78419071518128,-97.59626085021122,,1813,1885,2022-08-15T15:00:00+00:00,2022-08-18T15:00:00+00:00,1779.66,1767.1,-70.57527842396993,23.937156535518422,-112.32482609037642,False,False,False,True,True,False,-78.57527842396993,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-08-15 15:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,9,17,Wednesday,NY_13_17,26.052075810905524,47.1404586068025,-32.90431541552508,,2223,2295,2022-09-07T17:00:00+00:00,2022-09-12T17:00:00+00:00,1711.45,1729.96,108.153904583832,130.0651494346905,-44.52364953694277,True,True,False,False,False,False,100.153904583832,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-09-07 17:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,10,14,Thursday,NY_13_17,20.547942571467875,61.37874401347388,10.078240541957497,,2844,2916,2022-10-13T14:00:00+00:00,2022-10-18T14:00:00+00:00,1678.57,1652.71,-154.05970558272753,0.7148942254420199,-229.4810463668484,False,False,False,True,True,True,-162.05970558272753,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-10-13 14:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2022,10,10,Wednesday,LONDON_07_12,23.825176858842543,-70.04154188001266,-134.02123702681678,,2936,3008,2022-10-19T10:00:00+00:00,2022-10-24T10:00:00+00:00,1644.56,1649.08,27.48455513936765,156.51602860339509,-167.46120542880715,True,True,True,True,True,True,19.48455513936765,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2022-10-19 10:00:00
