timestamp,close
2022-05-02T00:00:00Z,32.34
2022-05-03T00:00:00Z,29.25
2022-05-04T00:00:00Z,25.42
2022-05-05T00:00:00Z,31.2
2022-05-06T00:00:00Z,30.19
2022-05-09T00:00:00Z,34.75
2022-05-10T00:00:00Z,32.99
2022-05-11T00:00:00Z,32.56
2022-05-12T00:00:00Z,31.77
2022-05-13T00:00:00Z,28.87
2022-05-16T00:00:00Z,27.47
2022-05-17T00:00:00Z,26.1
2022-05-18T00:00:00Z,30.96
2022-05-19T00:00:00Z,29.35
2022-05-20T00:00:00Z,29.43
2022-05-23T00:00:00Z,28.48
2022-05-24T00:00:00Z,29.45
2022-05-25T00:00:00Z,28.37
2022-05-26T00:00:00Z,27.5
2022-05-27T00:00:00Z,25.72
2022-05-30T00:00:00Z,26.54
2022-05-31T00:00:00Z,26.19
2022-06-01T00:00:00Z,25.69
2022-06-02T00:00:00Z,24.72
2022-06-03T00:00:00Z,24.79
2022-06-06T00:00:00Z,25.07
2022-06-07T00:00:00Z,24.02
2022-06-08T00:00:00Z,23.96
2022-06-09T00:00:00Z,26.09
2022-06-10T00:00:00Z,27.75
2022-06-13T00:00:00Z,34.02
2022-06-14T00:00:00Z,32.69
2022-06-15T00:00:00Z,29.62
2022-06-16T00:00:00Z,32.95
2022-06-17T00:00:00Z,31.13
2022-06-20T00:00:00Z,31.03
2022-06-21T00:00:00Z,30.19
2022-06-22T00:00:00Z,28.95
2022-06-23T00:00:00Z,29.05
2022-06-24T00:00:00Z,27.23
2022-06-27T00:00:00Z,26.95
2022-06-28T00:00:00Z,28.36
2022-06-29T00:00:00Z,28.16
2022-06-30T00:00:00Z,28.71
2022-07-01T00:00:00Z,26.7
2022-07-04T00:00:00Z,27.53
2022-07-05T00:00:00Z,27.54
2022-07-06T00:00:00Z,26.73
2022-07-07T00:00:00Z,26.08
2022-07-08T00:00:00Z,24.64
2022-07-11T00:00:00Z,26.17
2022-07-12T00:00:00Z,27.29
2022-07-13T00:00:00Z,26.82
2022-07-14T00:00:00Z,26.4
2022-07-15T00:00:00Z,24.23
2022-07-18T00:00:00Z,25.3
2022-07-19T00:00:00Z,24.5
2022-07-20T00:00:00Z,23.88
2022-07-21T00:00:00Z,23.11
2022-07-22T00:00:00Z,23.03
2022-07-25T00:00:00Z,23.36
2022-07-26T00:00:00Z,24.69
2022-07-27T00:00:00Z,23.24
2022-07-28T00:00:00Z,22.33
2022-07-29T00:00:00Z,21.33
2022-08-01T00:00:00Z,22.84
2022-08-02T00:00:00Z,23.93
2022-08-03T00:00:00Z,21.95
2022-08-04T00:00:00Z,21.44
2022-08-05T00:00:00Z,21.15
2022-08-08T00:00:00Z,21.29
2022-08-09T00:00:00Z,21.77
2022-08-10T00:00:00Z,19.74
2022-08-11T00:00:00Z,20.2
2022-08-12T00:00:00Z,19.53
2022-08-15T00:00:00Z,19.95
2022-08-16T00:00:00Z,19.69
2022-08-17T00:00:00Z,19.9
2022-08-18T00:00:00Z,19.56
2022-08-19T00:00:00Z,20.6
2022-08-22T00:00:00Z,23.8
2022-08-23T00:00:00Z,24.11
2022-08-24T00:00:00Z,22.82
2022-08-25T00:00:00Z,21.78
2022-08-26T00:00:00Z,25.56
2022-08-29T00:00:00Z,26.21
2022-08-30T00:00:00Z,26.21
2022-08-31T00:00:00Z,25.87
2022-09-01T00:00:00Z,25.56
2022-09-02T00:00:00Z,25.47
2022-09-05T00:00:00Z,25.99
2022-09-06T00:00:00Z,26.91
2022-09-07T00:00:00Z,24.64
2022-09-08T00:00:00Z,23.61
2022-09-09T00:00:00Z,22.79
2022-09-12T00:00:00Z,23.87
2022-09-13T00:00:00Z,27.27
2022-09-14T00:00:00Z,26.16
2022-09-15T00:00:00Z,26.27
2022-09-16T00:00:00Z,26.3
2022-09-19T00:00:00Z,25.76
2022-09-20T00:00:00Z,27.16
2022-09-21T00:00:00Z,27.99
2022-09-22T00:00:00Z,27.35
2022-09-23T00:00:00Z,29.92
2022-09-26T00:00:00Z,32.26
2022-09-27T00:00:00Z,32.6
2022-09-28T00:00:00Z,30.18
2022-09-29T00:00:00Z,31.84
2022-09-30T00:00:00Z,31.62
2022-10-03T00:00:00Z,30.1
2022-10-04T00:00:00Z,29.07
2022-10-05T00:00:00Z,28.55
2022-10-06T00:00:00Z,30.52
2022-10-07T00:00:00Z,31.36
2022-10-10T00:00:00Z,32.45
2022-10-11T00:00:00Z,33.63
2022-10-12T00:00:00Z,33.57
2022-10-13T00:00:00Z,31.94
2022-10-14T00:00:00Z,32.02
2022-10-17T00:00:00Z,31.37
2022-10-18T00:00:00Z,30.5
2022-10-19T00:00:00Z,30.76
2022-10-20T00:00:00Z,29.98
2022-10-21T00:00:00Z,29.69
2022-10-24T00:00:00Z,29.85
2022-10-25T00:00:00Z,28.46
2022-10-26T00:00:00Z,27.28
2022-10-27T00:00:00Z,27.39
2022-10-28T00:00:00Z,25.75
2022-10-31T00:00:00Z,25.88
2022-11-01T00:00:00Z,25.81
2022-11-02T00:00:00Z,25.86
2022-11-03T00:00:00Z,25.3
2022-11-04T00:00:00Z,24.55
2022-11-07T00:00:00Z,24.35
2022-11-08T00:00:00Z,25.54
2022-11-09T00:00:00Z,26.09
2022-11-10T00:00:00Z,23.53
2022-11-11T00:00:00Z,22.52
2022-11-14T00:00:00Z,23.73
2022-11-15T00:00:00Z,24.54
2022-11-16T00:00:00Z,24.11
2022-11-17T00:00:00Z,23.93
2022-11-18T00:00:00Z,23.12
2022-11-21T00:00:00Z,22.36
2022-11-22T00:00:00Z,21.29
2022-11-23T00:00:00Z,20.35
2022-11-24T00:00:00Z,20.42
2022-11-25T00:00:00Z,20.5
2022-11-28T00:00:00Z,22.21
2022-11-29T00:00:00Z,21.89
2022-11-30T00:00:00Z,20.58
2022-12-01T00:00:00Z,19.84
2022-12-02T00:00:00Z,19.06
2022-12-05T00:00:00Z,20.75
2022-12-06T00:00:00Z,22.17
2022-12-07T00:00:00Z,22.68
2022-12-08T00:00:00Z,22.29
2022-12-09T00:00:00Z,22.83
2022-12-12T00:00:00Z,25.0
2022-12-13T00:00:00Z,22.55
2022-12-14T00:00:00Z,21.14
2022-12-15T00:00:00Z,22.83
2022-12-16T00:00:00Z,22.62
2022-12-19T00:00:00Z,22.42
2022-12-20T00:00:00Z,21.48
2022-12-21T00:00:00Z,20.07
2022-12-22T00:00:00Z,21.97
2022-12-23T00:00:00Z,20.87
2022-12-27T00:00:00Z,21.65
2022-12-28T00:00:00Z,22.14
2022-12-29T00:00:00Z,21.44
2022-12-30T00:00:00Z,21.67
2023-01-03T00:00:00Z,22.9
2023-01-04T00:00:00Z,22.01
2023-01-05T00:00:00Z,22.46
2023-01-06T00:00:00Z,21.13
2023-01-09T00:00:00Z,21.97
2023-01-10T00:00:00Z,20.58
2023-01-11T00:00:00Z,21.09
2023-01-12T00:00:00Z,18.83
2023-01-13T00:00:00Z,18.35
2023-01-16T00:00:00Z,19.49
2023-01-17T00:00:00Z,19.36
2023-01-18T00:00:00Z,20.34
2023-01-19T00:00:00Z,20.52
2023-01-20T00:00:00Z,19.85
2023-01-23T00:00:00Z,19.81
2023-01-24T00:00:00Z,19.2
2023-01-25T00:00:00Z,19.08
2023-01-26T00:00:00Z,18.73
2023-01-27T00:00:00Z,18.51
2023-01-30T00:00:00Z,19.94
2023-01-31T00:00:00Z,19.4
2023-02-01T00:00:00Z,17.87
2023-02-02T00:00:00Z,18.73
2023-02-03T00:00:00Z,18.33
2023-02-06T00:00:00Z,19.43
2023-02-07T00:00:00Z,18.66
2023-02-08T00:00:00Z,19.63
2023-02-09T00:00:00Z,20.71
2023-02-10T00:00:00Z,20.53
2023-02-13T00:00:00Z,20.34
2023-02-14T00:00:00Z,18.91
2023-02-15T00:00:00Z,18.23
2023-02-16T00:00:00Z,20.17
2023-02-17T00:00:00Z,20.02
2023-02-20T00:00:00Z,21.23
2023-02-21T00:00:00Z,22.87
2023-02-22T00:00:00Z,22.29
2023-02-23T00:00:00Z,21.14
2023-02-24T00:00:00Z,21.67
2023-02-27T00:00:00Z,20.95
2023-02-28T00:00:00Z,20.7
2023-03-01T00:00:00Z,20.58
2023-03-02T00:00:00Z,19.59
2023-03-03T00:00:00Z,18.49
2023-03-06T00:00:00Z,18.61
2023-03-07T00:00:00Z,19.59
2023-03-08T00:00:00Z,19.11
2023-03-09T00:00:00Z,22.61
2023-03-10T00:00:00Z,24.8
2023-03-13T00:00:00Z,26.52
2023-03-14T00:00:00Z,23.73
2023-03-15T00:00:00Z,26.14
2023-03-16T00:00:00Z,22.99
2023-03-17T00:00:00Z,25.51
2023-03-20T00:00:00Z,24.15
2023-03-21T00:00:00Z,21.38
2023-03-22T00:00:00Z,22.26
2023-03-23T00:00:00Z,22.61
2023-03-24T00:00:00Z,21.74
