variant_id,guard_filter,signal_count,pf_x4,avg_net_x4,win_rate_x4,tail_pf_x4,recent_pf_x4,cost1_pf_x4,max_drawdown_x4,fatal_failed_gates,stage36f_decision,next_action
stage36e_prevday_high_sweep_continuation_long_h8,avoid_friday_late,5144,1.2500976629746754,1.4685905909797834,0.5297433903576982,0.09863692688971364,0.09863692688971364,1.073643843082884,-3181.0599999999968,tail_pf;recent_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h12,all_hours,2141,1.366553107047643,2.5468986454927647,0.523120037365717,1.0595514004006754,1.0595514004006754,1.207942593225107,-697.9999999999968,drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h12,low_spread_le_q50,2105,1.36172580326682,2.506380047505942,0.5216152019002376,1.0595514004006754,1.0595514004006754,1.2029933051061215,-697.9999999999968,drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h12,normal_spread_le_q75,2123,1.3655422591736908,2.539835138954314,0.5228450306170513,1.0595514004006754,1.0595514004006754,1.2069902838853066,-697.9999999999968,drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h12,exclude_rollover_23_00,2010,1.3594260195915233,2.457815920398013,0.5228855721393035,1.0595514004006754,1.0595514004006754,1.1989102130698408,-742.9599999999969,drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h12,london_ny_only_06_16,1246,1.214286927215939,1.519165329052973,0.5104333868378812,0.7104622871046278,0.7104622871046278,1.0683861159946428,-875.3600000000015,pf;win_rate;tail_pf;recent_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h12,ny_overlap_only_12_16,595,1.2481618195747561,1.6767731092436988,0.49747899159663866,0.256104772505913,0.256104772505913,1.093096376990852,-430.7500000000009,pf;win_rate;tail_pf;recent_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h12,avoid_friday_late,2017,1.3538413068928365,2.450039662865647,0.5235498264749628,1.5492263610315251,1.5492263610315251,1.195573414003949,-693.8099999999963,drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h4,all_hours,2142,1.2172491550809292,0.9107983193277325,0.5177404295051354,1.2020757334429482,1.2020757334429482,0.9810358568900475,-381.48999999999637,pf;win_rate;cost1_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h4,low_spread_le_q50,2106,1.212266079500422,0.8825451092117779,0.5170940170940171,1.2020757334429482,1.2020757334429482,0.9748497246646768,-377.39999999999714,pf;win_rate;cost1_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h4,normal_spread_le_q75,2124,1.2075287620179331,0.8682909604519788,0.5178907721280602,1.2020757334429482,1.2020757334429482,0.9719489817405171,-377.39999999999714,pf;win_rate;cost1_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h4,exclude_rollover_23_00,2011,1.1975906610052076,0.8140676280457505,0.5156638488314271,1.2020757334429482,1.2020757334429482,0.9598697061411987,-376.6299999999974,pf;win_rate;cost1_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h4,avoid_friday_late,2018,1.199566383011835,0.8388255698711616,0.5203171456888008,1.6412741527254784,1.6412741527254784,0.9657965692460423,-409.789999999997,pf;cost1_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h8,all_hours,2142,1.3294166152998739,1.8762044817927215,0.5140056022408963,1.21378283238559,1.21378283238559,1.1414108307753519,-565.2999999999975,win_rate;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h8,low_spread_le_q50,2106,1.311786996509365,1.7838746438746476,0.5123456790123457,1.21378283238559,1.21378283238559,1.1259471748783136,-565.2999999999975,win_rate;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h8,normal_spread_le_q75,2124,1.3175123059915412,1.8133286252354088,0.5131826741996234,1.21378283238559,1.21378283238559,1.1309155090215617,-565.2999999999975,win_rate;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h8,exclude_rollover_23_00,2011,1.297599180015507,1.6892342118349113,0.513674788662357,1.21378283238559,1.21378283238559,1.1115731651263532,-601.439999999996,win_rate;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h8,london_ny_only_06_16,1246,1.1251807928818223,0.759221508828252,0.5048154093097913,2.0580528574655617,2.0580528574655617,0.9633692343570479,-1014.3000000000011,pf;win_rate;cost1_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h8,ny_overlap_only_12_16,595,1.1601120614640155,1.0143193277310942,0.5159663865546219,0.2917146399787457,0.2917146399787457,1.002096967519155,-466.77000000000135,pf;win_rate;tail_pf;recent_pf;cost1_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll12_high_sweep_continuation_long_h8,avoid_friday_late,2018,1.3241093462596258,1.8196828543112031,0.5158572844400396,1.668653978445309,1.668653978445309,1.1340786288982527,-586.1599999999967,win_rate;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll24_high_sweep_continuation_long_h12,all_hours,1443,1.4460179210470798,3.105904365904367,0.5287595287595288,0.8232784041630474,0.8232784041630474,1.2826946047622771,-796.0099999999961,tail_pf;recent_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll24_high_sweep_continuation_long_h12,low_spread_le_q50,1410,1.4442601330318818,3.0770780141843987,0.526241134751773,0.7021447005428443,0.7021447005428443,1.2801599448993648,-796.0099999999961,tail_pf;recent_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
stage36e_roll24_high_sweep_continuation_long_h12,normal_spread_le_q75,1426,1.4446568383565952,3.096115007012625,0.5280504908835905,0.6644024027395679,0.6644024027395679,1.2813839406328518,-796.0099999999961,tail_pf;recent_pf;drawdown,BACKGROUND_ACCELERATION_ONLY_RESEARCH_ONLY,KEEP_BACKGROUND_ONLY_AND_RERUN_AFTER_NEW_DATA
