candidate_id,session,session_hour_utc,range_bars,breakout_window_bars,buffer_bps,m15_sma_window,horizon_m5_bars,trade_count,mean_bps,median_bps,win_rate,t_stat,total_bps,max_drawdown_bps,is_count,is_mean_bps,is_win_rate,oos_count,oos_mean_bps,oos_win_rate,positive_year_count,negative_year_count,max_year_share,max_month_share,worst_fold_mean_bps,cost_x1_5_mean_bps,cost_x2_mean_bps,decision,failure_reasons
S50_ORB_NEW_YORK_R6_W12_B5_M1540_H24,new_york,13,6,12,5.0,40,24,793,0.34965683996901187,-0.551616954459131,0.4905422446406053,0.20685714172145747,277.2778740954264,-800.2304996862052,634,-0.012006847729608715,0.48580441640378547,159,1.791762361987411,0.5094339622641509,2,3,0.2459016393442623,0.025220680958385876,-1.9002865801049,-1.1413450266078493,-2.6323468931847103,HARD_AUDIT_NO_PASS,win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W24_B0_M1520_H24,london,7,12,24,0.0,20,24,847,-0.986034637247946,-2.5283358281409662,0.4474616292798111,-1.0662664513035764,-835.1713377490104,-1688.9216198564288,677,-1.6791218504829861,0.4431314623338257,170,1.7740832648704197,0.4647058823529412,1,4,0.2514757969303424,0.02715466351829988,-3.4962414555724766,-2.4770365038248072,-3.968038370401668,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W12_B0_M1540_H48,london,7,12,12,0.0,40,48,607,-2.554477248066223,-4.416239401206564,0.42833607907743,-1.6133313102999625,-1550.5676895761974,-2239.6944107049444,485,-3.6020824663564133,0.41649484536082476,122,1.6101828410382226,0.47540983606557374,1,4,0.24382207578253706,0.03130148270181219,-6.453180836287647,-4.045479114643084,-5.536480981219945,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R6_W24_B5_M1540_H48,london,7,6,24,5.0,40,48,742,-2.7350410266462366,-4.401710607794739,0.41778975741239893,-1.8490845362139021,-2029.4004417715075,-2534.9882111253637,593,-3.812194409252225,0.42158516020236086,149,1.551884851778939,0.40268456375838924,1,4,0.25202156334231807,0.026954177897574125,-6.530049519774895,-4.226042893223098,-5.7170447597999585,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W12_B5_M1540_H24,london,7,12,12,5.0,40,24,411,-1.5611104454251576,-4.03097825566052,0.4282238442822384,-1.106663482419547,-641.6163930697398,-1055.6700322500908,328,-2.3301079806750424,0.42378048780487804,83,1.4778195733936634,0.4457831325301205,2,3,0.26034063260340634,0.0364963503649635,-5.962755209253954,-3.0521123120020186,-4.54311417857888,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_NEW_YORK_R6_W12_B0_M1520_H24,new_york,13,6,12,0.0,20,24,921,-0.3236777295875481,-1.316104686636342,0.48642779587404994,-0.20537813259470142,-298.1071889501318,-904.4904937942922,736,-0.7498218318579717,0.4782608695652174,185,1.3716847529585694,0.518918918918919,2,3,0.250814332247557,0.023887079261672096,-1.6431203390829792,-1.8146795961644093,-3.3056814627412705,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_NEW_YORK_R6_W24_B5_M1520_H12,new_york,13,6,24,5.0,20,12,963,0.24899859367975505,-2.8064285782088074,0.46313603322949115,0.1910565764189058,239.7856457136041,-735.8434834960816,770,0.01877225886108397,0.4701298701298701,193,1.1675181678267847,0.43523316062176165,2,3,0.24610591900311526,0.023883696780893044,-1.8550108767659426,-1.2420032728971062,-2.733005139473967,HARD_AUDIT_NO_PASS,win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R6_W24_B0_M1540_H12,london,7,6,24,0.0,40,12,888,-1.4537124024301453,-2.168902383329831,0.4313063063063063,-2.3402901926271364,-1290.896613357969,-1536.631682943661,710,-2.038613705202443,0.423943661971831,178,0.8793208839087956,0.4606741573033708,1,4,0.25,0.02364864864864865,-2.77502047634078,-2.9447142690070063,-4.435716135583867,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_NEW_YORK_R12_W12_B0_M1520_H12,new_york,13,12,12,0.0,20,12,717,-0.171144257728296,-2.0182463644263833,0.4714086471408647,-0.13200953056094328,-122.71043279118823,-1120.703515163932,573,-0.42502138753226093,0.47294938917975565,144,0.8390751546166477,0.4652777777777778,2,3,0.2482566248256625,0.026499302649930265,-1.6034493794491465,-1.6621461243051574,-3.153147990882018,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_NEW_YORK_R6_W24_B5_M1540_H24,new_york,13,6,24,5.0,40,24,916,0.06390934960423694,-0.6930570594901238,0.490174672489083,0.04235353975827171,58.540964237481035,-946.103065860931,732,-0.05843845220837135,0.4890710382513661,184,0.5506408220326569,0.4945652173913043,2,3,0.2445414847161572,0.024017467248908297,-2.5602432071407986,-1.4270925169726243,-2.9180943835494855,HARD_AUDIT_NO_PASS,win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
