event_utc,next_bar_theoretical_entry_utc,time_exit_target_utc,research_side,stage16a_signal,open,high,low,close,pdl,sweep_depth,reclaim_above_pdl,real_yield_10y,real_yield_10y_chg5,macro_real_yield_up,interpretation,authorization
2026-03-03 07:00:00+00:00,2026-03-03 07:15:00+00:00,2026-03-03 08:15:00+00:00,LONG,True,5307.79,5312.47,5290.8,5306.48,5304.95,14.149999999999636,1.5299999999997453,1.77,0.030000000000000027,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-03-12 15:30:00+00:00,2026-03-12 15:45:00+00:00,2026-03-12 16:45:00+00:00,LONG,True,5120.93,5132.35,5118.12,5125.61,5124.74,6.619999999999891,0.8699999999998909,1.89,0.08999999999999986,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-03-13 02:00:00+00:00,2026-03-13 02:15:00+00:00,2026-03-13 03:15:00+00:00,LONG,True,5111.18,5128.3,5108.8,5127.8,5127.02,18.220000000000255,0.7799999999997453,1.92,0.11999999999999988,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-03-16 00:00:00+00:00,2026-03-16 00:15:00+00:00,2026-03-16 01:15:00+00:00,LONG,True,4979.93,5009.64,4972.16,5009.64,5009.43,37.27000000000044,0.21000000000003638,1.87,0.020000000000000018,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-03-16 20:45:00+00:00,2026-03-16 21:00:00+00:00,2026-03-16 22:00:00+00:00,LONG,True,5013.57,5013.83,5007.56,5009.5,5009.43,1.8699999999998909,0.06999999999970896,1.87,0.020000000000000018,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-03-16 23:30:00+00:00,2026-03-16 23:45:00+00:00,2026-03-17 00:45:00+00:00,LONG,True,5006.08,5009.85,5005.31,5009.61,5009.43,4.119999999999891,0.17999999999938154,1.87,0.020000000000000018,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-04-22 21:30:00+00:00,2026-04-22 21:45:00+00:00,2026-04-22 22:45:00+00:00,LONG,True,4736.72,4738.33,4734.22,4738.04,4736.88,2.6599999999998545,1.1599999999998545,1.92,0.020000000000000018,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-04-30 00:45:00+00:00,2026-04-30 01:00:00+00:00,2026-04-30 02:00:00+00:00,LONG,True,4551.98,4556.39,4551.26,4555.33,4554.77,3.5100000000002183,0.5599999999994907,1.94,0.050000000000000044,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-04-30 06:30:00+00:00,2026-04-30 06:45:00+00:00,2026-04-30 07:45:00+00:00,LONG,True,4551.72,4558.67,4551.63,4556.02,4554.77,3.1400000000003274,1.25,1.94,0.050000000000000044,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-11 01:30:00+00:00,2026-05-11 01:45:00+00:00,2026-05-11 02:45:00+00:00,LONG,True,4682.02,4687.7,4676.08,4687.7,4686.55,10.470000000000255,1.1499999999996362,1.95,0.010000000000000009,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-11 04:30:00+00:00,2026-05-11 04:45:00+00:00,2026-05-11 05:45:00+00:00,LONG,True,4685.8,4690.11,4683.63,4688.09,4686.55,2.9200000000000728,1.5399999999999636,1.95,0.010000000000000009,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-11 04:45:00+00:00,2026-05-11 05:00:00+00:00,2026-05-11 06:00:00+00:00,LONG,True,4688.22,4688.69,4681.91,4686.64,4686.55,4.640000000000327,0.09000000000014552,1.95,0.010000000000000009,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-12 18:30:00+00:00,2026-05-12 18:45:00+00:00,2026-05-12 19:45:00+00:00,LONG,True,4677.36,4682.15,4676.83,4679.43,4678.79,1.9600000000000364,0.6400000000003274,1.99,0.030000000000000027,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-12 18:45:00+00:00,2026-05-12 19:00:00+00:00,2026-05-12 20:00:00+00:00,LONG,True,4679.38,4680.51,4675.93,4678.9,4678.79,2.8599999999996726,0.10999999999967258,1.99,0.030000000000000027,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-20 03:15:00+00:00,2026-05-20 03:30:00+00:00,2026-05-20 04:30:00+00:00,LONG,True,4482.21,4486.57,4475.9,4480.52,4480.4,4.5,0.12000000000080036,2.13,0.029999999999999805,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-20 08:45:00+00:00,2026-05-20 09:00:00+00:00,2026-05-20 10:00:00+00:00,LONG,True,4484.76,4484.76,4475.87,4481.32,4480.4,4.529999999999745,0.9200000000000728,2.13,0.029999999999999805,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-05-20 09:15:00+00:00,2026-05-20 09:30:00+00:00,2026-05-20 10:30:00+00:00,LONG,True,4478.84,4484.13,4476.79,4481.94,4480.4,3.6099999999996726,1.5399999999999636,2.13,0.029999999999999805,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-06-02 06:15:00+00:00,2026-06-02 06:30:00+00:00,2026-06-02 07:30:00+00:00,LONG,True,4516.97,4518.97,4515.0,4518.65,4517.86,2.8599999999996726,0.7899999999999636,2.07,0.009999999999999787,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-06-03 10:15:00+00:00,2026-06-03 10:30:00+00:00,2026-06-03 11:30:00+00:00,LONG,True,4444.28,4458.72,4443.91,4449.0,4447.54,3.630000000000109,1.4600000000000364,2.11,0.040000000000000036,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-06-04 03:00:00+00:00,2026-06-04 03:15:00+00:00,2026-06-04 04:15:00+00:00,LONG,True,4461.75,4467.11,4456.82,4464.2,4462.84,6.020000000000437,1.3599999999996726,2.11,0.040000000000000036,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-06-04 09:45:00+00:00,2026-06-04 10:00:00+00:00,2026-06-04 11:00:00+00:00,LONG,True,4467.16,4467.16,4459.92,4462.97,4462.84,2.9200000000000728,0.13000000000010914,2.11,0.040000000000000036,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
2026-06-08 04:00:00+00:00,2026-06-08 04:15:00+00:00,2026-06-08 05:15:00+00:00,LONG,True,4314.97,4320.57,4309.05,4312.73,4311.61,2.5599999999994907,1.1199999999998909,2.21,0.10000000000000009,True,macro_pressure_reversal,RESEARCH_SHADOW_ONLY_NO_ORDER
