family,proxy_tested,proxy_passing_min_events,exact_replayed,best_proxy_pf_x4,best_exact_pf_x4
asia_breakout_pullback_v2,8,8,3,0.3082500195082641,0.3049448229830249
htf_bias_pullback_v2,16,4,3,0.3731123443940502,0.2580971698436283
session_transition_imbalance_v2,8,8,3,0.337508571149321,0.337508571149321
squeeze_release_continuation_v2,4,4,3,0.37085177394846774,0.37085177394846774
