definition,guard_variant,geometry,macro_regime_numeric,trades,total_net_x4,median_net_x4,pf_x4,win_rate_x4,max_dd_x4
liquidity_session,macro_blocked_overlap,tp24_sl15_h12_control,mixed,345,514.67,0.63,1.348763,0.513043,-255.47
liquidity_session,macro_blocked_overlap,tp24_sl15_h12_control,supportive,117,193.96,-0.01,1.530453,0.495726,-107.94
liquidity_session,macro_blocked_overlap,tp24_sl15_h12_control,hostile,26,90.49,4.5,2.088536,0.615385,-49.01
liquidity_session,unguarded_nonoverlap,time_exit_12h,neutral,143,623.83,1.98,1.890041,0.573427,-194.1
liquidity_session,unguarded_nonoverlap,time_exit_12h,mixed,83,397.05,2.72,1.737627,0.590361,-124.53
liquidity_session,unguarded_nonoverlap,time_exit_12h,supportive,29,111.29,0.26,2.746822,0.517241,-19.31
liquidity_session,unguarded_nonoverlap,time_exit_12h,hostile,7,72.97,9.91,13.141431,0.857143,-6.01
liquidity_session,unguarded_nonoverlap,tp15_sl12_h12,neutral,208,130.38,0.815,1.128447,0.509615,-146.26
liquidity_session,unguarded_nonoverlap,tp15_sl12_h12,mixed,132,125.94,2.245,1.199642,0.530303,-161.96
liquidity_session,unguarded_nonoverlap,tp15_sl12_h12,supportive,35,116.88,1.56,2.701062,0.571429,-19.09
liquidity_session,unguarded_nonoverlap,tp15_sl12_h12,hostile,9,40.28,7.73,2.871747,0.666667,-19.64
liquidity_session,unguarded_nonoverlap,tp18_sl12_h12,neutral,199,268.47,1.04,1.276651,0.512563,-101.13
liquidity_session,unguarded_nonoverlap,tp18_sl12_h12,mixed,129,197.61,1.94,1.311212,0.51938,-157.76
liquidity_session,unguarded_nonoverlap,tp18_sl12_h12,supportive,33,126.8,1.56,2.997165,0.575758,-19.09
liquidity_session,unguarded_nonoverlap,tp18_sl12_h12,hostile,9,42.31,7.73,2.681638,0.666667,-19.64
liquidity_session,unguarded_nonoverlap,tp24_sl15_h12_control,neutral,180,433.87,1.495,1.487423,0.538889,-162.78
liquidity_session,unguarded_nonoverlap,tp24_sl15_h12_control,mixed,112,301.9,2.58,1.563299,0.5625,-165.56
liquidity_session,unguarded_nonoverlap,tp24_sl15_h12_control,supportive,30,74.77,0.09,1.902039,0.5,-22.09
liquidity_session,unguarded_nonoverlap,tp24_sl15_h12_control,hostile,9,46.51,7.73,2.411104,0.666667,-22.64
liquidity_session,unguarded_overlap,time_exit_12h,neutral,529,2375.33,1.63,2.109869,0.58034,-407.05
liquidity_session,unguarded_overlap,time_exit_12h,mixed,345,1844.25,0.48,1.980129,0.510145,-444.58
liquidity_session,unguarded_overlap,time_exit_12h,supportive,117,200.3,-0.06,1.545836,0.487179,-110.88
liquidity_session,unguarded_overlap,time_exit_12h,hostile,26,111.93,4.5,2.740747,0.615385,-30.97
liquidity_session,unguarded_overlap,tp15_sl12_h12,neutral,529,709.64,1.04,1.368993,0.548204,-184.6
liquidity_session,unguarded_overlap,tp15_sl12_h12,mixed,345,196.18,-0.05,1.139698,0.498551,-242.16
liquidity_session,unguarded_overlap,tp15_sl12_h12,supportive,117,139.69,0.12,1.410298,0.504274,-97.57
liquidity_session,unguarded_overlap,tp15_sl12_h12,hostile,26,72.63,4.5,1.905498,0.615385,-43.01
liquidity_session,unguarded_overlap,tp18_sl12_h12,neutral,529,953.99,0.95,1.492334,0.544423,-178.6
liquidity_session,unguarded_overlap,tp18_sl12_h12,mixed,345,274.45,-0.26,1.192946,0.489855,-236.16
liquidity_session,unguarded_overlap,tp18_sl12_h12,supportive,117,172.76,0.12,1.507431,0.504274,-100.93
liquidity_session,unguarded_overlap,tp18_sl12_h12,hostile,26,89.21,4.5,2.112205,0.615385,-43.01
liquidity_session,unguarded_overlap,tp24_sl15_h12_control,neutral,529,1231.65,1.14,1.610105,0.553875,-283.38
liquidity_session,unguarded_overlap,tp24_sl15_h12_control,mixed,345,514.67,0.63,1.348763,0.513043,-255.47
liquidity_session,unguarded_overlap,tp24_sl15_h12_control,supportive,117,193.96,-0.01,1.530453,0.495726,-107.94
liquidity_session,unguarded_overlap,tp24_sl15_h12_control,hostile,26,90.49,4.5,2.088536,0.615385,-49.01
