definition,guard_variant,geometry,macro_regime_numeric,trades,total_net_x4,median_net_x4,pf_x4,win_rate_x4,max_dd_x4
base_h4up_compression_mid_high,unguarded_nonoverlap,tp18_sl12_h12,mixed,227,189.79,-1.16,1.147422,0.484581,-240.56
base_h4up_compression_mid_high,unguarded_nonoverlap,tp18_sl12_h12,supportive,63,159.42,1.46,1.867261,0.555556,-34.5
base_h4up_compression_mid_high,unguarded_nonoverlap,tp18_sl12_h12,hostile,22,0.37,-0.135,1.003328,0.5,-55.92
base_h4up_compression_mid_high,unguarded_nonoverlap,tp24_sl15_h12_control,neutral,349,630.33,1.09,1.308239,0.52149,-180.4
base_h4up_compression_mid_high,unguarded_nonoverlap,tp24_sl15_h12_control,mixed,196,325.24,0.42,1.278573,0.505102,-114.8
base_h4up_compression_mid_high,unguarded_nonoverlap,tp24_sl15_h12_control,supportive,57,209.53,1.46,2.314904,0.561404,-37.5
base_h4up_compression_mid_high,unguarded_nonoverlap,tp24_sl15_h12_control,hostile,21,1.57,1.39,1.013021,0.52381,-53.32
base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,neutral,1429,4954.31,1.39,1.609063,0.554934,-1376.35
base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,mixed,791,3280.96,1.13,1.651557,0.532238,-924.74
base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,supportive,320,1540.11,1.205,2.702061,0.553125,-151.12
base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,hostile,91,-340.11,5.01,0.635357,0.604396,-663.17
base_h4up_compression_mid_high,unguarded_overlap,tp15_sl12_h12,neutral,1429,874.88,0.46,1.128752,0.517145,-672.64
base_h4up_compression_mid_high,unguarded_overlap,tp15_sl12_h12,mixed,791,370.58,0.14,1.096987,0.501896,-653.68
base_h4up_compression_mid_high,unguarded_overlap,tp15_sl12_h12,supportive,320,280.52,0.395,1.238274,0.51875,-379.97
base_h4up_compression_mid_high,unguarded_overlap,tp15_sl12_h12,hostile,91,194.52,6.13,1.492231,0.582418,-204.03
base_h4up_compression_mid_high,unguarded_overlap,tp18_sl12_h12,neutral,1429,1423.32,0.19,1.204405,0.505948,-676.24
base_h4up_compression_mid_high,unguarded_overlap,tp18_sl12_h12,mixed,791,641.78,-0.38,1.163793,0.489254,-607.17
base_h4up_compression_mid_high,unguarded_overlap,tp18_sl12_h12,supportive,320,386.24,0.17,1.327111,0.509375,-368.07
base_h4up_compression_mid_high,unguarded_overlap,tp18_sl12_h12,hostile,91,188.33,4.84,1.457034,0.56044,-247.92
base_h4up_compression_mid_high,unguarded_overlap,tp24_sl15_h12_control,neutral,1429,2093.69,0.38,1.280279,0.515745,-722.03
base_h4up_compression_mid_high,unguarded_overlap,tp24_sl15_h12_control,mixed,791,961.58,0.21,1.224432,0.504425,-903.49
base_h4up_compression_mid_high,unguarded_overlap,tp24_sl15_h12_control,supportive,320,790.66,0.595,1.707336,0.528125,-325.18
base_h4up_compression_mid_high,unguarded_overlap,tp24_sl15_h12_control,hostile,91,170.55,4.84,1.38794,0.582418,-281.28
confirmed_h1,macro_blocked_nonoverlap,time_exit_12h,neutral,230,752.97,1.865,1.52398,0.556522,-408.12
confirmed_h1,macro_blocked_nonoverlap,time_exit_12h,mixed,119,403.79,-0.05,1.452147,0.495798,-159.4
confirmed_h1,macro_blocked_nonoverlap,time_exit_12h,supportive,46,171.49,0.24,2.439641,0.521739,-23.58
confirmed_h1,macro_blocked_nonoverlap,time_exit_12h,hostile,12,-55.81,-2.525,0.51478,0.416667,-102.01
confirmed_h1,macro_blocked_nonoverlap,tp15_sl12_h12,supportive,54,133.63,1.815,1.887494,0.592593,-35.72
confirmed_h1,macro_blocked_nonoverlap,tp15_sl12_h12,mixed,175,94.65,-0.12,1.104283,0.497143,-153.93
confirmed_h1,macro_blocked_nonoverlap,tp15_sl12_h12,hostile,15,-59.09,-5.52,0.407203,0.333333,-75.96
confirmed_h1,macro_blocked_nonoverlap,tp15_sl12_h12,neutral,340,-130.18,-1.665,0.933495,0.467647,-261.54
confirmed_h1,macro_blocked_nonoverlap,tp18_sl12_h12,mixed,170,130.79,-0.91,1.142524,0.476471,-161.73
confirmed_h1,macro_blocked_nonoverlap,tp18_sl12_h12,supportive,51,99.73,0.3,1.654611,0.54902,-41.01
confirmed_h1,macro_blocked_nonoverlap,tp18_sl12_h12,neutral,317,30.3,-2.18,1.016157,0.457413,-196.99
confirmed_h1,macro_blocked_nonoverlap,tp18_sl12_h12,hostile,15,-56.09,-5.52,0.437299,0.333333,-75.96
confirmed_h1,macro_blocked_nonoverlap,tp24_sl15_h12_control,neutral,278,364.18,0.105,1.217863,0.507194,-158.87
confirmed_h1,macro_blocked_nonoverlap,tp24_sl15_h12_control,mixed,151,150.41,-0.51,1.164505,0.470199,-98.4
confirmed_h1,macro_blocked_nonoverlap,tp24_sl15_h12_control,supportive,48,128.19,0.28,1.896935,0.541667,-43.39
confirmed_h1,macro_blocked_nonoverlap,tp24_sl15_h12_control,hostile,14,-51.69,-4.965,0.489633,0.357143,-77.56
confirmed_h1,macro_blocked_overlap,time_exit_12h,neutral,1022,4138.18,1.46,1.731595,0.554795,-813.21
confirmed_h1,macro_blocked_overlap,time_exit_12h,mixed,612,1972.66,-0.245,1.47111,0.493464,-710.52
confirmed_h1,macro_blocked_overlap,time_exit_12h,supportive,238,1002.95,0.09,2.361557,0.508403,-251.74
confirmed_h1,macro_blocked_overlap,time_exit_12h,hostile,55,-366.39,-3.49,0.472365,0.472727,-642.25
confirmed_h1,macro_blocked_overlap,tp15_sl12_h12,neutral,1022,652.02,0.515,1.133625,0.514677,-535.39
confirmed_h1,macro_blocked_overlap,tp15_sl12_h12,supportive,238,111.7,-0.175,1.123315,0.491597,-430.36
