period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022,48,-10.4,-0.216667,0.56,0.5625,0.931808,-61.97,0,1,1,3,8
2023,46,25.8,0.56087,0.835,0.565217,1.23869,-50.27,1,1,2,4,12
2024,61,78.89,1.293279,0.03,0.508197,1.35833,-66.36,1,1,3,4,12
2025,76,75.09,0.988026,-1.46,0.447368,1.182187,-116.92,1,1,2,4,12
2026,55,115.59,2.101636,-0.1,0.490909,1.178493,-269.03,1,1,1,2,6
