variant,family,side,trend_dist,pullback,horizon_bars,horizon_minutes,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,ema20_m15,sma20_h1,sma20_slope5,h1_close_minus_sma20,signal_close,signal_high
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-05-09 15:15:00+00:00,2022-05-09 15:30:00+00:00,2022-05-09 17:30:00+00:00,1863.58,m15_exact_open,1858.97,4.61,4.26,3.91,3.21,5.88,7.73,new_york,15,1863.7652040650469,1874.961,-4.612999999999829,-14.111000000000104,1863.58,1864.61
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-05-12 15:45:00+00:00,2022-05-12 16:00:00+00:00,2022-05-12 18:00:00+00:00,1845.17,m15_exact_open,1841.51,3.66,3.31,2.96,2.26,9.66,3.71,new_york,15,1847.0103135431066,1851.5465,-0.38700000000039836,-8.76649999999995,1845.21,1847.34
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-05-16 12:45:00+00:00,2022-05-16 13:00:00+00:00,2022-05-16 15:00:00+00:00,1801.78,m15_exact_open,1800.06,1.72,1.37,1.02,0.32,3.08,4.97,new_york,12,1803.3320656446017,1809.443,-3.4909999999999854,-10.333000000000084,1801.81,1807.09
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-05-18 15:45:00+00:00,2022-05-18 16:00:00+00:00,2022-05-18 18:00:00+00:00,1812.65,m15_exact_open,1814.2,-1.55,-1.9,-2.25,-2.95,3.07,2.95,new_york,15,1813.5701375088054,1814.1645,-2.705999999999676,-5.164500000000089,1812.63,1814.42
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-05-25 13:00:00+00:00,2022-05-25 13:15:00+00:00,2022-05-25 15:15:00+00:00,1856.62,m15_exact_open,1853.47,3.15,2.8,2.45,1.75,5.52,-0.49,new_york,13,1858.3344772970338,1863.093,-0.724999999999909,-6.462999999999965,1856.63,1858.09
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-05-25 16:45:00+00:00,2022-05-25 17:00:00+00:00,2022-05-25 19:00:00+00:00,1851.35,m15_exact_open,1845.92,5.43,5.08,4.73,4.03,10.11,-0.27,new_york,16,1854.276616741867,1860.9450000000002,-2.960499999999911,-11.39500000000021,1851.38,1854.18
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-05-26 14:00:00+00:00,2022-05-26 14:15:00+00:00,2022-05-26 16:15:00+00:00,1844.28,m15_exact_open,1845.84,-1.56,-1.91,-2.26,-2.96,3.75,2.97,new_york,14,1846.395758794669,1849.4085000000002,-1.0730000000000928,-5.138500000000249,1844.27,1846.23
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-06-01 15:00:00+00:00,2022-06-01 15:15:00+00:00,2022-06-01 17:15:00+00:00,1829.5,m15_exact_open,1841.9,-12.4,-12.75,-13.1,-13.8,-3.02,19.43,new_york,15,1831.3637369675387,1835.2369999999999,-4.027000000000044,-5.716999999999871,1829.52,1831.77
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-06-03 16:45:00+00:00,2022-06-03 17:00:00+00:00,2022-06-03 19:00:00+00:00,1859.83,m15_exact_open,1850.88,8.95,8.6,8.25,7.55,8.96,5.16,new_york,16,1863.0395499973604,1867.452,-0.3140000000000782,-9.311999999999898,1859.82,1863.15
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-06-09 15:00:00+00:00,2022-06-09 15:15:00+00:00,2022-06-09 17:15:00+00:00,1845.78,m15_exact_open,1840.44,5.34,4.99,4.64,3.94,5.43,6.55,new_york,15,1848.9286941081593,1851.7980000000002,-1.3829999999995835,-6.008000000000266,1845.79,1848.78
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,5.0,0.5,8,120,4,2022-06-10 16:00:00+00:00,2022-06-10 16:15:00+00:00,2022-06-10 18:15:00+00:00,1838.91,m15_exact_open,1858.6,-19.69,-20.04,-20.39,-21.09,10.64,20.4,new_york,16,1840.2276839936599,1844.7850000000003,-1.463999999999487,-5.875000000000227,1838.91,1844.77
