family,name,params_json,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.1_h180_e16_tp0.4_sl0.5,"{""entry_hour"": 16, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.1, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.4}",proxy_m15,287,0.5333,0.2586,-309.3906,-610.7406,-2.0004,0.4739,0.6293,0.4885,0.3851,2022-05-06 16:15:00,2026-06-11 16:15:00,3.6911
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.1_h90_e16_tp0.4_sl0.5,"{""entry_hour"": 16, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.1, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.4}",proxy_m15,287,0.5333,0.2586,-309.3906,-610.7406,-2.0004,0.4739,0.6293,0.4885,0.3851,2022-05-06 16:15:00,2026-06-11 16:15:00,3.6911
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h180_e16_tp0.4_sl0.5,"{""entry_hour"": 16, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.4}",proxy_m15,314,0.4988,0.2504,-398.1841,-727.8841,-2.0152,0.4713,0.5389,0.38,0.3854,2022-05-06 16:15:00,2026-06-11 16:15:00,3.5008
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.0_h90_e16_tp0.4_sl0.5,"{""entry_hour"": 16, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.4}",proxy_m15,314,0.4988,0.2504,-398.1841,-727.8841,-2.0152,0.4713,0.5389,0.38,0.3854,2022-05-06 16:15:00,2026-06-11 16:15:00,3.5008
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.1_h180_e15_tp0.4_sl0.5,"{""entry_hour"": 15, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.1, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.4}",proxy_m15,249,0.4893,0.2422,-309.3318,-570.7818,-1.9104,0.4498,0.4596,0.5213,0.401,2022-05-03 15:15:00,2026-05-29 15:15:00,3.3681
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.1_rec0.1_h90_e15_tp0.4_sl0.5,"{""entry_hour"": 15, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.1, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.1, ""tp_atr"": 0.4}",proxy_m15,249,0.4893,0.2422,-309.3318,-570.7818,-1.9104,0.4498,0.4596,0.5213,0.401,2022-05-03 15:15:00,2026-05-29 15:15:00,3.3681
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h180_e15_tp0.4_sl0.5,"{""entry_hour"": 15, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.4}",proxy_m15,202,0.4468,0.2012,-267.5064,-479.6064,-1.7807,0.4653,0.3171,0.3718,0.3504,2022-05-09 15:15:00,2026-06-05 15:15:00,2.9185
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h90_e15_tp0.4_sl0.5,"{""entry_hour"": 15, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.4}",proxy_m15,202,0.4468,0.2012,-267.5064,-479.6064,-1.7807,0.4653,0.3171,0.3718,0.3504,2022-05-09 15:15:00,2026-06-05 15:15:00,2.9185
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h180_e16_tp0.4_sl0.5,"{""entry_hour"": 16, ""horizon_min"": 180, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.4}",proxy_m15,264,0.4133,0.1953,-413.5764,-690.7764,-2.0927,0.4545,0.3677,0.2473,0.2935,2022-05-06 16:15:00,2026-06-11 16:15:00,2.7618
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.0_h90_e16_tp0.4_sl0.5,"{""entry_hour"": 16, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.0, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.4}",proxy_m15,264,0.4133,0.1953,-413.5764,-690.7764,-2.0927,0.4545,0.3677,0.2473,0.2935,2022-05-06 16:15:00,2026-06-11 16:15:00,2.7618
london_extreme_stoprun_reclaim,london_extreme_stoprun_reclaim_rng0.7_sw0.25_rec0.1_h90_e15_tp0.4_sl0.5,"{""entry_hour"": 15, ""horizon_min"": 90, ""london_range_atr_min"": 0.7, ""reclaim_buffer_atr"": 0.1, ""sl_atr"": 0.5, ""sweep_atr_min"": 0.25, ""tp_atr"": 0.4}",proxy_m15,166,0.3685,0.1714,-285.7005,-460.0005,-1.9777,0.4277,0.2558,0.2856,0.2532,2022-05-10 15:15:00,2026-05-25 15:15:00,2.2907
