variant_id,session_family,direction_mode,horizon_hours,entry_ts,exit_ts,direction,net_x4
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-09 18:00:00+00:00,2022-05-10 02:00:00+00:00,1,-5.931881630373985
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-10 08:00:00+00:00,2022-05-10 12:00:00+00:00,1,-7.625917577018464
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-10 08:00:00+00:00,2022-05-10 12:00:00+00:00,-1,7.625917577018464
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-10 13:00:00+00:00,2022-05-10 17:00:00+00:00,1,-11.059327429530441
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-10 13:00:00+00:00,2022-05-10 17:00:00+00:00,-1,11.059327429530441
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-10 18:00:00+00:00,2022-05-11 02:00:00+00:00,1,-8.847308031774048
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-10 18:00:00+00:00,2022-05-11 02:00:00+00:00,-1,8.847308031774048
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-11 08:00:00+00:00,2022-05-11 12:00:00+00:00,-1,-15.48720874940559
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-11 08:00:00+00:00,2022-05-11 12:00:00+00:00,1,15.48720874940559
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-11 13:00:00+00:00,2022-05-11 17:00:00+00:00,1,-1.5152941176471837
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-11 13:00:00+00:00,2022-05-11 17:00:00+00:00,-1,1.5152941176471837
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-11 18:00:00+00:00,2022-05-12 02:00:00+00:00,-1,-1.374138406396625
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-11 18:00:00+00:00,2022-05-12 02:00:00+00:00,1,1.374138406396625
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-12 08:00:00+00:00,2022-05-12 12:00:00+00:00,-1,2.3763260748183828
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-12 08:00:00+00:00,2022-05-12 12:00:00+00:00,1,-2.3763260748183828
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-12 13:00:00+00:00,2022-05-12 17:00:00+00:00,-1,5.181367870938362
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-12 13:00:00+00:00,2022-05-12 17:00:00+00:00,1,-5.181367870938362
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-12 18:00:00+00:00,2022-05-13 02:00:00+00:00,1,-11.264299383372364
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-12 18:00:00+00:00,2022-05-13 02:00:00+00:00,-1,11.264299383372364
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-13 08:00:00+00:00,2022-05-13 12:00:00+00:00,-1,3.082009403612962
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-13 08:00:00+00:00,2022-05-13 12:00:00+00:00,1,-3.082009403612962
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-13 13:00:00+00:00,2022-05-13 17:00:00+00:00,-1,5.6632956573470254
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-13 13:00:00+00:00,2022-05-13 17:00:00+00:00,1,-5.6632956573470254
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-13 18:00:00+00:00,2022-05-16 02:00:00+00:00,1,3.408786689100736
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-13 18:00:00+00:00,2022-05-16 02:00:00+00:00,-1,-3.408786689100736
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-16 08:00:00+00:00,2022-05-16 12:00:00+00:00,1,-11.592023615880285
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-16 08:00:00+00:00,2022-05-16 12:00:00+00:00,-1,11.592023615880285
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-16 13:00:00+00:00,2022-05-16 17:00:00+00:00,1,5.055332798716966
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-16 13:00:00+00:00,2022-05-16 17:00:00+00:00,-1,-5.055332798716966
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-16 18:00:00+00:00,2022-05-17 02:00:00+00:00,-1,-8.950354609929144
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-16 18:00:00+00:00,2022-05-17 02:00:00+00:00,1,8.950354609929144
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-17 08:00:00+00:00,2022-05-17 12:00:00+00:00,1,-0.11570845601518404
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-17 08:00:00+00:00,2022-05-17 12:00:00+00:00,-1,0.11570845601518404
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-17 13:00:00+00:00,2022-05-17 17:00:00+00:00,-1,6.777940458760254
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-17 13:00:00+00:00,2022-05-17 17:00:00+00:00,1,-6.777940458760254
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-17 18:00:00+00:00,2022-05-18 02:00:00+00:00,1,-3.964266056988066
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-17 18:00:00+00:00,2022-05-18 02:00:00+00:00,-1,3.964266056988066
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-18 08:00:00+00:00,2022-05-18 12:00:00+00:00,1,11.996222851746996
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-18 08:00:00+00:00,2022-05-18 12:00:00+00:00,-1,-11.996222851746996
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-18 13:00:00+00:00,2022-05-18 17:00:00+00:00,-1,4.452156790351345
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-18 13:00:00+00:00,2022-05-18 17:00:00+00:00,1,-4.452156790351345
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-18 18:00:00+00:00,2022-05-19 02:00:00+00:00,-1,6.893764531811419
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-18 18:00:00+00:00,2022-05-19 02:00:00+00:00,1,-6.893764531811419
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-19 08:00:00+00:00,2022-05-19 12:00:00+00:00,-1,-27.75392341494084
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-19 08:00:00+00:00,2022-05-19 12:00:00+00:00,1,27.75392341494084
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-19 13:00:00+00:00,2022-05-19 17:00:00+00:00,-1,-23.957143757483962
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-19 13:00:00+00:00,2022-05-19 17:00:00+00:00,1,23.957143757483962
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-19 18:00:00+00:00,2022-05-20 02:00:00+00:00,1,-0.21809401409822096
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-19 18:00:00+00:00,2022-05-20 02:00:00+00:00,-1,0.21809401409822096
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-20 08:00:00+00:00,2022-05-20 12:00:00+00:00,1,2.3543543543541965
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-20 08:00:00+00:00,2022-05-20 12:00:00+00:00,-1,-2.3543543543541965
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-20 13:00:00+00:00,2022-05-20 17:00:00+00:00,-1,7.118056912157078
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-20 13:00:00+00:00,2022-05-20 17:00:00+00:00,1,-7.118056912157078
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-20 18:00:00+00:00,2022-05-23 02:00:00+00:00,-1,-4.104545454545561
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-20 18:00:00+00:00,2022-05-23 02:00:00+00:00,1,4.104545454545561
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-23 08:00:00+00:00,2022-05-23 12:00:00+00:00,1,10.527615780445847
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-23 08:00:00+00:00,2022-05-23 12:00:00+00:00,-1,-10.527615780445847
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-23 13:00:00+00:00,2022-05-23 17:00:00+00:00,-1,7.423135931267221
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-23 13:00:00+00:00,2022-05-23 17:00:00+00:00,1,-7.423135931267221
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-23 18:00:00+00:00,2022-05-24 02:00:00+00:00,1,2.1622926093515087
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-23 18:00:00+00:00,2022-05-24 02:00:00+00:00,-1,-2.1622926093515087
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-24 08:00:00+00:00,2022-05-24 12:00:00+00:00,-1,-2.9161041465768753
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-24 08:00:00+00:00,2022-05-24 12:00:00+00:00,1,2.9161041465768753
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-24 13:00:00+00:00,2022-05-24 17:00:00+00:00,1,12.515524311658126
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-24 13:00:00+00:00,2022-05-24 17:00:00+00:00,-1,-12.515524311658126
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-24 18:00:00+00:00,2022-05-25 02:00:00+00:00,-1,2.054741825713748
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-24 18:00:00+00:00,2022-05-25 02:00:00+00:00,1,-2.054741825713748
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-25 08:00:00+00:00,2022-05-25 12:00:00+00:00,-1,5.284470911589461
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-25 08:00:00+00:00,2022-05-25 12:00:00+00:00,1,-5.284470911589461
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-25 13:00:00+00:00,2022-05-25 17:00:00+00:00,-1,2.427081230231052
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-25 13:00:00+00:00,2022-05-25 17:00:00+00:00,1,-2.427081230231052
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-25 18:00:00+00:00,2022-05-26 02:00:00+00:00,1,9.44696152463126
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-25 18:00:00+00:00,2022-05-26 02:00:00+00:00,-1,-9.44696152463126
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-26 08:00:00+00:00,2022-05-26 12:00:00+00:00,-1,-3.3043713628364015
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-26 08:00:00+00:00,2022-05-26 12:00:00+00:00,1,3.3043713628364015
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-26 13:00:00+00:00,2022-05-26 17:00:00+00:00,-1,-3.3243058405140715
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-26 13:00:00+00:00,2022-05-26 17:00:00+00:00,1,3.3243058405140715
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-26 18:00:00+00:00,2022-05-27 02:00:00+00:00,1,6.8896072093250815
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-26 18:00:00+00:00,2022-05-27 02:00:00+00:00,-1,-6.8896072093250815
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-27 08:00:00+00:00,2022-05-27 12:00:00+00:00,1,8.54294294294323
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-27 08:00:00+00:00,2022-05-27 12:00:00+00:00,-1,-8.54294294294323
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-27 13:00:00+00:00,2022-05-27 17:00:00+00:00,-1,4.315569487982999
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-27 13:00:00+00:00,2022-05-27 17:00:00+00:00,1,-4.315569487982999
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-27 18:00:00+00:00,2022-05-30 02:00:00+00:00,1,-5.918394648829424
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-27 18:00:00+00:00,2022-05-30 02:00:00+00:00,-1,5.918394648829424
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-30 08:00:00+00:00,2022-05-30 12:00:00+00:00,1,-6.618559762435025
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-30 08:00:00+00:00,2022-05-30 12:00:00+00:00,-1,6.618559762435025
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-30 13:00:00+00:00,2022-05-30 17:00:00+00:00,-1,-4.926372155287887
