candidate_identity,best_priority_score_review_only,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,latest_signal_ts,max_recent_signal_rows,max_event_count,commercial_readiness
dxy_ret_1_ge_q80,0.664903,34,2,stage31b,stage31b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_5_ge_q70,0.65221,34,2,exogenous_macro,stage31b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_rank250_le_q30,0.640824,30,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_z60_ge_q80,0.62697,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_5_ge_q70,0.576124,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_ge_q70,0.536355,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_1_ge_q70,0.536355,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_rank250_le_q20,0.47496,29,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_value_le_q20,0.378016,21,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_z60_le_q20,0.263598,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_value_le_q30,0.231896,3,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_5_ge_q80,0.231638,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_value_le_q30,0.20132,7,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_1_le_q20,0.133092,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_z60_ge_q80,0.103682,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_chg_5_le_q20,0.10117,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_1_ge_q70,0.031415,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
asia_high_breakout_refined,0.0,6,3,asia_high_breakout_refined,stage18e;stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage16c_true_forward_shadow_collector/stage16c_scan_candidates.csv,0.0,4,1,stage16c,stage16c,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage17d_broker_time_forward_shadow_collector/stage17d_scan_candidates.csv,0.0,24,1,stage17d,stage17d,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage25c_deduped_filter_validation/stage25c_filter_candidates.csv,0.0,30,1,stage25c,stage25c,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage28b_ml_meta_feature_screen/stage28b_meta_gate_candidates.csv,0.0,354,1,stage28b,stage28b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage28c_forward_safe_meta_gate_validation/stage28c_gate_validation.csv,0.0,16,1,stage28c,stage28c,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage30b_ml_lite_feature_ranker/stage30b_selected_train_gates.csv,0.0,48,1,stage30b,stage30b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage30b_ml_lite_feature_ranker/stage30b_yearly_oos_gate_results.csv,0.0,49,1,stage30b,stage30b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
exogenous_macro,0.0,1,1,exogenous_macro,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_rank250_le_q20 | oil_rank250,0.0,15,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
pdl_sweep_reclaim_refined,0.0,11,3,pdl_sweep_reclaim_refined,stage18e;stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_5_ge_q80 | real_yield_chg_5,0.0,10,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_5_le_q20 | real_yield_chg_5,0.0,10,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_5_ge_q80 | real_yield_ret_5,0.0,20,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_value_le_q20 | real_yield_value,0.0,5,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_value_le_q30 | real_yield_value,0.0,10,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_rank250_le_q20 | spx_rank250,0.0,10,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_value_le_q20 | spx_value,0.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_value_le_q30 | spx_value,0.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
stage16c,0.0,1,1,stage16c,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage17d,0.0,1,1,stage17d,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage25c,0.0,1,1,stage25c,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage27b,0.0,1,1,stage27b,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage27c,0.0,1,1,stage27c,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage28b,0.0,1,1,stage28b,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage28c,0.0,1,1,stage28c,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage30b,0.0,1,1,stage30b,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage31b,0.0,1,1,stage31b,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
stage31c,0.0,1,1,stage31c,stage32b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_5_le_q20 | us10y_chg_5,0.0,10,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_5_ge_q80 | us10y_ret_5,0.0,10,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_5_le_q20 | us10y_ret_5,0.0,10,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_value_le_q20 | us10y_value,0.0,5,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_value_le_q30 | us10y_value,0.0,15,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_rank250_le_q20 | vix_rank250,0.0,15,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_rank250_le_q30 | vix_rank250,0.0,10,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_value_le_q30 | vix_value,0.0,20,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_ge_q70,-0.005808,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_ge_q80,-0.005808,34,2,stage31b,stage31b,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_1_ge_q70,-0.005808,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_5_ge_q70,-0.076259,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_value_le_q30,-0.109284,5,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_ret_5_le_q20,-0.167822,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_z60_le_q20,-0.260754,31,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_5_ge_q70,-0.31111,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_5_ge_q80,-0.31111,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_5_ge_q80,-0.332666,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_1_ge_q80,-0.364289,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_ge_q80,-0.378172,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_ret_1_ge_q70,-0.402481,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_ret_5_le_q30,-0.446113,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_1_le_q30,-0.451986,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_z60_le_q30,-0.479252,31,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_value_ge_q80,-0.489746,31,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_z60_ge_q80,-0.522036,31,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_chg_5_le_q30,-0.642033,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_rank250_ge_q80,-0.654226,28,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_rank250_ge_q80,-0.829307,32,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_rank250_ge_q70,-1.239303,32,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_z60_ge_q70,-1.333401,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_value_ge_q70,-1.598928,31,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_z60_le_q30 | oil_z60,-1.931676,20,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_value_le_q20 | vix_value,-1.983977,10,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_5_ge_q80,-2.028184,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_5_ge_q80,-2.028184,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_rank250_ge_q70,-2.080503,28,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_rank250_ge_q70,-2.160413,32,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_z60_ge_q70,-2.222171,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_z60_ge_q70,-2.386215,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_rank250_ge_q70,-2.663408,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_ge_q80 | dxy_z60,-2.683071,15,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_z60_le_q30,-2.88937,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_z60_ge_q80,-2.902217,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_ge_q70 | dxy_z60,-3.185758,10,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_5_ge_q70,-3.231466,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_5_ge_q70,-3.231466,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_ge_q70,-3.252015,28,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_ge_q80,-3.252015,28,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_rank250_ge_q80,-4.022064,30,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_5_ge_q70,-4.189034,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_5_ge_q70,-4.315261,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_1_ge_q80 | real_yield_ret_1,-9.871481,5,1,exogenous_macro,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_age_hours_ge_q70 | dxy_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_age_hours_ge_q80 | dxy_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_age_hours_le_q20 | dxy_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_age_hours_le_q30 | dxy_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_ge_q70 | dxy_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_ge_q80 | dxy_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_le_q20 | dxy_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_1_le_q30 | dxy_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_5_ge_q70 | dxy_chg_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_5_ge_q80 | dxy_chg_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_5_le_q20 | dxy_chg_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_rank250_ge_q70 | dxy_rank250,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_rank250_ge_q80 | dxy_rank250,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_rank250_le_q20 | dxy_rank250,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_rank250_le_q30 | dxy_rank250,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_1_ge_q70 | dxy_ret_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_1_ge_q80 | dxy_ret_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_1_le_q20 | dxy_ret_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_1_le_q30 | dxy_ret_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_5_ge_q70 | dxy_ret_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_5_ge_q80 | dxy_ret_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_5_le_q20 | dxy_ret_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_ge_q70 | dxy_value,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_ge_q80 | dxy_value,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_le_q20 | dxy_value,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_value_le_q30 | dxy_value,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_le_q20 | dxy_z60,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_le_q30 | dxy_z60,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_age_hours_ge_q70 | oil_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_age_hours_ge_q80 | oil_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_age_hours_le_q20 | oil_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_age_hours_le_q30 | oil_age_hours,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_ge_q70 | oil_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_ge_q80 | oil_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_le_q20 | oil_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_le_q30 | oil_chg_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_5_ge_q70 | oil_chg_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_5_ge_q80 | oil_chg_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_5_le_q20 | oil_chg_5,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_rank250_ge_q70 | oil_rank250,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_rank250_ge_q80 | oil_rank250,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_1_ge_q70 | oil_ret_1,-16.0,5,1,stage31c,stage31c,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
