candidate_identity,best_priority_score_review_only,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,latest_signal_ts,max_recent_signal_rows,max_event_count,commercial_readiness
us10y_z60_le_q30,6.812229,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_rank250_le_q20,6.717058,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_5_le_q30 | real_yield_ret_5,6.614435,19,2,exogenous_macro,stage31c,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_1_le_q20 | real_yield_chg_1,6.315577,21,2,exogenous_macro,stage31c,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_rank250_le_q20,6.003737,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
hr_asia_london_align_h13_lq35_aq25_tp06_sl065 | high_range_asia_london_alignment_v1,5.88,2,2,high_range_asia_london_alignment_v1,stage29a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,,,147.0,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_5_le_q30,5.755241,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_5_le_q20,5.755241,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_5_le_q30,5.632528,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_1_le_q20,5.560624,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_1_le_q30,5.560624,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
hr_asia_london_align_h13_lq35_aq35_tp06_sl065 | high_range_asia_london_alignment_v1,5.48,2,2,high_range_asia_london_alignment_v1,stage29a,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN,REJECTED_OR_ERROR_SOURCE,,,137.0,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_le_q20,5.386908,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_5_le_q20 | oil_ret_5,5.371399,17,2,stage31c,stage31c,UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_value_ge_q70,5.305724,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_value_ge_q70,5.305724,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_z60_ge_q70,5.30327,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_chg_1_le_q30,5.001842,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_ret_1_le_q30,5.001842,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_chg_5_le_q20,4.964799,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_ret_5_le_q20,4.964799,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_z60_le_q30,4.962558,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_value_ge_q70,4.690783,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_5_ge_q80,4.527264,31,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
dxy_z60_le_q30,4.495821,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
