path,modified_utc,size_bytes,decisions,key_metrics_json
data/reports/stage27b_db_first_lineage_gate_discovery/stage27b_db_first_lineage_gate_discovery.md,2026-06-14T17:58:44+00:00,9819,0293600000000005;578963613461408;653421789024173;7789723241189819;851412305366161;STAGE27B_GATE_CANDIDATE_REVIEW_ONLY;STAGE27B_HAS_GATE_CANDIDATE_REVIEW_ONLY;STAGE27B_REJECT;STAGE27B_WATCHLIST_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:58:44.107653+00:00`"", ""candle_table"": ""`bars`"", ""csv_fallback_enabled"": ""`False`"", ""db_first"": ""`True`"", ""db_path"": ""`data/local/xauusd_local_store.sqlite`"", ""gate_candidate_review_count"": ""`6`"", ""gate_candidates_tested"": ""`29`"", ""h1_rows"": ""`25608` | span: `2022-05-01 23:00:00+00:00 → 2026-06-12 23:00:00+00:00`"", ""m15_rows"": ""`102547` | span: `2022-05-01 23:15:00+00:00 → 2026-06-13 00:00:00+00:00`"", ""m1_rows"": ""`1534217` | span: `2022-05-01 23:01:00+00:00 → 2026-06-12 23:54:00+00:00`"", ""requested_candidate"": ""`S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65`"", ""rows_after_event_dedup"": ""`100`"", ""runtime_seconds"": ""`15.21`"", ""selected_artifact"": ""`data/reports/stage25c_deduped_filter_validation/stage25c_enriched_canonical_trades.csv`"", ""watchlist_only_count"": ""`1`""}"
data/reports/stage28a_discovery_factory_batch_runner/stage28a_discovery_factory_batch_runner.md,2026-06-14T17:58:27+00:00,6703,STAGE28A_NO_PROMOTION_KEEP_DISCOVERY_OPEN;STAGE28A_REJECT,"{""Generated_UTC"": ""`2026-06-14T17:58:27.482467+00:00`"", ""Hotfix"": ""registry execution is family-interleaved with a per-family cap so timeout-limited runs still cover all families."", ""candidate_review_count"": ""`0`"", ""candidates_passing_min_events"": ""`28`"", ""candidates_tested"": ""`30`"", ""csv_fallback_enabled"": ""`False`"", ""db_first"": ""`True`"", ""db_path"": ""`data/local/xauusd_local_store.sqlite`"", ""family_count"": ""`5`"", ""h1_rows"": ""`25608`"", ""h1_span"": ""`2022-05-01 23:00:00+00:00 → 2026-06-12 23:00:00+00:00`"", ""loader_mode"": ""`reused:app.stage25c_deduped_filter_validation.load_bars_from_db`"", ""m15_rows"": ""`102355`"", ""m15_span"": ""`2022-05-01 23:00:00+00:00 → 2026-06-12 23:45:00+00:00`"", ""m1_rows"": ""`1534217`"", ""m1_span"": ""`2022-05-01 23:01:00+00:00 → 2026-06-12 23:54:00+00:00`"", ""max_candidates_per_family"": ""`6`"", ""registry_candidate_count"": ""`71`"", ""runtime_seconds"": ""`172.74`"", ""scheduled_candidate_count"": ""`30`"", ""timed_out"": ""`False`"", ""watchlist_only_count"": ""`0`""}"
data/reports/active_shadow_suite_exogenous_watchlist/active_shadow_suite_exogenous_watchlist.md,2026-06-14T17:55:33+00:00,890,ACTIVE_SHADOW_SUITE_COMPLETED;ACTIVE_SHADOW_SUITE_WITH_EXOGENOUS_WATCHLIST_COMPLETED;STAGE31G_LOW_CADENCE_WATCHLIST_REVIEW_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:33.683264+00:00`"", ""active_suite_decision"": ""`ACTIVE_SHADOW_SUITE_COMPLETED`"", ""exogenous_watchlist_decision"": ""`STAGE31G_LOW_CADENCE_WATCHLIST_REVIEW_ONLY`""}"
data/reports/stage31e_exogenous_forward_shadow_tracker/stage31e_exogenous_forward_shadow_tracker.md,2026-06-14T17:55:33+00:00,5250,STAGE31E_FORWARD_SHADOW_ACTIVE_SIGNAL_REVIEW_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:33.153352+00:00`"", ""dataset_rows"": ""`17124`"", ""gate_defs_loaded"": ""`8`"", ""gate_defs_tracked"": ""`8`"", ""lookback_hours"": ""`4320`"", ""recent_signal_gate_count"": ""`8`"", ""recent_signal_rows"": ""`4`"", ""tracker_results"": ""`8`""}"
data/reports/stage31g_exogenous_active_suite_watchlist/stage31g_exogenous_active_suite_watchlist.md,2026-06-14T17:55:33+00:00,4417,STAGE31E_FORWARD_SHADOW_ACTIVE_SIGNAL_REVIEW_ONLY;STAGE31E_NO_RECENT_FORWARD_SHADOW_SIGNAL_RESEARCH_ONLY;STAGE31F_LOW_CADENCE_WATCHLIST_REVIEW_ONLY;STAGE31G_LOW_CADENCE_WATCHLIST_REVIEW_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:33.499120+00:00`"", ""latest_recent_entry_ts"": ""`2026-03-06 13:01:00+00:00`"", ""long_recent_signal_rows"": ""`4`"", ""max_recent_signal_rows"": ""`4`"", ""mid_recent_signal_rows"": ""`0`"", ""reason"": ""`Only the long lookback window has signals; cadence is too sparse for promotion.`"", ""short_recent_signal_rows"": ""`0`""}"
data/reports/stage31f_exogenous_tracker_cadence_audit/stage31f_exogenous_tracker_cadence_audit.md,2026-06-14T17:55:33+00:00,1732,STAGE31E_FORWARD_SHADOW_ACTIVE_SIGNAL_REVIEW_ONLY;STAGE31E_NO_RECENT_FORWARD_SHADOW_SIGNAL_RESEARCH_ONLY;STAGE31F_LOW_CADENCE_WATCHLIST_REVIEW_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:33.465733+00:00`"", ""any_recent_signal_rows"": ""`1`"", ""lookback_count"": ""`4`"", ""max_recent_signal_rows"": ""`4`""}"
data/reports/stage31f_exogenous_tracker_cadence_audit/stage31e_lookback_4320h.md,2026-06-14T17:55:33+00:00,5250,STAGE31E_FORWARD_SHADOW_ACTIVE_SIGNAL_REVIEW_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:33.153352+00:00`"", ""dataset_rows"": ""`17124`"", ""gate_defs_loaded"": ""`8`"", ""gate_defs_tracked"": ""`8`"", ""lookback_hours"": ""`4320`"", ""recent_signal_gate_count"": ""`8`"", ""recent_signal_rows"": ""`4`"", ""tracker_results"": ""`8`""}"
data/reports/stage31f_exogenous_tracker_cadence_audit/stage31e_lookback_2160h.md,2026-06-14T17:55:31+00:00,3359,STAGE31E_NO_RECENT_FORWARD_SHADOW_SIGNAL_RESEARCH_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:31.397547+00:00`"", ""dataset_rows"": ""`17124`"", ""gate_defs_loaded"": ""`8`"", ""gate_defs_tracked"": ""`8`"", ""lookback_hours"": ""`2160`"", ""recent_signal_gate_count"": ""`0`"", ""recent_signal_rows"": ""`0`"", ""tracker_results"": ""`8`""}"
data/reports/stage31f_exogenous_tracker_cadence_audit/stage31e_lookback_720h.md,2026-06-14T17:55:29+00:00,3358,STAGE31E_NO_RECENT_FORWARD_SHADOW_SIGNAL_RESEARCH_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:29.632432+00:00`"", ""dataset_rows"": ""`17124`"", ""gate_defs_loaded"": ""`8`"", ""gate_defs_tracked"": ""`8`"", ""lookback_hours"": ""`720`"", ""recent_signal_gate_count"": ""`0`"", ""recent_signal_rows"": ""`0`"", ""tracker_results"": ""`8`""}"
data/reports/stage31f_exogenous_tracker_cadence_audit/stage31e_lookback_336h.md,2026-06-14T17:55:28+00:00,3358,STAGE31E_NO_RECENT_FORWARD_SHADOW_SIGNAL_RESEARCH_ONLY,"{""Generated_UTC"": ""`2026-06-14T17:55:27.917193+00:00`"", ""dataset_rows"": ""`17124`"", ""gate_defs_loaded"": ""`8`"", ""gate_defs_tracked"": ""`8`"", ""lookback_hours"": ""`336`"", ""recent_signal_gate_count"": ""`0`"", ""recent_signal_rows"": ""`0`"", ""tracker_results"": ""`8`""}"
