stage,family,candidate,side,horizon_bars,horizon_minutes,description,event_clock_n,raw_mean_bps,cost_stressed_mean_bps,slip16_mean_bps,median_cost_bps,win_rate_cost_pct,intraday_benchmark_cost_mean_bps,intraday_benchmark_cost_adjusted_residual_bps,train_n,oos_n,train_cost_mean_bps,oos_cost_mean_bps,train_win_rate_cost_pct,oos_win_rate_cost_pct,worst_quarter_cost_mean_bps,worst_quarter_slip16_mean_bps,positive_quarter_pct,quarters_n,worst_year_cost_mean_bps,positive_year_pct,years_n,top_quarter_event_share_pct,top_year_event_share_pct,ex2025_n,ex2025_cost_mean_bps,median_mae_bps,median_mfe_bps,touch_stop_35bps_pct,touch_stop_50bps_pct,oos_median_mae_bps,oos_touch_stop_35bps_pct,oos_touch_stop_50bps_pct,boot_p10_bps,boot_p50_bps,boot_prob_mean_gt_0_pct,promotion,EA,paper_live,live,classification,failed_reasons
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42A_LONDON_ASIA_RANGE_MICRO_RETEST,LONDON_ASIA_BREAK_HOLD_LONG_TOL15,LONG,4,60,"M15 London-open Asia range break, retest, and hold continuation.",848,0.14360636864830847,-7.8563936313516916,-23.85639363135169,-8.858508444554484,26.650943396226417,-7.647841043720952,-0.2085525876307397,593,255,-8.398583100559184,-6.595537336292698,23.946037099494095,32.94117647058823,-15.361022963865427,-31.361022963865427,0.0,17,-13.126262561170726,0.0,5,8.49056603773585,28.30188679245283,631,-8.726021570846909,-8.706618506273966,9.20207990664279,3.6556603773584904,0.9433962264150944,-10.108170135124661,7.0588235294117645,3.1372549019607843,-8.587149502191725,-7.837329099312546,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42F_MICROTREND_PULLBACK_HOLD,MICROTREND_PULLBACK_LONG_P8,LONG,4,60,Micro trend pullback to two-hour mean with hold confirmation.,2608,-0.003279538598943892,-8.003279538598944,-24.003279538598942,-8.20220853762909,29.179447852760738,-7.647841043720952,-0.3554384948779923,1825,783,-8.277974454730336,-7.363026381587715,27.397260273972602,33.33333333333333,-11.474278291335391,-27.47427829133539,0.0,17,-9.063667785446091,0.0,5,7.975460122699387,26.725460122699385,1911,-8.490918336609324,-10.453456829723207,9.874232187874199,8.473926380368098,3.565950920245399,-14.440366378015712,13.665389527458494,6.130268199233716,-8.53218071587604,-8.003742480240941,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42A_LONDON_ASIA_RANGE_MICRO_RETEST,LONDON_ASIA_BREAK_HOLD_LONG_TOL40,LONG,4,60,"M15 London-open Asia range break, retest, and hold continuation.",953,-0.0221503069130954,-8.022150306913096,-24.022150306913094,-8.827627718004154,26.862539349422875,-7.647841043720952,-0.37430926319214386,667,286,-8.463633483796466,-6.992537443342437,24.137931034482758,33.21678321678322,-13.348252449899793,-29.348252449899793,0.0,17,-11.746448115058723,0.0,5,8.709338929695697,28.12172088142707,685,-8.799149969227113,-8.880906710860836,9.113973938961184,3.987408184679958,1.3641133263378804,-10.258319726870745,8.041958041958042,3.8461538461538463,-8.690845227240482,-8.00212573210486,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42F_MICROTREND_PULLBACK_HOLD,MICROTREND_PULLBACK_LONG_P15,LONG,4,60,Micro trend pullback to two-hour mean with hold confirmation.,2911,-0.027861201308714247,-8.027861201308715,-24.027861201308713,-8.246197479923937,29.71487461353487,-7.647841043720952,-0.3800201575877633,2037,874,-7.96735012480858,-8.168892165645982,28.276877761413843,33.066361556064074,-11.131598544498203,-27.131598544498203,0.0,17,-9.72982353995686,0.0,5,7.832360013740983,27.41326004809344,2113,-8.473064616614778,-10.599619325498688,10.071109825173785,8.828581243558913,3.9161800068704915,-14.807015084719598,14.759725400457665,6.979405034324943,-8.519063282105531,-8.01666485615005,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_LONG_C4H,LONG,4,60,Intraday compression followed by two-bar expansion confirmation with trend gate.,595,-0.04859339590655699,-8.048593395906558,-24.048593395906558,-8.496845034034799,24.873949579831933,-7.647841043720952,-0.4007523521856058,416,179,-8.067233745676926,-8.005272806496095,23.317307692307693,28.49162011173184,-12.385397010181189,-28.38539701018119,5.88235294117647,17,-8.169954439378202,0.0,5,8.571428571428571,27.73109243697479,430,-8.002024623411623,-9.726688439914977,8.561474355168741,6.386554621848739,2.3529411764705883,-13.020246602046814,12.290502793296088,3.910614525139665,-9.207235920407182,-8.045504037388522,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42F_MICROTREND_PULLBACK_HOLD,MICROTREND_PULLBACK_LONG_P40,LONG,4,60,Micro trend pullback to two-hour mean with hold confirmation.,3049,-0.049791306585010804,-8.04979130658501,-24.04979130658501,-8.30316745020853,29.74745818301082,-7.647841043720952,-0.40195026286405877,2134,915,-8.073352293715008,-7.994841419661062,28.39737582005623,32.89617486338798,-11.03153528851141,-27.03153528851141,0.0,17,-8.77818021165563,0.0,5,7.805837979665464,27.55001639881928,2209,-8.32767281260838,-10.756246897235533,10.162230896308966,9.478517546736635,4.296490652673008,-14.454986970504624,15.628415300546447,7.868852459016394,-8.60240625500652,-8.026035194028974,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42A_LONDON_ASIA_RANGE_MICRO_RETEST,LONDON_ASIA_BREAK_HOLD_LONG_TOL8,LONG,4,60,"M15 London-open Asia range break, retest, and hold continuation.",767,-0.05136451648674247,-8.051364516486743,-24.051364516486743,-8.83441111435656,26.336375488917863,-7.647841043720952,-0.4035234727657908,536,231,-8.399502779142695,-7.243563179761247,23.88059701492537,32.03463203463203,-14.399176352124588,-30.39917635212459,0.0,17,-11.993659347085089,0.0,5,8.34419817470665,27.11864406779661,570,-8.673135162287508,-8.6188562665801,9.228906580165397,3.911342894393742,0.7822685788787485,-10.071527724861973,7.792207792207792,2.5974025974025974,-8.80102590261196,-8.047690069139914,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_LONG_C24H,LONG,4,60,Intraday compression followed by two-bar expansion confirmation with trend gate.,868,-0.05272758879486885,-8.052727588794868,-24.052727588794873,-8.521015374214674,27.880184331797235,-7.647841043720952,-0.4048865450739161,607,261,-8.044550766167724,-8.071744183946889,26.02965403624382,32.18390804597701,-10.763480997901514,-26.76348099790151,0.0,17,-9.256303051693143,0.0,5,11.52073732718894,28.80184331797235,618,-8.32985398296713,-9.63946208082711,8.98123835703979,8.064516129032258,2.880184331797235,-13.536539751711762,16.47509578544061,5.363984674329502,-9.04693519464457,-8.042341175982676,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42A_LONDON_ASIA_RANGE_MICRO_RETEST,LONDON_ASIA_BREAK_HOLD_SHORT_TOL25,SHORT,8,120,"M15 London-open Asia range break, retest, and hold continuation.",500,-0.14171026669943546,-8.141710266699436,-24.141710266699434,-8.881088350299652,33.0,-8.699116538553762,0.557406271854326,350,150,-7.799013279851427,-8.941336569344786,32.285714285714285,34.66666666666667,-20.90418317524019,-36.904183175240185,0.0,17,-10.530471115010757,0.0,5,8.0,23.799999999999997,387,-7.444216789027138,-14.899345913727547,14.047303869968442,12.8,5.2,-20.541404601437385,22.666666666666664,10.0,-9.53163878480875,-8.050761016711292,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42E_LONDON_RANGE_ACCEPTANCE_REJECTION,LONDON_RANGE_ACCEPT_LONG_TOL10,LONG,8,120,NY-overlap acceptance above London morning range high.,616,-0.15362318513342366,-8.153623185133425,-24.153623185133423,-8.551629373981566,38.961038961038966,-7.300883461446238,-0.8527397236871863,431,185,-9.311564707731744,-5.455932394647602,36.42691415313225,44.86486486486487,-23.92527056475065,-39.92527056475065,5.88235294117647,17,-12.252992839702301,0.0,5,8.928571428571429,29.707792207792206,433,-8.324068014496717,-23.72541046817167,20.33258178885,33.116883116883116,20.12987012987013,-27.875340093989067,36.75675675675676,21.62162162162162,-10.495159451843955,-8.05955741453812,0.0,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;residual_gt_0;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
