rank,candidate,family,signal_count,pf_x4,avg_net_x4,win_rate_x4,tail_pf_x4,tail_avg_net_x4,max_drawdown_x4,stage32d_decision,action,next_test,commercial_status
1,handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,15,3.043089,2.243025,0.846154,0.0,3.72394,-14.272175,PROMISING_LOW_N_ACCELERATE_COLLECTION,ACCELERATE_FORWARD_SAMPLE_COLLECTION,Keep in tracker; do not evaluate until minimum review sample count is reached.,RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
2,handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,15,2.612842,2.174892,0.846154,1.734659,1.28788,-17.5303,PROMISING_LOW_N_ACCELERATE_COLLECTION,ACCELERATE_FORWARD_SAMPLE_COLLECTION,Keep in tracker; do not evaluate until minimum review sample count is reached.,RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
3,calendar_drop_friday_h9_tp06_sl065,calendar_time_risk_proxy_v1,27,1.141681,0.297066,0.52,1.159715,0.350942,-17.73745,REVIEW_FLAG_BUT_METRIC_WEAK_RECHECK,KEEP_SECONDARY_COLLECTION,Continue collecting; not review-ready.,RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
4,vol_trans_fade_h1_low_to_high_h12_tp06_sl065,volatility_transition_v1,21,1.298189,0.668022,0.684211,0.564206,-1.561327,-30.683475,KEEP_COLLECTING_OR_REPAIR_RESEARCH_ONLY,KEEP_SECONDARY_COLLECTION,Continue collecting; not review-ready.,RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
5,calendar_drop_friday_h13_tp06_sl065,calendar_time_risk_proxy_v1,27,0.933662,-0.147248,0.541667,1.197193,0.4009,-18.9303,KEEP_COLLECTING_OR_REPAIR_RESEARCH_ONLY,DEMOTE_TO_REPAIR_OR_BACKGROUND,Do not consume primary attention until retested or repaired.,RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
6,vol_trans_follow_h1_low_to_high_h13_tp06_sl065,volatility_transition_v1,22,0.843633,-0.474349,0.6,0.327474,-3.261672,-45.034175,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,PAUSE_PRIMARY_SHADOW_OR_TEST_INVERSION,"Move to repair queue; check direction inversion, hour suppression, and overlap with stronger variants.",RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
7,calendar_drop_monday_h13_tp06_sl065,calendar_time_risk_proxy_v1,25,0.817511,-0.456615,0.5,0.417467,-2.031952,-33.07835,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,PAUSE_PRIMARY_SHADOW_OR_TEST_INVERSION,"Move to repair queue; check direction inversion, hour suppression, and overlap with stronger variants.",RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
8,handoff_align_follow_h15_tp06_sl065,session_handoff_imbalance_v1,15,0.748923,-0.759812,0.615385,0.711997,-0.866415,-18.840375,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,PAUSE_PRIMARY_SHADOW_OR_TEST_INVERSION,"Move to repair queue; check direction inversion, hour suppression, and overlap with stronger variants.",RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
9,vol_trans_follow_h1_low_to_high_h12_tp06_sl065,volatility_transition_v1,21,0.468069,-2.119478,0.473684,0.779321,-0.655827,-43.820675,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,PAUSE_PRIMARY_SHADOW_OR_TEST_INVERSION,"Move to repair queue; check direction inversion, hour suppression, and overlap with stronger variants.",RESEARCH_SHADOW_ONLY_NO_EA_NO_PAPER_LIVE
