group_name,group_value,direction,horizon_hours,diagnosis,edge_score,samples,avg_close_move,median_close_move,median_mfe,median_mae,hit_plus_10_rate,hit_plus_15_rate,hit_plus_24_rate,hit_minus_10_rate,hit_minus_15_rate,tp15_first_rate,sl15_first_rate,tp24_first_rate,sl24_first_rate
compression_bucket,low,short,6,NO_CLEAR_FORWARD_EDGE,-0.461627,1663,-0.410517,-0.06,6.88,-6.77,0.351173,0.224293,0.111245,0.361395,0.233313,0.202646,0.20926,0.096813,0.226097
session,london,short,12,NO_CLEAR_FORWARD_EDGE,-0.468105,2094,-0.252727,0.07,10.625,-11.255,0.518147,0.367717,0.21872,0.541547,0.400191,0.311843,0.341929,0.17001,0.37297
compression_bucket,high,long,12,NO_CLEAR_FORWARD_EDGE,-0.483044,1654,-0.681959,1.385,9.985,-8.18,0.499395,0.342805,0.203144,0.441354,0.320435,0.287183,0.256348,0.155985,0.286578
vol_bucket,low,short,6,NO_CLEAR_FORWARD_EDGE,-0.487217,1629,-0.463892,-0.61,4.28,-5.44,0.251074,0.16636,0.090853,0.279312,0.168815,0.145488,0.149171,0.075506,0.160835
year,2023,short,12,NO_CLEAR_FORWARD_EDGE,-0.496889,1928,-0.393154,0.01,5.84,-5.795,0.26971,0.131743,0.039938,0.278008,0.147303,0.131224,0.145747,0.039938,0.147303
compression_bucket,mid_high,short,3,AVOID_OR_REVERSE_CANDIDATE,-0.512816,2282,-0.497038,-0.37,3.495,-4.07,0.198072,0.11525,0.062226,0.208151,0.116564,0.102103,0.104733,0.052585,0.113059
compression_bucket,low,short,12,AVOID_OR_REVERSE_CANDIDATE,-0.534343,1663,-0.43092,0.02,9.15,-9.56,0.467228,0.321708,0.176188,0.484065,0.337342,0.273001,0.287432,0.1365,0.321708
h4_trend,neutral,long,3,AVOID_OR_REVERSE_CANDIDATE,-0.560703,2669,-0.416081,0.19,3.92,-3.96,0.209816,0.122892,0.058824,0.24054,0.144623,0.108655,0.128887,0.049831,0.138629
h1_trend,up,short,3,AVOID_OR_REVERSE_CANDIDATE,-0.577937,3016,-0.548757,-0.335,3.805,-4.16,0.20756,0.123342,0.056034,0.227122,0.129642,0.114058,0.117374,0.050066,0.124668
year,2024,short,6,AVOID_OR_REVERSE_CANDIDATE,-0.582184,1960,-0.54749,-0.93,4.725,-5.805,0.242857,0.130102,0.047959,0.272959,0.134694,0.127041,0.132143,0.046939,0.133673
h1_trend,neutral,short,6,AVOID_OR_REVERSE_CANDIDATE,-0.584499,2682,-0.599787,-0.265,6.1,-6.025,0.335198,0.211037,0.112975,0.331469,0.209918,0.187919,0.185309,0.095824,0.199105
session,london_ny_overlap,short,6,AVOID_OR_REVERSE_CANDIDATE,-0.610836,1397,-0.384639,-0.3,7.49,-7.8,0.387974,0.254116,0.146027,0.41446,0.281317,0.21403,0.248389,0.112384,0.265569
macro_bucket,normal,short,6,AVOID_OR_REVERSE_CANDIDATE,-0.635355,7890,-0.553984,-0.46,5.69,-6.07,0.313054,0.201141,0.109886,0.331305,0.212674,0.175285,0.186946,0.089354,0.201014
year,2026,long,3,AVOID_OR_REVERSE_CANDIDATE,-0.699082,847,-0.38503,0.9,13.56,-15.18,0.597403,0.468713,0.290437,0.670602,0.507674,0.376623,0.423849,0.227863,0.476978
impulse_bucket,normal,short,6,AVOID_OR_REVERSE_CANDIDATE,-0.722681,5609,-0.652435,-0.54,5.18,-5.66,0.289713,0.188091,0.104297,0.312712,0.199144,0.1642,0.173828,0.084685,0.187377
h1_trend,neutral,short,12,AVOID_OR_REVERSE_CANDIDATE,-0.731549,2682,-0.654739,-0.27,8.715,-9.06,0.452274,0.306488,0.181581,0.46607,0.316928,0.261745,0.272931,0.146905,0.296421
macro_bucket,shock,short,3,IGNORE_TOO_FEW_SAMPLES,-0.733637,11,-1.37,-5.43,11.78,-9.92,0.636364,0.454545,0.090909,0.454545,0.363636,0.454545,0.363636,0.090909,0.363636
vol_bucket,mid_high,short,6,AVOID_OR_REVERSE_CANDIDATE,-0.753028,2347,-0.679318,-0.29,6.26,-6.49,0.340009,0.217725,0.115467,0.354069,0.22582,0.188752,0.200256,0.093311,0.214316
compression_bucket,mid_low,short,6,AVOID_OR_REVERSE_CANDIDATE,-0.756558,2304,-0.737891,-0.155,5.8,-5.81,0.30816,0.199653,0.105035,0.319444,0.203559,0.178819,0.18099,0.090712,0.192274
year,2025,short,3,AVOID_OR_REVERSE_CANDIDATE,-0.795638,1951,-0.743357,-1.12,6.25,-7.2,0.334188,0.201948,0.09021,0.375705,0.207586,0.186571,0.194772,0.079959,0.203485
vol_bucket,low,short,12,AVOID_OR_REVERSE_CANDIDATE,-0.810551,1629,-0.619632,-1.0,7.58,-9.23,0.399018,0.278699,0.170043,0.468999,0.302026,0.230816,0.259669,0.1283,0.282996
impulse_bucket,expanded,short,12,AVOID_OR_REVERSE_CANDIDATE,-0.888479,1521,-0.717541,-0.32,9.41,-9.77,0.477318,0.330703,0.185404,0.493754,0.350427,0.278107,0.304405,0.147929,0.330703
h4_trend,down,long,3,AVOID_OR_REVERSE_CANDIDATE,-0.893138,2029,-0.728034,-0.21,3.46,-3.98,0.190734,0.108428,0.053228,0.209463,0.13307,0.093149,0.116313,0.040414,0.127156
vol_bucket,mid_low,short,6,AVOID_OR_REVERSE_CANDIDATE,-1.010654,2298,-0.958869,-0.395,5.38,-5.53,0.289817,0.178851,0.091384,0.303742,0.192776,0.163185,0.167972,0.079634,0.181897
compression_bucket,mid_high,short,6,AVOID_OR_REVERSE_CANDIDATE,-1.138865,2282,-1.00784,-0.705,4.95,-5.71,0.286591,0.177914,0.104733,0.309816,0.196319,0.154689,0.173532,0.085013,0.186678
session,other,short,12,AVOID_OR_REVERSE_CANDIDATE,-1.158707,278,-1.007626,-1.92,5.765,-8.54,0.345324,0.219424,0.140288,0.428058,0.223022,0.172662,0.201439,0.100719,0.215827
impulse_bucket,shock_impulse,short,6,AVOID_OR_REVERSE_CANDIDATE,-1.195098,773,-0.977762,-0.31,6.81,-7.61,0.371281,0.219922,0.122898,0.388098,0.25097,0.192755,0.223803,0.098318,0.239327
compression_bucket,mid_low,short,12,AVOID_OR_REVERSE_CANDIDATE,-1.210814,2304,-1.154826,0.01,8.295,-8.77,0.434896,0.301649,0.169705,0.457465,0.311198,0.259983,0.267361,0.140191,0.289931
macro_bucket,normal,short,12,AVOID_OR_REVERSE_CANDIDATE,-1.287759,7890,-1.07344,-0.835,8.2,-9.31,0.429024,0.296451,0.174525,0.474778,0.327883,0.250317,0.280608,0.135741,0.30507
session,other,short,6,AVOID_OR_REVERSE_CANDIDATE,-1.299066,278,-1.324245,-1.155,3.08,-5.425,0.251799,0.158273,0.071942,0.241007,0.136691,0.125899,0.129496,0.057554,0.136691
impulse_bucket,normal,short,12,AVOID_OR_REVERSE_CANDIDATE,-1.304226,5609,-1.089929,-0.87,7.87,-9.2,0.417187,0.290248,0.175432,0.472455,0.323409,0.245142,0.274737,0.136031,0.299162
h1_trend,up,short,6,AVOID_OR_REVERSE_CANDIDATE,-1.310381,3016,-1.078946,-0.525,5.7,-6.42,0.30305,0.194629,0.102454,0.34748,0.227454,0.170424,0.203581,0.083886,0.217175
year,2024,short,12,AVOID_OR_REVERSE_CANDIDATE,-1.426159,1960,-1.145036,-1.75,7.09,-9.045,0.362755,0.235714,0.105102,0.452551,0.270408,0.221939,0.264286,0.097959,0.268367
h4_trend,up,short,3,AVOID_OR_REVERSE_CANDIDATE,-1.500245,3199,-1.353951,-0.86,3.71,-4.66,0.201626,0.117537,0.051266,0.247265,0.140669,0.109409,0.129415,0.045952,0.13598
vol_bucket,mid_low,short,12,AVOID_OR_REVERSE_CANDIDATE,-1.544965,2298,-1.383956,-0.685,8.09,-9.075,0.421671,0.286771,0.158834,0.464317,0.319408,0.251958,0.271105,0.132289,0.29765
year,2025,short,6,AVOID_OR_REVERSE_CANDIDATE,-1.809189,1952,-1.468514,-1.56,8.645,-10.455,0.448258,0.311988,0.16752,0.518955,0.355533,0.27459,0.325307,0.140881,0.344775
impulse_bucket,shock_impulse,short,12,AVOID_OR_REVERSE_CANDIDATE,-1.928549,773,-1.642652,-1.27,8.15,-9.12,0.425614,0.278137,0.148771,0.45925,0.320828,0.238034,0.278137,0.112549,0.300129
session,other,short,3,AVOID_OR_REVERSE_CANDIDATE,-2.027086,278,-1.825647,-0.98,1.33,-2.94,0.100719,0.057554,0.017986,0.136691,0.086331,0.05036,0.079137,0.014388,0.086331
session,new_york,short,6,AVOID_OR_REVERSE_CANDIDATE,-2.028258,1698,-1.946985,-0.605,3.4,-3.995,0.175501,0.116019,0.061249,0.209069,0.133098,0.104829,0.114252,0.052415,0.122497
h4_trend,up,short,6,AVOID_OR_REVERSE_CANDIDATE,-2.0891,3199,-1.742116,-1.12,5.59,-7.02,0.300406,0.193811,0.101594,0.380119,0.242263,0.170678,0.220694,0.084401,0.233823
vol_bucket,mid_high,short,12,AVOID_OR_REVERSE_CANDIDATE,-2.11118,2347,-1.869165,-0.35,8.65,-9.54,0.45164,0.309757,0.179804,0.484448,0.343417,0.260332,0.295271,0.139753,0.319131
h1_trend,up,short,12,AVOID_OR_REVERSE_CANDIDATE,-2.483327,3016,-2.061575,-1.25,8.105,-9.955,0.422745,0.291446,0.167109,0.498011,0.353117,0.247679,0.307361,0.129642,0.331565
session,new_york,short,12,AVOID_OR_REVERSE_CANDIDATE,-2.501355,1698,-2.266961,-0.905,5.205,-6.3,0.280919,0.187868,0.106007,0.339812,0.222615,0.156655,0.189635,0.08245,0.204358
macro_bucket,shock,short,6,IGNORE_TOO_FEW_SAMPLES,-2.735455,11,-3.19,0.33,14.75,-11.47,0.727273,0.454545,0.181818,0.545455,0.454545,0.454545,0.363636,0.181818,0.454545
session,london_ny_overlap,short,12,AVOID_OR_REVERSE_CANDIDATE,-2.799364,1397,-2.468654,-0.98,8.13,-9.01,0.425197,0.287044,0.168218,0.46743,0.330709,0.236936,0.285612,0.124553,0.307802
h4_trend,up,short,12,AVOID_OR_REVERSE_CANDIDATE,-3.130265,3199,-2.535392,-2.03,8.0,-10.87,0.421069,0.295092,0.171304,0.531729,0.379181,0.250391,0.33573,0.135042,0.359487
compression_bucket,mid_high,short,12,AVOID_OR_REVERSE_CANDIDATE,-3.189388,2282,-2.727949,-1.815,7.375,-9.29,0.388256,0.256792,0.157318,0.469325,0.328659,0.221297,0.284838,0.126205,0.303243
year,2025,short,12,AVOID_OR_REVERSE_CANDIDATE,-3.428442,1952,-2.813689,-3.01,12.035,-15.59,0.565574,0.43084,0.27459,0.664959,0.515369,0.351947,0.441086,0.214652,0.487193
macro_bucket,shock,short,12,IGNORE_TOO_FEW_SAMPLES,-8.850001,11,-8.304545,-5.43,14.75,-20.91,0.727273,0.454545,0.272727,0.727273,0.727273,0.454545,0.454545,0.272727,0.545455
macro_bucket,macro_high,long,3,IGNORE_TOO_FEW_SAMPLES,-48.93,2,-41.93,-41.93,13.235,-46.185,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
macro_bucket,macro_high,long,12,IGNORE_TOO_FEW_SAMPLES,-50.115,2,-43.115,-43.115,13.235,-59.045,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
macro_bucket,macro_high,long,6,IGNORE_TOO_FEW_SAMPLES,-52.815,2,-45.815,-45.815,13.235,-57.29,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
