group_name,group_value,direction,horizon_hours,diagnosis,edge_score,samples,avg_close_move,median_close_move,median_mfe,median_mae,hit_plus_10_rate,hit_plus_15_rate,hit_plus_24_rate,hit_minus_10_rate,hit_minus_15_rate,tp15_first_rate,sl15_first_rate,tp24_first_rate,sl24_first_rate
macro_bucket,shock,long,6,IGNORE_TOO_FEW_SAMPLES,2.735455,11,3.19,-0.33,11.47,-14.75,0.545455,0.454545,0.272727,0.727273,0.454545,0.363636,0.454545,0.181818,0.454545
h4_trend,down,short,3,WATCHLIST_REGIME,0.893138,2029,0.728034,0.21,3.98,-3.46,0.209463,0.13307,0.071957,0.190734,0.108428,0.116313,0.093149,0.059142,0.102021
impulse_bucket,expanded,long,12,WATCHLIST_REGIME,0.888479,1521,0.717541,0.32,9.77,-9.41,0.493754,0.350427,0.192636,0.477318,0.330703,0.304405,0.278107,0.153846,0.309007
vol_bucket,low,long,12,WATCHLIST_REGIME,0.810551,1629,0.619632,1.0,9.23,-7.58,0.468999,0.302026,0.158993,0.399018,0.278699,0.259669,0.230816,0.129527,0.256599
year,2025,long,3,WATCHLIST_REGIME,0.795638,1951,0.743357,1.12,7.2,-6.25,0.375705,0.207586,0.081497,0.334188,0.201948,0.194772,0.186571,0.074833,0.197335
compression_bucket,mid_low,long,6,WATCHLIST_REGIME,0.756558,2304,0.737891,0.155,5.81,-5.8,0.319444,0.203559,0.094184,0.30816,0.199653,0.18099,0.178819,0.077257,0.19184
vol_bucket,mid_high,long,6,WATCHLIST_REGIME,0.753028,2347,0.679318,0.29,6.49,-6.26,0.354069,0.22582,0.117597,0.340009,0.217725,0.200256,0.188752,0.097145,0.206647
macro_bucket,shock,long,3,IGNORE_TOO_FEW_SAMPLES,0.733637,11,1.37,5.43,9.92,-11.78,0.454545,0.363636,0.090909,0.636364,0.454545,0.363636,0.454545,0.090909,0.454545
h1_trend,neutral,long,12,WATCHLIST_REGIME,0.731549,2682,0.654739,0.27,9.06,-8.715,0.46607,0.316928,0.177479,0.452274,0.306488,0.272931,0.261745,0.139448,0.288591
impulse_bucket,normal,long,6,WATCHLIST_REGIME,0.722681,5609,0.652435,0.54,5.66,-5.18,0.312712,0.199144,0.106258,0.289713,0.188091,0.173828,0.1642,0.08736,0.177928
year,2026,short,3,WATCHLIST_REGIME,0.699082,847,0.38503,-0.9,15.18,-13.56,0.670602,0.507674,0.321133,0.597403,0.468713,0.423849,0.376623,0.25974,0.42621
macro_bucket,normal,long,6,WATCHLIST_REGIME,0.635355,7890,0.553984,0.46,6.07,-5.69,0.331305,0.212674,0.107605,0.313054,0.201141,0.186946,0.175285,0.08834,0.190621
session,london_ny_overlap,long,6,WATCHLIST_REGIME,0.610836,1397,0.384639,0.3,7.8,-7.49,0.41446,0.281317,0.136006,0.387974,0.254116,0.248389,0.21403,0.110236,0.239084
h1_trend,neutral,long,6,WATCHLIST_REGIME,0.584499,2682,0.599787,0.265,6.025,-6.1,0.331469,0.209918,0.105145,0.335198,0.211037,0.185309,0.187919,0.084638,0.204325
year,2024,long,6,WATCHLIST_REGIME,0.582184,1960,0.54749,0.93,5.805,-4.725,0.272959,0.134694,0.034184,0.242857,0.130102,0.132143,0.127041,0.033673,0.129082
h1_trend,up,long,3,WATCHLIST_REGIME,0.577937,3016,0.548757,0.335,4.16,-3.805,0.227122,0.129642,0.055371,0.20756,0.123342,0.117374,0.114058,0.050729,0.119695
h4_trend,neutral,short,3,WATCHLIST_REGIME,0.560703,2669,0.416081,-0.19,3.96,-3.92,0.24054,0.144623,0.073436,0.209816,0.122892,0.128887,0.108655,0.06257,0.116898
compression_bucket,low,long,12,WATCHLIST_REGIME,0.534343,1663,0.43092,-0.02,9.56,-9.15,0.484065,0.337342,0.188815,0.467228,0.321708,0.287432,0.273001,0.152736,0.303067
compression_bucket,mid_high,long,3,WATCHLIST_REGIME,0.512816,2282,0.497038,0.37,4.07,-3.495,0.208151,0.116564,0.052147,0.198072,0.11525,0.104733,0.102103,0.042945,0.110429
year,2023,long,12,WATCHLIST_REGIME,0.496889,1928,0.393154,-0.01,5.795,-5.84,0.278008,0.147303,0.049793,0.26971,0.131743,0.145747,0.131224,0.048755,0.131743
vol_bucket,low,long,6,WATCHLIST_REGIME,0.487217,1629,0.463892,0.61,5.44,-4.28,0.279312,0.168815,0.082259,0.251074,0.16636,0.149171,0.145488,0.069368,0.157766
compression_bucket,high,short,12,WATCHLIST_REGIME,0.483044,1654,0.681959,-1.385,8.18,-9.985,0.441354,0.320435,0.204353,0.499395,0.342805,0.256348,0.287183,0.143289,0.31318
session,london,long,12,WATCHLIST_REGIME,0.468105,2094,0.252727,-0.07,11.255,-10.625,0.541547,0.400191,0.226361,0.518147,0.367717,0.341929,0.311843,0.183859,0.340497
compression_bucket,low,long,6,WATCHLIST_REGIME,0.461627,1663,0.410517,0.06,6.77,-6.88,0.361395,0.233313,0.111245,0.351173,0.224293,0.20926,0.202646,0.095009,0.21828
