events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,years_positive_x4,year_count,family,name,direction_mode,entry_hour,horizon_min,tp_atr,sl_atr,params,params_json,decision,rank_score
540,0.7769244096128354,0.31612994224745944,0.1816641615314131,0.23413141959156306,-0.5227999999999837,-743.2719000000028,0.35,0,5,session_handoff_imbalance_v1,handoff_align_follow_h15_tp06_sl065,align_follow,15,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.013792442040767322
35,0.611409685228212,0.2227175655417019,0.12467492550820734,0.06076725777139951,-1.4,-52.3931500000001,0.2,1,5,liquidity_sweep_regime_v1,liq_pdh_reclaim_fade_h12_tp06_sl065,reclaim_fade,12,180,0.6,0.65,{'level': 'pdh'},"{""level"": ""pdh""}",STAGE28A_REJECT,-0.054514994388537685
522,0.7139773757546176,0.28089159234043515,0.16228053913963117,0.2047337814208052,-0.6948499999999966,-766.0223749999991,0.2988505747126437,0,5,session_handoff_imbalance_v1,handoff_divergence_fade_h13_tp06_sl065,divergence_fade,13,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.08178970915761583
1288,0.7946135951085405,0.26625944446090166,0.1443122773362805,0.22757264928309145,-1.4,-1632.4716999999955,0.25232919254658387,0,5,calendar_time_risk_proxy_v1,calendar_drop_friday_h13_tp06_sl065,drop_friday,13,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.08785393337917194
1288,0.7865136910303204,0.26466364478845117,0.14504774633038975,0.2210269457873047,-1.4,-1642.3336000000006,0.24378881987577639,0,5,calendar_time_risk_proxy_v1,calendar_drop_monday_h13_tp06_sl065,drop_monday,13,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.09359044410220943
645,0.6473517780576228,0.24900315410851412,0.14710407887639138,0.20803278474577844,-2.0971249999999144,-991.6555500000034,0.2248062015503876,0,5,calendar_time_risk_proxy_v1,calendar_keep_tue_wed_thu_h9_tp06_sl065,keep_tue_wed_thu,9,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.11810049460944938
571,0.8969754942897867,0.23733451390091992,0.11157694068806631,0.18244007260885034,-0.556400000000076,-654.586424999999,0.27495621716287216,1,5,volatility_transition_v1,vol_trans_follow_h1_high_cooling_h13_tp06_sl065,follow_h1,13,180,0.6,0.65,{'regime': 'high_cooling'},"{""regime"": ""high_cooling""}",STAGE28A_REJECT,-0.1700753525303122
522,0.5780870528449945,0.21371390718811903,0.11650328283640635,0.169266597332679,-2.1920250000000805,-897.066825000001,0.29693486590038315,0,5,session_handoff_imbalance_v1,handoff_divergence_fade_h14_tp06_sl065,divergence_fade,14,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.2012611063633075
1288,0.6260667653179421,0.20572518693020353,0.117456516099782,0.1590777421979893,-1.4,-1876.5694000000024,0.17003105590062112,0,5,calendar_time_risk_proxy_v1,calendar_drop_friday_h9_tp06_sl065,drop_friday,9,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.21244808261135098
1288,0.5842499814375594,0.1919507736957922,0.10910596920996132,0.1556013527965115,-1.4,-1941.591125000004,0.16071428571428573,0,5,calendar_time_risk_proxy_v1,calendar_drop_monday_h9_tp06_sl065,drop_monday,9,180,0.6,0.65,{},{},STAGE28A_REJECT,-0.23366629656068935
566,0.7794615503199859,0.1847730341236516,0.08049922616223013,0.1479436573058713,-0.5585000000000035,-715.5419499999989,0.24558303886925795,0,5,volatility_transition_v1,vol_trans_follow_h1_high_cooling_h12_tp06_sl065,follow_h1,12,180,0.6,0.65,{'regime': 'high_cooling'},"{""regime"": ""high_cooling""}",STAGE28A_REJECT,-0.2655386974100243
24,0.2745710355452266,0.11537713298418621,0.06673124610330489,0.004958797691566591,-2.6135500000000547,-57.40837499999961,0.16666666666666666,0,4,liquidity_sweep_regime_v1,liq_pdl_reclaim_fade_h12_tp06_sl065,reclaim_fade,12,180,0.6,0.65,{'level': 'pdl'},"{""level"": ""pdl""}",STAGE28A_REJECT,-0.2767177954937325
48,0.4906710305362493,0.17179814410653507,0.09354919595642092,0.0330673742967494,-2.507112499999971,-87.59317499999992,0.20833333333333334,0,5,liquidity_sweep_regime_v1,liq_asia_high_reclaim_fade_h12_tp06_sl065,reclaim_fade,12,180,0.6,0.65,{'level': 'asia_high'},"{""level"": ""asia_high""}",STAGE28A_REJECT,-0.3094257047429715
285,0.4730171726973862,0.17340151347165894,0.09562492014410134,0.11230262545398577,-2.4916749999998955,-552.733574999997,0.2631578947368421,0,5,liquidity_sweep_regime_v1,liq_pdh_breakout_follow_h12_tp06_sl065,breakout_follow,12,180,0.6,0.65,{'level': 'pdh'},"{""level"": ""pdh""}",STAGE28A_REJECT,-0.3238554746529469
566,0.6084352008334145,0.13828074182782968,0.06267068709824519,0.10533491070539715,-0.7431500000000368,-837.5613249999976,0.2049469964664311,0,5,volatility_transition_v1,vol_trans_fade_h1_high_cooling_h12_tp06_sl065,fade_h1,12,180,0.6,0.65,{'regime': 'high_cooling'},"{""regime"": ""high_cooling""}",STAGE28A_REJECT,-0.35255512580883874
226,0.9011307743684349,0.16789049040632417,0.06922529092532866,0.10611793701506045,-0.6193999999999504,-253.7795250000001,0.1902654867256637,1,5,session_compression_expansion_v1,sess_comp_exp_fade_london_h12_q0.3_tp06_sl065,fade_london,12,180,0.6,0.65,{'range_q': 0.3},"{""range_q"": 0.3}",STAGE28A_REJECT,-0.3626132556225482
356,0.46335129193143765,0.136292126982022,0.06878063921271561,0.09494002008665808,-2.4125375000000076,-668.8602999999986,0.22752808988764045,0,5,liquidity_sweep_regime_v1,liq_asia_high_breakout_follow_h12_tp06_sl065,breakout_follow,12,180,0.6,0.65,{'level': 'asia_high'},"{""level"": ""asia_high""}",STAGE28A_REJECT,-0.3730576529977798
226,0.5177899456787305,0.11174231025383638,0.05455111187359762,0.06109048352512605,-2.045287499999995,-337.2328499999993,0.11061946902654868,0,5,session_compression_expansion_v1,sess_comp_exp_follow_london_h9_q0.3_tp06_sl065,follow_london,9,180,0.6,0.65,{'range_q': 0.3},"{""range_q"": 0.3}",STAGE28A_REJECT,-0.467137705144265
226,0.6511411485854156,0.09363934916930772,0.03522338877514877,0.050604780826549844,-0.756800000000021,-297.95410000000146,0.13274336283185842,0,5,session_compression_expansion_v1,sess_comp_exp_fade_london_h9_q0.3_tp06_sl065,fade_london,9,180,0.6,0.65,{'range_q': 0.3},"{""range_q"": 0.3}",STAGE28A_REJECT,-0.5019375126149721
226,0.4623006582798343,0.06190626828079317,0.02237550943328834,0.03382054244958201,-0.8020999999999048,-358.9701499999975,0.12389380530973451,0,5,session_compression_expansion_v1,sess_comp_exp_follow_london_h12_q0.3_tp06_sl065,follow_london,12,180,0.6,0.65,{'range_q': 0.3},"{""range_q"": 0.3}",STAGE28A_REJECT,-0.5560308289502768
