classification,candidate,dimension_1,bucket_1,dimension_2,bucket_2,n,mean_final_bps,median_final_bps,cost_stressed_mean_bps,hit_rate_pct,median_mae_bps,median_mfe_bps,ex2025_mean_bps,leave_one_year_out_min_mean_bps,touch_stop_100bps_pct,mean_mae_bps,mean_mfe_bps,touch_stop_50bps_pct,touch_stop_150bps_pct,touch_target_50bps_pct,touch_target_100bps_pct,touch_target_150bps_pct,years_count,ex2025_n,leave_one_year_out_json
BAD_BUCKET_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,spread_regime,NA,47,6.487713846882323,-3.002990979015241,-1.5122861531176774,48.93617021276596,-88.40617792181149,97.08912529834413,-9.91207303515768,-13.0557128569246,46.808510638297875,-116.37936634219616,128.85809121022706,70.2127659574468,29.78723404255319,72.3404255319149,46.808510638297875,36.17021276595745,5,38,"{""2022"": 25.16826567653557, ""2023"": -13.0557128569246, ""2024"": 12.149028054954574, ""2025"": -9.91207303515768, ""2026"": 14.672214209014054}"
BAD_BUCKET_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,NY_13_19,prior_ret24_regime,DOWN_MODERATE_-200_-75BPS,43,-2.558188469737767,33.22423391442841,-10.558188469737768,60.46511627906976,-95.29954577809141,115.17199017198942,-38.01537446448327,-39.79906753558112,46.51162790697674,-145.35035214504288,124.88067692258241,67.44186046511628,25.581395348837212,76.74418604651163,53.48837209302325,39.53488372093023,5,35,"{""2022"": 10.938819228807887, ""2023"": -39.79906753558112, ""2024"": 7.727889377292047, ""2025"": -38.01537446448327, ""2026"": 35.01004414579812}"
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LONDON_07_12,spread_regime,NA,31,68.92231859161537,49.98685861355767,60.92231859161536,61.29032258064516,-76.42121467580587,133.40089870079063,70.0974628588353,51.19763024532364,38.70967741935484,-113.32227699036441,180.51337552536248,70.96774193548387,29.03225806451613,74.19354838709677,58.06451612903226,45.16129032258064,5,21,"{""2022"": 70.15383433528184, ""2023"": 93.29545753049672, ""2024"": 62.814276277965384, ""2025"": 70.0974628588353, ""2026"": 51.19763024532364}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,2,465.0849130103452,465.0849130103452,457.0849130103452,100.0,-96.5712773529992,539.5804886229283,660.1801142766761,269.9897117440142,50.0,-96.5712773529992,539.5804886229283,100.0,0.0,100.0,100.0,100.0,2,1,"{""2025"": 660.1801142766761, ""2026"": 269.9897117440142}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,atr24_bucket,ATR24_HIGH,4,249.8672929126708,321.73040434440804,241.8672929126708,75.0,-96.5712773529992,329.7606246965312,178.00418148093357,178.00418148093357,50.0,-148.4675253721418,365.0265849955298,75.0,25.0,75.0,75.0,75.0,2,2,"{""2025"": 178.00418148093357, ""2026"": 321.73040434440804}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,atr24_bucket,ATR24_LOW,1,206.32387706855937,206.32387706855937,198.32387706855937,100.0,-66.54846335697351,278.4869976359339,206.32387706855937,,0.0,-66.54846335697351,278.4869976359339,100.0,0.0,100.0,100.0,100.0,1,1,{}
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,spread_regime,NA,10,156.40535312326733,194.44151665743647,148.40535312326733,70.0,-61.139057001249334,242.14102788553515,105.4333666139348,105.4333666139348,40.0,-105.03181287928298,270.87972220853396,60.0,20.0,90.0,90.0,70.0,5,7,"{""2022"": 226.71098856451212, ""2023"": 164.21434770208853, ""2024"": 138.35881567688457, ""2025"": 105.4333666139348, ""2026"": 151.00564603385075}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,atr24_bucket,ATR24_MID,4,154.20200011052597,109.77243903966594,146.20200011052597,100.0,-36.74426885933502,182.1752326849546,97.03413394727652,97.03413394727652,0.0,-29.0509337168815,217.14801469879916,0.0,0.0,100.0,100.0,75.0,3,3,"{""2022"": 178.73148869443617, ""2024"": 203.15956647953493, ""2025"": 97.03413394727652}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,3,92.88603729225463,225.8560838218271,84.88603729225463,66.66666666666666,-116.37399387103842,288.51900359853965,302.4172408050485,-11.879564464142291,66.66666666666666,-154.30053298100879,264.7196710969757,66.66666666666666,33.33333333333333,100.0,100.0,66.66666666666666,2,1,"{""2022"": -11.879564464142291, ""2025"": 302.4172408050485}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,prior_ret24_regime,NEUTRAL_-75_75BPS,1,86.12440191387627,86.12440191387627,78.12440191387627,100.0,-44.795034268718666,178.86977886977905,86.12440191387627,,0.0,-44.795034268718666,178.86977886977905,0.0,0.0,100.0,100.0,100.0,1,1,{}
