events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters,period
30,-20.39,-0.679667,-1.11,0.433333,0.744005,-41.37,0,1,1,3,2022
38,36.2,0.952632,0.515,0.631579,1.677649,-18.09,1,1,3,4,2023
32,38.4,1.2,1.24,0.5625,1.766926,-18.93,1,1,3,4,2024
54,174.45,3.230556,1.98,0.703704,2.74015,-20.57,1,1,4,4,2025
35,-52.3,-1.494286,-1.42,0.485714,0.814532,-130.6,0,1,1,2,2026
