events,total,avg,median,wr,pf,dd,pos_years,years,months,year,variant,behavior,horizon_bars,cooldown_bars
51,9.65,0.189216,-3.24,0.45098,1.03952,-91.57,1,1,11,2023,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
46,-117.04,-2.544348,1.725,0.608696,0.667802,-213.12,0,1,12,2024,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
43,-115.56,-2.687442,1.44,0.511628,0.756752,-174.84,0,1,12,2025,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
17,-43.18,-2.54,-5.11,0.470588,0.910012,-256.75,0,1,6,2026,pdl_sweep_reclaim_long_loose_h32_cool4,pdl_sweep_reclaim_long_loose,32,4
33,-48.22,-1.461212,-1.96,0.393939,0.476836,-70.32,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h4_cool0,pdl_sweep_reclaim_long_controlled,4,0
26,1.15,0.044231,-0.04,0.5,1.02102,-23.7,1,1,10,2023,pdl_sweep_reclaim_long_controlled_h4_cool0,pdl_sweep_reclaim_long_controlled,4,0
33,20.97,0.635455,0.15,0.515152,1.47113,-15.3,1,1,11,2024,pdl_sweep_reclaim_long_controlled_h4_cool0,pdl_sweep_reclaim_long_controlled,4,0
48,49.47,1.030625,1.13,0.583333,1.338442,-36.36,1,1,12,2025,pdl_sweep_reclaim_long_controlled_h4_cool0,pdl_sweep_reclaim_long_controlled,4,0
15,120.03,8.002,6.31,0.733333,9.482686,-12.59,1,1,5,2026,pdl_sweep_reclaim_long_controlled_h4_cool0,pdl_sweep_reclaim_long_controlled,4,0
30,-36.84,-1.228,-1.6,0.433333,0.544003,-66.28,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h4_cool4,pdl_sweep_reclaim_long_controlled,4,4
26,1.15,0.044231,-0.04,0.5,1.02102,-23.7,1,1,10,2023,pdl_sweep_reclaim_long_controlled_h4_cool4,pdl_sweep_reclaim_long_controlled,4,4
31,15.63,0.504194,-0.21,0.483871,1.351157,-18.4,1,1,11,2024,pdl_sweep_reclaim_long_controlled_h4_cool4,pdl_sweep_reclaim_long_controlled,4,4
45,32.31,0.718,0.99,0.555556,1.230325,-28.19,1,1,12,2025,pdl_sweep_reclaim_long_controlled_h4_cool4,pdl_sweep_reclaim_long_controlled,4,4
13,107.07,8.236154,6.31,0.769231,32.215743,-1.87,1,1,5,2026,pdl_sweep_reclaim_long_controlled_h4_cool4,pdl_sweep_reclaim_long_controlled,4,4
30,-12.9,-0.43,-0.075,0.5,0.854697,-56.19,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h8_cool0,pdl_sweep_reclaim_long_controlled,8,0
26,5.95,0.228846,-1.135,0.423077,1.114865,-30.31,1,1,10,2023,pdl_sweep_reclaim_long_controlled_h8_cool0,pdl_sweep_reclaim_long_controlled,8,0
31,20.68,0.667097,-0.16,0.483871,1.269131,-33.61,1,1,11,2024,pdl_sweep_reclaim_long_controlled_h8_cool0,pdl_sweep_reclaim_long_controlled,8,0
45,23.87,0.530444,-0.25,0.488889,1.132061,-67.09,1,1,12,2025,pdl_sweep_reclaim_long_controlled_h8_cool0,pdl_sweep_reclaim_long_controlled,8,0
13,40.45,3.111538,4.03,0.615385,1.524371,-45.31,1,1,5,2026,pdl_sweep_reclaim_long_controlled_h8_cool0,pdl_sweep_reclaim_long_controlled,8,0
29,-8.66,-0.298621,0.04,0.517241,0.897563,-51.95,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h8_cool4,pdl_sweep_reclaim_long_controlled,8,4
25,7.88,0.3152,-1.03,0.44,1.158011,-30.31,1,1,10,2023,pdl_sweep_reclaim_long_controlled_h8_cool4,pdl_sweep_reclaim_long_controlled,8,4
30,8.89,0.296333,-0.755,0.466667,1.109875,-39.3,1,1,11,2024,pdl_sweep_reclaim_long_controlled_h8_cool4,pdl_sweep_reclaim_long_controlled,8,4
42,32.29,0.76881,-0.11,0.5,1.190098,-58.67,1,1,12,2025,pdl_sweep_reclaim_long_controlled_h8_cool4,pdl_sweep_reclaim_long_controlled,8,4
12,70.97,5.914167,6.73,0.666667,2.522308,-45.31,1,1,5,2026,pdl_sweep_reclaim_long_controlled_h8_cool4,pdl_sweep_reclaim_long_controlled,8,4
28,-56.72,-2.025714,-2.225,0.357143,0.520865,-91.76,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h16_cool0,pdl_sweep_reclaim_long_controlled,16,0
25,22.55,0.902,3.54,0.56,1.258364,-55.61,1,1,10,2023,pdl_sweep_reclaim_long_controlled_h16_cool0,pdl_sweep_reclaim_long_controlled,16,0
29,-17.45,-0.601724,0.28,0.517241,0.856674,-84.6,0,1,11,2024,pdl_sweep_reclaim_long_controlled_h16_cool0,pdl_sweep_reclaim_long_controlled,16,0
41,-40.42,-0.985854,0.36,0.512195,0.850794,-160.81,0,1,12,2025,pdl_sweep_reclaim_long_controlled_h16_cool0,pdl_sweep_reclaim_long_controlled,16,0
12,32.53,2.710833,4.14,0.75,1.236582,-137.5,1,1,5,2026,pdl_sweep_reclaim_long_controlled_h16_cool0,pdl_sweep_reclaim_long_controlled,16,0
28,-56.72,-2.025714,-2.225,0.357143,0.520865,-91.76,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h16_cool4,pdl_sweep_reclaim_long_controlled,16,4
25,22.55,0.902,3.54,0.56,1.258364,-55.61,1,1,10,2023,pdl_sweep_reclaim_long_controlled_h16_cool4,pdl_sweep_reclaim_long_controlled,16,4
29,-17.45,-0.601724,0.28,0.517241,0.856674,-84.6,0,1,11,2024,pdl_sweep_reclaim_long_controlled_h16_cool4,pdl_sweep_reclaim_long_controlled,16,4
40,-42.52,-1.063,0.565,0.525,0.844249,-162.91,0,1,12,2025,pdl_sweep_reclaim_long_controlled_h16_cool4,pdl_sweep_reclaim_long_controlled,16,4
12,32.53,2.710833,4.14,0.75,1.236582,-137.5,1,1,5,2026,pdl_sweep_reclaim_long_controlled_h16_cool4,pdl_sweep_reclaim_long_controlled,16,4
28,-13.65,-0.4875,-3.73,0.321429,0.904679,-83.82,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h32_cool0,pdl_sweep_reclaim_long_controlled,32,0
24,-36.88,-1.536667,-3.345,0.416667,0.730528,-90.69,0,1,10,2023,pdl_sweep_reclaim_long_controlled_h32_cool0,pdl_sweep_reclaim_long_controlled,32,0
28,-115.87,-4.138214,1.075,0.571429,0.528274,-211.82,0,1,11,2024,pdl_sweep_reclaim_long_controlled_h32_cool0,pdl_sweep_reclaim_long_controlled,32,0
35,-20.92,-0.597714,1.9,0.542857,0.930192,-176.73,0,1,12,2025,pdl_sweep_reclaim_long_controlled_h32_cool0,pdl_sweep_reclaim_long_controlled,32,0
12,-90.4,-7.533333,0.66,0.5,0.750124,-286.34,0,1,5,2026,pdl_sweep_reclaim_long_controlled_h32_cool0,pdl_sweep_reclaim_long_controlled,32,0
28,-13.65,-0.4875,-3.73,0.321429,0.904679,-83.82,0,1,8,2022,pdl_sweep_reclaim_long_controlled_h32_cool4,pdl_sweep_reclaim_long_controlled,32,4
24,-36.88,-1.536667,-3.345,0.416667,0.730528,-90.69,0,1,10,2023,pdl_sweep_reclaim_long_controlled_h32_cool4,pdl_sweep_reclaim_long_controlled,32,4
27,-128.71,-4.767037,0.94,0.555556,0.476,-211.82,0,1,11,2024,pdl_sweep_reclaim_long_controlled_h32_cool4,pdl_sweep_reclaim_long_controlled,32,4
34,-41.69,-1.226176,1.67,0.529412,0.860885,-176.73,0,1,12,2025,pdl_sweep_reclaim_long_controlled_h32_cool4,pdl_sweep_reclaim_long_controlled,32,4
11,-143.96,-13.087273,-5.11,0.454545,0.602079,-286.34,0,1,5,2026,pdl_sweep_reclaim_long_controlled_h32_cool4,pdl_sweep_reclaim_long_controlled,32,4
44,13.02,0.295909,0.47,0.568182,1.180282,-22.73,1,1,8,2022,pdh_sweep_reject_short_loose_h4_cool0,pdh_sweep_reject_short_loose,4,0
57,45.3,0.794737,0.15,0.508772,1.46783,-24.12,1,1,12,2023,pdh_sweep_reject_short_loose_h4_cool0,pdh_sweep_reject_short_loose,4,0
86,56.47,0.656628,-0.15,0.488372,1.314982,-71.32,1,1,12,2024,pdh_sweep_reject_short_loose_h4_cool0,pdh_sweep_reject_short_loose,4,0
77,-192.69,-2.502468,-2.38,0.337662,0.405039,-233.7,0,1,12,2025,pdh_sweep_reject_short_loose_h4_cool0,pdh_sweep_reject_short_loose,4,0
37,12.99,0.351081,0.73,0.540541,1.078248,-65.37,1,1,6,2026,pdh_sweep_reject_short_loose_h4_cool0,pdh_sweep_reject_short_loose,4,0
40,10.92,0.273,0.2,0.55,1.162307,-27.18,1,1,8,2022,pdh_sweep_reject_short_loose_h4_cool4,pdh_sweep_reject_short_loose,4,4
52,34.06,0.655,0.24,0.519231,1.357473,-24.12,1,1,12,2023,pdh_sweep_reject_short_loose_h4_cool4,pdh_sweep_reject_short_loose,4,4
79,77.11,0.976076,-0.13,0.493671,1.529638,-36.96,1,1,12,2024,pdh_sweep_reject_short_loose_h4_cool4,pdh_sweep_reject_short_loose,4,4
66,-201.61,-3.054697,-2.89,0.30303,0.349603,-237.73,0,1,12,2025,pdh_sweep_reject_short_loose_h4_cool4,pdh_sweep_reject_short_loose,4,4
32,22.78,0.711875,0.895,0.5625,1.14731,-73.46,1,1,6,2026,pdh_sweep_reject_short_loose_h4_cool4,pdh_sweep_reject_short_loose,4,4
40,15.76,0.394,0.895,0.55,1.185915,-19.3,1,1,8,2022,pdh_sweep_reject_short_loose_h8_cool0,pdh_sweep_reject_short_loose,8,0
