behavior,side,horizon_bars,horizon_minutes,cooldown_bars,decision,score,reasons,events,freq_per_month,total_x1,avg_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,train80_events,train80_total,train80_pf,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,variant
pdl_breakdown_continuation_short,SHORT,16,240,4,REJECT,6.855307,Failed strict promotion/watchlist checks.,667,13.34,237.45,0.355997,-0.86,0.457271,1.066905,-390.08,4.0,1.001088,-462.9,0.882671,533,-188.49,0.900594,134,425.94,-1.33,1.257696,201,366.77,1.174938,69,430.95,4.91,1.405508,2,5,pdl_breakdown_continuation_short_h16_cool4
asia_low_breakdown_short,SHORT,8,120,0,REJECT,6.533645,Failed strict promotion/watchlist checks.,1053,21.489796,-12.59,-0.011956,-0.32,0.471035,0.996205,-340.35,-381.14,0.891613,-1118.24,0.716355,842,-57.04,0.974481,211,44.45,-0.81,1.041065,316,125.12,1.088398,32,243.32,4.025,2.116762,3,5,asia_low_breakdown_short_h8_cool0
pdl_sweep_reclaim_long_loose,LONG,16,240,0,REJECT,6.484884,Failed strict promotion/watchlist checks.,226,4.612245,84.62,0.374425,0.375,0.526549,1.079584,-226.15,5.52,1.005012,-152.68,0.871086,180,-55.93,0.926517,46,140.55,3.27,1.465166,68,76.84,1.164111,19,97.98,2.86,1.655823,2,5,pdl_sweep_reclaim_long_loose_h16_cool0
pdl_sweep_reclaim_long_loose,LONG,16,240,4,REJECT,6.430517,Failed strict promotion/watchlist checks.,223,4.55102,81.95,0.367489,0.39,0.529148,1.077003,-239.78,3.9,1.00354,-152.2,0.871324,178,-69.73,0.910023,45,151.68,3.67,1.524354,67,66.83,1.140446,19,96.23,2.86,1.64411,2,5,pdl_sweep_reclaim_long_loose_h16_cool4
pdl_sweep_reclaim_long_loose,LONG,4,60,0,REJECT,6.360683,Failed strict promotion/watchlist checks.,284,5.795918,10.52,0.037042,0.11,0.510563,1.013641,-121.24,-88.88,0.891875,-287.68,0.691234,227,-63.42,0.879811,57,73.94,0.92,1.30358,86,116.36,1.391771,23,88.0,3.6,1.830973,2,5,pdl_sweep_reclaim_long_loose_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,4,60,4,REJECT,6.258649,Failed strict promotion/watchlist checks.,255,5.204082,2.02,0.007922,0.09,0.509804,1.002913,-118.48,-87.23,0.881989,-265.73,0.683009,204,-80.12,0.835773,51,82.14,0.99,1.399455,77,84.05,1.306372,21,75.04,3.6,1.788401,2,5,pdl_sweep_reclaim_long_loose_h4_cool4
asia_low_breakdown_short,SHORT,16,240,0,REJECT,6.198099,Failed strict promotion/watchlist checks.,684,13.959184,221.7,0.324123,-0.42,0.475146,1.077951,-312.84,-17.7,0.994046,-496.5,0.846897,547,157.84,1.082084,137,63.86,-1.37,1.069323,206,184.63,1.150763,19,197.7,7.14,2.237404,3,5,asia_low_breakdown_short_h16_cool0
asia_high_breakout_long,LONG,16,240,0,REJECT,6.038108,Failed strict promotion/watchlist checks.,914,18.653061,152.42,0.166761,-0.17,0.491247,1.043182,-386.94,-167.48,0.954682,-807.28,0.800427,731,-183.22,0.930382,183,335.64,0.2,1.373781,275,434.71,1.357298,21,201.52,8.68,3.88752,2,5,asia_high_breakout_long_h16_cool0
asia_low_breakdown_short,SHORT,16,240,4,REJECT,5.999417,Failed strict promotion/watchlist checks.,610,12.44898,30.46,0.049934,-0.39,0.47541,1.011611,-242.81,-183.04,0.933141,-610.04,0.795164,488,-17.85,0.989918,122,48.31,-1.06,1.056642,183,93.48,1.085361,15,163.97,8.87,2.153419,3,5,asia_low_breakdown_short_h16_cool4
pdh_sweep_reject_short_loose,SHORT,32,480,4,REJECT,5.95602,Failed strict promotion/watchlist checks.,191,3.82,186.79,0.977958,1.47,0.539267,1.147744,-393.26,119.94,1.092612,-13.76,0.989868,152,340.5,1.492486,39,-153.71,-2.58,0.731694,58,-140.35,0.81209,20,78.88,16.415,1.338163,4,5,pdh_sweep_reject_short_loose_h32_cool4
