behavior,side,horizon_bars,horizon_minutes,cooldown_bars,decision,score,reasons,events,freq_per_month,total_x1,avg_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,train80_events,train80_total,train80_pf,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,variant
pdh_sweep_reject_short_loose,SHORT,4,60,4,REJECT,1.839362,Failed strict promotion/watchlist checks.,269,5.38,-56.74,-0.210929,-0.29,0.468401,0.926576,-278.9,-150.89,0.816912,-339.19,0.636515,215,28.39,1.057673,54,-85.13,-2.16,0.696517,81,-207.83,0.514212,32,22.78,0.895,1.14731,4,5,pdh_sweep_reject_short_loose_h4_cool4
pdh_sweep_reject_short_controlled,SHORT,4,60,4,REJECT,1.802061,Failed strict promotion/watchlist checks.,153,3.326087,-100.88,-0.659346,-0.45,0.457516,0.790623,-241.81,-154.43,0.698361,-261.53,0.54664,122,-29.48,0.895402,31,-71.4,-4.01,0.642946,46,-127.69,0.517568,22,28.12,0.81,1.288677,3,5,pdh_sweep_reject_short_controlled_h4_cool4
asia_high_breakout_long,LONG,4,60,0,REJECT,1.789544,Failed strict promotion/watchlist checks.,2414,49.265306,-522.43,-0.216417,-0.39,0.454432,0.90418,-812.62,-1367.33,0.76933,-3057.13,0.561299,1931,-742.09,0.816748,483,219.66,-0.08,1.156602,725,188.8,1.098097,58,244.5,1.89,2.427071,2,5,asia_high_breakout_long_h4_cool0
compressed_range_up_break_long,LONG,16,240,0,REJECT,1.776662,Failed strict promotion/watchlist checks.,145,3.152174,-170.09,-1.173034,1.39,0.606897,0.825788,-380.1,-220.84,0.778415,-322.34,0.690471,116,142.43,1.416962,29,-312.52,-7.31,0.507649,44,-224.8,0.660228,25,-344.08,-7.58,0.432792,3,5,compressed_range_up_break_long_h16_cool0
compressed_range_up_break_long,LONG,16,240,4,REJECT,1.727877,Failed strict promotion/watchlist checks.,138,3.0,-158.42,-1.147971,1.37,0.608696,0.825471,-380.1,-206.72,0.776989,-303.32,0.68717,110,159.76,1.585309,28,-318.18,-7.445,0.498732,42,-280.64,0.582424,24,-349.74,-9.285,0.423461,4,5,compressed_range_up_break_long_h16_cool4
pdh_sweep_reject_short_controlled,SHORT,4,60,0,REJECT,1.685981,Failed strict promotion/watchlist checks.,161,3.5,-94.1,-0.584472,-0.3,0.465839,0.808413,-246.5,-150.45,0.711986,-263.15,0.553506,128,-17.77,0.9375,33,-76.33,-4.01,0.630971,49,-132.71,0.511449,24,23.19,0.81,1.222382,3,5,pdh_sweep_reject_short_controlled_h4_cool0
pdh_sweep_reject_short_loose,SHORT,4,60,0,REJECT,1.680145,Failed strict promotion/watchlist checks.,301,6.02,-64.91,-0.215648,-0.23,0.471761,0.922561,-278.11,-170.26,0.809838,-380.96,0.625331,240,18.31,1.033641,61,-83.22,-1.96,0.716881,91,-161.04,0.596725,37,12.99,0.73,1.078248,4,5,pdh_sweep_reject_short_loose_h4_cool0
pdh_sweep_reject_short_controlled,SHORT,8,120,4,REJECT,1.67781,Failed strict promotion/watchlist checks.,143,3.108696,-128.19,-0.896434,-0.24,0.475524,0.779192,-307.92,-178.24,0.706398,-278.34,0.580687,114,-44.58,0.855845,29,-83.61,0.48,0.691817,43,-127.5,0.615999,21,51.79,1.12,1.40786,4,5,pdh_sweep_reject_short_controlled_h8_cool4
pdh_sweep_reject_short_controlled,SHORT,16,240,0,REJECT,1.671811,Failed strict promotion/watchlist checks.,135,2.934783,-102.22,-0.757185,-1.47,0.459259,0.860715,-358.46,-149.47,0.803306,-243.97,0.700297,108,-31.13,0.930006,27,-71.09,-3.32,0.754133,41,-82.62,0.778183,20,58.3,0.755,1.403098,3,5,pdh_sweep_reject_short_controlled_h16_cool0
pdh_sweep_reject_short_controlled,SHORT,8,120,0,REJECT,1.622209,Failed strict promotion/watchlist checks.,153,3.326087,-98.99,-0.646993,-0.24,0.477124,0.840189,-315.38,-152.54,0.76449,-259.64,0.633494,122,-5.21,0.984584,31,-93.78,-1.13,0.666821,46,-126.34,0.625914,22,46.09,1.085,1.347377,4,5,pdh_sweep_reject_short_controlled_h8_cool0
pdh_breakout_continuation_long,LONG,4,60,4,REJECT,1.534648,Failed strict promotion/watchlist checks.,1880,37.6,-152.32,-0.081021,-0.125,0.490426,0.967184,-437.99,-810.32,0.837492,-2126.32,0.630195,1504,-383.63,0.873139,376,231.31,0.915,1.142998,564,264.79,1.123317,190,36.35,-0.955,1.037159,2,5,pdh_breakout_continuation_long_h4_cool4
h4_up_sma_reclaim_long,LONG,4,60,0,REJECT,1.281988,Failed strict promotion/watchlist checks.,290,5.918367,-250.25,-0.862931,-0.18,0.475862,0.786096,-263.53,-351.75,0.712439,-554.75,0.586112,232,-127.48,0.792087,58,-122.77,-0.78,0.7795,87,-92.82,0.851924,21,-109.18,-2.54,0.671135,1,5,h4_up_sma_reclaim_long_h4_cool0
asia_low_fakeout_reclaim_long,LONG,8,120,0,REJECT,1.20998,Failed strict promotion/watchlist checks.,609,12.18,-208.92,-0.343054,-0.6,0.463054,0.917946,-341.25,-422.07,0.841484,-848.37,0.707925,487,-141.5,0.906886,122,-67.42,-1.195,0.934321,183,-92.18,0.929504,68,-269.14,-3.925,0.648551,1,5,asia_low_fakeout_reclaim_long_h8_cool0
h4_down_sma_reject_short,SHORT,32,480,0,REJECT,1.074344,Failed strict promotion/watchlist checks.,154,3.276596,-51.57,-0.33487,-0.105,0.487013,0.949082,-369.75,-105.47,0.898716,-213.27,0.8065,123,-32.72,0.936195,31,-18.85,-2.22,0.962299,47,110.41,1.198948,16,-94.81,-3.885,0.761238,1,5,h4_down_sma_reject_short_h32_cool0
h4_down_sma_reject_short,SHORT,32,480,4,REJECT,1.059494,Failed strict promotion/watchlist checks.,154,3.276596,-56.88,-0.369351,-0.105,0.487013,0.944132,-369.75,-110.78,0.894157,-218.58,0.802633,123,-38.03,0.9266,31,-18.85,-2.22,0.962299,47,105.1,1.187585,16,-94.81,-3.885,0.761238,1,5,h4_down_sma_reject_short_h32_cool4
h4_up_sma_reclaim_long,LONG,8,120,0,REJECT,1.046014,Failed strict promotion/watchlist checks.,226,4.612245,-236.83,-1.04792,-0.135,0.486726,0.789546,-250.93,-315.93,0.729092,-474.13,0.621005,180,-8.4,0.985096,46,-228.43,-0.66,0.593338,68,-196.43,0.691395,18,-80.94,2.015,0.710546,0,5,h4_up_sma_reclaim_long_h8_cool0
compressed_range_down_break_short,SHORT,16,240,0,REJECT,0.869265,Failed strict promotion/watchlist checks.,139,3.088889,-222.9,-1.603597,-1.02,0.410072,0.780073,-296.01,-271.55,0.739473,-368.85,0.665269,111,-96.17,0.814118,28,-126.73,-8.04,0.744573,42,-160.7,0.736864,30,-172.04,-13.7,0.682266,1,5,compressed_range_down_break_short_h16_cool0
compressed_range_down_break_short,SHORT,4,60,0,REJECT,0.864277,Failed strict promotion/watchlist checks.,169,3.755556,-195.24,-1.155266,-0.77,0.43787,0.716489,-211.4,-254.39,0.64782,-372.69,0.530576,135,8.19,1.023999,34,-203.43,-2.795,0.414405,51,-157.39,0.601786,41,-187.98,-2.85,0.505589,1,5,compressed_range_down_break_short_h4_cool0
pdl_sweep_reclaim_long_loose,LONG,32,480,0,REJECT,0.804566,Failed strict promotion/watchlist checks.,204,4.163265,-197.92,-0.970196,-0.34,0.495098,0.88798,-403.34,-269.32,0.850644,-412.12,0.780555,163,-185.85,0.822628,41,-12.07,6.43,0.983213,62,-65.9,0.929672,18,10.38,0.66,1.021632,2,5,pdl_sweep_reclaim_long_loose_h32_cool0
h4_up_sma_reclaim_long,LONG,16,240,0,REJECT,0.050703,Failed strict promotion/watchlist checks.,187,3.816327,-327.85,-1.753209,-0.22,0.491979,0.745947,-366.2,-393.3,0.702937,-524.2,0.623741,149,-176.13,0.752852,38,-151.72,1.77,0.737431,57,-234.2,0.697631,16,-179.45,-5.625,0.499512,0,5,h4_up_sma_reclaim_long_h16_cool0
pdh_breakout_continuation_long,LONG,8,120,0,REJECT,-0.020554,Failed strict promotion/watchlist checks.,1880,37.6,-299.97,-0.159559,-0.09,0.493617,0.954824,-475.24,-957.97,0.862793,-2273.97,0.705284,1504,-122.81,0.969054,376,-177.16,0.21,0.933687,564,85.93,1.025982,190,-186.57,-0.965,0.887415,1,5,pdh_breakout_continuation_long_h8_cool0
pdh_sweep_reject_short_loose,SHORT,8,120,0,REJECT,-0.050023,Failed strict promotion/watchlist checks.,269,5.38,-149.48,-0.555688,-0.46,0.446097,0.847541,-372.32,-243.63,0.764171,-431.93,0.622346,215,10.95,1.017909,54,-160.43,-2.245,0.565277,81,-267.95,0.474206,32,-0.69,0.765,0.996093,3,5,pdh_sweep_reject_short_loose_h8_cool0
asia_low_breakdown_short,SHORT,4,60,4,REJECT,-0.08222,Failed strict promotion/watchlist checks.,1053,21.489796,-418.08,-0.397037,-0.65,0.441595,0.840902,-461.0,-786.63,0.723146,-1523.73,0.538075,842,-240.45,0.861911,211,-177.63,-0.72,0.799637,316,-122.26,0.892014,32,20.29,0.46,1.081512,1,5,asia_low_breakdown_short_h4_cool4
h4_up_sma_reclaim_long,LONG,16,240,4,REJECT,-0.123288,Failed strict promotion/watchlist checks.,176,3.591837,-343.88,-1.953864,-0.63,0.477273,0.728726,-376.6,-405.48,0.688112,-528.68,0.613315,140,-189.37,0.7291,36,-154.51,1.77,0.728267,53,-246.93,0.677355,16,-179.45,-5.625,0.499512,0,5,h4_up_sma_reclaim_long_h16_cool4
asia_low_fakeout_reclaim_long,LONG,16,240,4,REJECT,-0.18579,Failed strict promotion/watchlist checks.,516,10.32,-375.57,-0.727849,-1.11,0.459302,0.878448,-471.66,-556.17,0.825537,-917.37,0.729449,412,-308.86,0.829686,104,-66.71,-0.8,0.947733,155,-142.29,0.910755,53,-191.52,-3.92,0.779421,1,5,asia_low_fakeout_reclaim_long_h16_cool4
asia_low_fakeout_reclaim_long,LONG,16,240,0,REJECT,-0.212115,Failed strict promotion/watchlist checks.,532,10.64,-331.75,-0.62359,-1.11,0.464286,0.895877,-484.65,-517.95,0.842393,-890.35,0.745184,425,-296.17,0.839881,107,-35.58,1.68,0.973377,160,-66.88,0.959432,55,-278.48,-3.92,0.705262,2,5,asia_low_fakeout_reclaim_long_h16_cool0
compressed_range_up_break_long,LONG,32,480,0,REJECT,-0.377506,Failed strict promotion/watchlist checks.,137,2.978261,-252.8,-1.845255,0.33,0.518248,0.82585,-470.79,-300.75,0.796125,-396.65,0.739968,109,10.59,1.016775,28,-263.39,0.555,0.678922,42,-280.48,0.704073,23,-331.4,-1.32,0.577069,2,5,compressed_range_up_break_long_h32_cool0
compressed_range_up_break_long,LONG,32,480,4,REJECT,-0.377506,Failed strict promotion/watchlist checks.,137,2.978261,-252.8,-1.845255,0.33,0.518248,0.82585,-470.79,-300.75,0.796125,-396.65,0.739968,109,10.59,1.016775,28,-263.39,0.555,0.678922,42,-280.48,0.704073,23,-331.4,-1.32,0.577069,2,5,compressed_range_up_break_long_h32_cool4
pdl_sweep_reclaim_long_controlled,LONG,32,480,0,REJECT,-0.448368,Failed strict promotion/watchlist checks.,127,2.76087,-277.72,-2.186772,-0.98,0.472441,0.766062,-471.88,-322.17,0.733876,-411.07,0.673464,101,-271.62,0.636663,26,-6.1,7.745,0.986123,39,-87.89,0.851515,12,-90.4,0.66,0.750124,0,5,pdl_sweep_reclaim_long_controlled_h32_cool0
h4_down_sma_reject_short,SHORT,16,240,0,REJECT,-0.514629,Failed strict promotion/watchlist checks.,175,3.723404,-207.39,-1.185086,-0.18,0.497143,0.796367,-413.78,-268.64,0.744182,-391.14,0.650146,140,-17.47,0.966567,35,-189.92,-1.27,0.617035,53,-89.68,0.842939,19,-218.41,-8.45,0.480669,1,5,h4_down_sma_reject_short_h16_cool0
h4_up_sma_reclaim_long,LONG,32,480,4,REJECT,-0.614125,Failed strict promotion/watchlist checks.,171,3.489796,-103.18,-0.603392,0.01,0.508772,0.923237,-481.34,-163.03,0.881389,-282.73,0.803169,136,120.65,1.208207,35,-223.83,-0.75,0.707282,52,-204.65,0.763016,16,-223.53,0.675,0.608967,3,5,h4_up_sma_reclaim_long_h32_cool4
h4_up_sma_reclaim_long,LONG,32,480,0,REJECT,-0.63037,Failed strict promotion/watchlist checks.,172,3.510204,-111.11,-0.645988,0.01,0.505814,0.917822,-481.34,-171.31,0.876111,-291.71,0.798179,137,112.72,1.191896,35,-223.83,-0.75,0.707282,52,-204.65,0.763016,16,-223.53,0.675,0.608967,3,5,h4_up_sma_reclaim_long_h32_cool0
h4_down_sma_reject_short,SHORT,16,240,4,REJECT,-0.6886,Failed strict promotion/watchlist checks.,167,3.553191,-226.92,-1.358802,0.05,0.502994,0.770336,-431.43,-285.37,0.719668,-402.27,0.62834,133,-45.21,0.911363,34,-181.71,-0.555,0.619846,51,-133.81,0.763528,18,-200.91,-6.605,0.501538,1,5,h4_down_sma_reject_short_h16_cool4
pdl_sweep_reclaim_long_loose,LONG,32,480,4,REJECT,-0.742339,Failed strict promotion/watchlist checks.,197,4.020408,-302.06,-1.533299,-0.57,0.482234,0.828751,-497.61,-371.01,0.793871,-508.91,0.728435,157,-210.09,0.797085,40,-91.97,-0.52,0.873754,60,-158.74,0.833764,17,-43.18,-5.11,0.910012,1,5,pdl_sweep_reclaim_long_loose_h32_cool4
pdh_breakout_continuation_long,LONG,16,240,0,REJECT,-1.413958,Failed strict promotion/watchlist checks.,1159,23.18,-181.86,-0.156911,0.18,0.506471,0.96893,-635.84,-587.51,0.902987,-1398.81,0.784147,927,106.32,1.031525,232,-288.18,2.25,0.883826,348,-57.72,0.98112,119,-405.71,0.44,0.743787,1,5,pdh_breakout_continuation_long_h16_cool0
pdl_sweep_reclaim_long_controlled,LONG,32,480,4,REJECT,-1.784038,Failed strict promotion/watchlist checks.,124,2.695652,-364.89,-2.942661,-1.26,0.459677,0.692634,-559.05,-408.29,0.662737,-495.09,0.606722,99,-305.23,0.591704,25,-59.66,7.5,0.86428,38,-160.32,0.729148,11,-143.96,-5.11,0.602079,0,5,pdl_sweep_reclaim_long_controlled_h32_cool4
asia_high_fakeout_reject_short,SHORT,8,120,4,REJECT,-2.856147,Failed strict promotion/watchlist checks.,662,13.24,-639.95,-0.966692,-0.725,0.454683,0.769921,-689.87,-871.65,0.700472,-1335.05,0.580484,529,-506.37,0.715781,133,-133.58,-0.82,0.866395,199,-286.79,0.795416,74,-158.16,-1.255,0.753591,1,5,asia_high_fakeout_reject_short_h8_cool4
asia_low_fakeout_reclaim_long,LONG,4,60,0,REJECT,-2.995787,Failed strict promotion/watchlist checks.,714,14.28,-648.02,-0.907591,-0.4,0.471989,0.751167,-652.43,-897.92,0.672282,-1397.72,0.539128,571,-205.56,0.851435,143,-442.46,-0.74,0.637506,215,-463.9,0.683295,91,-430.49,-1.95,0.517966,1,5,asia_low_fakeout_reclaim_long_h4_cool0
pdl_breakdown_continuation_short,SHORT,4,60,4,REJECT,-3.688591,Failed strict promotion/watchlist checks.,1422,28.44,-729.04,-0.512686,-0.6,0.434599,0.844615,-806.32,-1226.74,0.753636,-2222.14,0.603057,1137,-548.04,0.773396,285,-181.0,-1.47,0.920382,427,-340.95,0.881227,155,-120.09,-2.1,0.926132,0,5,pdl_breakdown_continuation_short_h4_cool4
asia_high_fakeout_reject_short,SHORT,8,120,0,REJECT,-3.885772,Failed strict promotion/watchlist checks.,738,14.76,-727.73,-0.986084,-0.52,0.45935,0.77254,-796.86,-986.03,0.70489,-1502.63,0.587508,590,-583.33,0.703796,148,-144.4,-0.67,0.882604,222,-374.05,0.769769,92,-204.56,-1.08,0.756653,1,5,asia_high_fakeout_reject_short_h8_cool0
asia_high_fakeout_reject_short,SHORT,16,240,0,REJECT,-4.029178,Failed strict promotion/watchlist checks.,616,12.32,-630.71,-1.02388,-0.68,0.472403,0.813364,-815.98,-846.31,0.757875,-1277.51,0.657978,492,-428.05,0.793177,124,-202.66,-0.795,0.845265,185,-278.0,0.840593,70,-164.12,2.16,0.803213,2,5,asia_high_fakeout_reject_short_h16_cool0
asia_high_fakeout_reject_short,SHORT,16,240,4,REJECT,-4.675828,Failed strict promotion/watchlist checks.,587,11.74,-674.54,-1.149131,-0.73,0.471891,0.784608,-856.58,-879.99,0.7286,-1290.89,0.628181,469,-398.98,0.794715,118,-275.56,-0.795,0.768074,177,-349.28,0.783265,63,-201.41,0.06,0.7292,2,5,asia_high_fakeout_reject_short_h16_cool4
pdh_breakout_continuation_long,LONG,4,60,0,REJECT,-4.726337,Failed strict promotion/watchlist checks.,3558,71.16,-916.53,-0.257597,-0.18,0.485666,0.904885,-923.81,-2161.83,0.789996,-4652.43,0.603747,2846,-523.36,0.909145,712,-393.17,0.12,0.898554,1068,-263.69,0.946641,361,-298.28,-0.38,0.869367,1,5,pdh_breakout_continuation_long_h4_cool0
pdl_breakdown_continuation_short,SHORT,4,60,0,REJECT,-5.343952,Failed strict promotion/watchlist checks.,2640,52.8,-1037.21,-0.392883,-0.54,0.439773,0.880144,-1440.55,-1961.21,0.786507,-3809.21,0.631435,2112,-1070.09,0.759141,528,32.88,-1.0,1.007808,793,-194.0,0.962967,287,-42.14,-1.3,0.986414,0,5,pdl_breakdown_continuation_short_h4_cool0
asia_high_fakeout_reject_short,SHORT,4,60,4,REJECT,-5.806272,Failed strict promotion/watchlist checks.,738,14.76,-876.62,-1.187832,-0.96,0.424119,0.654324,-911.03,-1134.92,0.577803,-1651.52,0.451621,590,-542.98,0.643553,148,-333.64,-1.485,0.670528,222,-479.62,0.626952,92,-194.2,-0.885,0.714101,0,5,asia_high_fakeout_reject_short_h4_cool4
asia_high_fakeout_reject_short,SHORT,4,60,0,REJECT,-6.466454,Failed strict promotion/watchlist checks.,871,17.42,-921.35,-1.057807,-0.8,0.442021,0.692692,-990.77,-1226.2,0.613426,-1835.9,0.482231,696,-538.57,0.700126,175,-382.78,-1.58,0.681585,262,-445.63,0.695285,114,-218.54,-1.03,0.735305,1,5,asia_high_fakeout_reject_short_h4_cool0
asia_high_fakeout_reject_short,SHORT,32,480,0,REJECT,-6.470555,Failed strict promotion/watchlist checks.,511,10.22,-1270.43,-2.486164,-1.78,0.454012,0.690593,-1452.06,-1449.28,0.65529,-1806.98,0.589865,408,-886.59,0.670475,103,-383.84,-4.98,0.728833,154,-718.76,0.648255,52,-192.08,-2.76,0.757116,0,5,asia_high_fakeout_reject_short_h32_cool0
asia_high_fakeout_reject_short,SHORT,32,480,4,REJECT,-6.560531,Failed strict promotion/watchlist checks.,492,9.84,-1174.3,-2.386789,-1.775,0.457317,0.696577,-1317.37,-1346.5,0.660343,-1690.9,0.593277,393,-729.3,0.708454,99,-445.0,-5.96,0.674869,148,-706.6,0.630683,47,-206.85,-3.09,0.719316,1,5,asia_high_fakeout_reject_short_h32_cool4
asia_low_fakeout_reclaim_long,LONG,32,480,0,REJECT,-6.696338,Failed strict promotion/watchlist checks.,441,8.82,-1195.75,-2.711451,-1.04,0.485261,0.702468,-1286.88,-1350.1,0.670648,-1658.8,0.611156,352,-493.28,0.782781,89,-702.47,0.85,0.598129,133,-980.96,0.580142,41,-768.02,-9.35,0.337897,1,5,asia_low_fakeout_reclaim_long_h32_cool0
asia_low_fakeout_reclaim_long,LONG,32,480,4,REJECT,-6.697868,Failed strict promotion/watchlist checks.,433,8.66,-1183.93,-2.734249,-1.04,0.484988,0.700942,-1274.99,-1335.48,0.669236,-1638.58,0.609934,346,-499.38,0.777953,87,-684.55,0.89,0.599653,130,-982.3,0.570977,40,-762.16,-9.525,0.339612,1,5,asia_low_fakeout_reclaim_long_h32_cool4
