bucket,events,coverage,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,test_events,test_total,test_pf,complement_total,complement_pf,delta_pf_vs_base,delta_median_vs_base
moderate_direction,22,0.234043,138.89,6.313182,3.685,0.818182,12.911664,-11.66,4,5,7,10,7,101.74,999.0,4.59,1.033319,10.951418,2.58
selected_direction,48,0.510638,137.76,2.87,1.5,0.6875,3.446023,-19.77,4,5,12,16,15,103.24,6.556512,5.72,1.061439,1.485777,0.395
non_missing,94,1.0,143.48,1.526383,1.105,0.617021,1.960246,-58.78,4,5,10,17,29,126.97,4.61841,0.0,0.0,0.0,0.0
opposite_direction,40,0.425532,22.18,0.5545,0.715,0.575,1.298962,-25.63,4,5,8,16,12,16.61,1.697899,121.3,2.612389,-0.661284,-0.39
stronger_direction_tail,26,0.276596,-1.13,-0.043462,0.67,0.576923,0.974698,-15.94,3,5,8,13,8,-2.21,0.881055,144.61,2.380393,-0.985548,-0.435
missing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,143.48,1.960246,-1.960246,-1.105
