train_frac,segment,events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters
0.6,train,28,22.8,0.814286,0.67,0.535714,1.604134,-19.77,2,3,8,10
0.6,test,20,114.96,5.748,2.535,0.9,7.187298,-15.94,3,3,5,7
0.7,train,33,34.52,1.046061,1.29,0.606061,1.914679,-19.77,3,4,10,12
0.7,test,15,103.24,6.882667,2.86,0.866667,6.556512,-15.94,2,2,3,5
0.8,train,38,43.81,1.152895,1.33,0.631579,2.084943,-19.77,3,4,10,13
0.8,test,10,93.95,9.395,9.745,0.9,6.893977,-15.94,2,2,3,4
