state,rows,avg_abs_4h_move,median_abs_4h_move,avg_range
compression_q20_prev,5181,7.511540243196294,3.850000000000364,6.294680563597761
compression_q30_prev,7691,7.700104017683005,3.9400000000000546,6.522695358210896
non_compression,17929,9.43996318813096,4.769999999999982,9.946903898711584
