variant_a,variant_b,events_a,events_b,overlap_count,jaccard,overlap_min_share
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,110,141,102,0.684564,0.927273
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,110,168,102,0.579545,0.927273
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,103,133,95,0.673759,0.92233
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,141,152,129,0.786585,0.914894
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,105,133,96,0.676056,0.914286
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,103,152,94,0.583851,0.912621
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,103,158,94,0.562874,0.912621
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,152,148,134,0.807229,0.905405
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,105,152,95,0.58642,0.904762
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,105,158,95,0.565476,0.904762
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,110,163,98,0.56,0.890909
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,133,148,117,0.713415,0.879699
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,133,110,96,0.653061,0.872727
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,133,143,116,0.725,0.87218
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,110,152,95,0.568862,0.863636
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,110,158,95,0.549133,0.863636
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,141,148,121,0.720238,0.858156
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,105,148,89,0.542683,0.847619
