decision,family,name,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h12_min0.8_tp08_sl08,243,1.1577141113306428,0.6156961940133785,0.4023746398829229,0.47573421256672943,-0.2157499999999799,-194.16700000000256,0.448559670781893
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h12_min1.1_tp08_sl08,243,1.1577141113306428,0.6156961940133785,0.4023746398829229,0.47573421256672943,-0.2157499999999799,-194.16700000000256,0.448559670781893
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h13_min0.8_tp08_sl08,213,1.0528845922342334,0.5094025301138432,0.31628242144058133,0.3900281367859355,-0.3600000000000363,-207.17600000000218,0.39906103286384975
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h13_min1.1_tp08_sl08,213,1.0528845922342334,0.5094025301138432,0.31628242144058133,0.3900281367859355,-0.3600000000000363,-207.17600000000218,0.39906103286384975
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h9_min0.9_tp08_sl08,720,0.929725618918936,0.46123716090071754,0.30363613745481854,0.3689947604949204,-0.5518750000000181,-836.6700000000048,0.32222222222222224
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h9_min1.3_tp08_sl08,618,0.9308231309669417,0.45632158953046914,0.2988485373937938,0.36808712873679006,-0.6327500000000099,-715.5690000000027,0.3187702265372168
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_follow_h11_hz180_tp08_sl08,1279,0.8604562485839463,0.4388678291805849,0.28318596852571426,0.37818871092222733,-0.449250000000029,-1660.601500000008,0.400312744331509
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_fade_h15_hz180_tp08_sl08,1279,0.8271730101034183,0.4199074700747001,0.26593678086767597,0.36350970132017185,-0.6300000000000181,-1743.1314999999993,0.42689601250977327
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_follow_h13_hz180_tp08_sl08,1279,0.8310352712078743,0.4154733006461934,0.2628014534796684,0.3544731009121715,-1.6699999999999817,-1720.5614999999966,0.39796716184519154
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h13_min0.9_tp08_sl08,645,0.8933950723077387,0.4125950062432763,0.24925717642215875,0.34482583498650266,-0.3952499999999417,-783.1487499999953,0.4015503875968992
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_follow_h15_hz180_tp08_sl08,1279,0.7787727705422219,0.3971841198669325,0.25174810328308994,0.3541287063945092,-2.279500000000007,-1871.3670000000013,0.41282251759186867
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_fade_h11_hz180_tp08_sl08,1279,0.7528450133828506,0.3896008911716465,0.2568829872714899,0.33380997874535867,-2.393750000000091,-1946.4624999999926,0.3596559812353401
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h13_min1.3_tp08_sl08,572,0.8410923971308947,0.38007145188671937,0.22638370424640114,0.30179345611848163,-0.4881249999999908,-742.1159999999966,0.39335664335664333
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_fade_h13_hz180_tp08_sl08,1279,0.7653636867711342,0.3775651380189318,0.23844460567581044,0.3176041320779737,-1.390000000000009,-1886.5025000000037,0.3885848318999218
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_follow_h9_min0.9_tp08_sl08,720,0.6713692397123887,0.3262792980993137,0.21392001252409482,0.27912194342242713,-2.2581250000000863,-1195.6874999999952,0.2986111111111111
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_follow_h13_min1.3_tp08_sl08,572,0.7150172185649851,0.3244943829757183,0.1973590184350788,0.26533078306220803,-2.358250000000021,-875.8415000000037,0.34615384615384615
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_follow_h13_min0.9_tp08_sl08,645,0.6809124915177583,0.3124057870040664,0.1922320182999781,0.2552665751020587,-2.4150000000001,-1039.2087500000048,0.3395348837209302
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_follow_h9_min1.3_tp08_sl08,618,0.6608382108344754,0.31143309585122575,0.1993776230632255,0.24438151172275066,-2.2333749999999326,-1031.1884999999975,0.3058252427184466
STAGE27A_REJECT,london_direction_surface_v1,london_fade_h12_min0.8_tp08_sl08,243,0.5748641801781289,0.3003627808763963,0.1996836940245743,0.20815084548966065,-2.58425000000002,-486.23299999999733,0.32098765432098764
STAGE27A_REJECT,london_direction_surface_v1,london_fade_h12_min1.1_tp08_sl08,243,0.5748641801781289,0.3003627808763963,0.1996836940245743,0.20815084548966065,-2.58425000000002,-486.23299999999733,0.32098765432098764
STAGE27A_REJECT,london_direction_surface_v1,london_fade_h13_min0.8_tp08_sl08,213,0.5946607259796951,0.2730298469898767,0.16317545444829767,0.19191295912637282,-2.4399999999999635,-389.2239999999979,0.3474178403755869
STAGE27A_REJECT,london_direction_surface_v1,london_fade_h13_min1.1_tp08_sl08,213,0.5946607259796951,0.2730298469898767,0.16317545444829767,0.19191295912637282,-2.4399999999999635,-389.2239999999979,0.3474178403755869
