family,candidates_tested,passing_min_events,best_pf_x4,best_pf_x6,best_total_x4
london_direction_surface_v1,8,8,0.6156961940133785,0.4023746398829229,-194.16700000000256
day_open_extension_surface_v1,8,8,0.46123716090071754,0.30363613745481854,-715.5690000000027
hour_h1_bias_surface_v1,6,6,0.4388678291805849,0.28318596852571426,-1660.601500000008
