timestamp,open,high,low,close
2022-05-01T23:00:00Z,1896.19,1899.53,1896.19,1898.14
2022-05-01T23:15:00Z,1898.05,1898.26,1896.56,1897.06
2022-05-01T23:30:00Z,1897.02,1898.01,1895.82,1897.32
2022-05-01T23:45:00Z,1897.25,1898.42,1897.03,1897.9
2022-05-02T00:00:00Z,1897.89,1898.21,1897.13,1897.8
2022-05-02T00:15:00Z,1897.86,1899.76,1897.58,1899.02
2022-05-02T00:30:00Z,1899.02,1899.23,1898.02,1898.6
2022-05-02T00:45:00Z,1898.51,1899.2,1896.85,1897.13
2022-05-02T01:00:00Z,1897.06,1899.53,1896.19,1898.14
2022-05-02T01:15:00Z,1898.05,1898.26,1896.56,1897.06
2022-05-02T01:30:00Z,1897.02,1898.01,1895.82,1897.32
2022-05-02T01:45:00Z,1897.25,1898.42,1897.03,1897.9
2022-05-02T02:00:00Z,1897.89,1898.21,1897.13,1897.8
2022-05-02T02:15:00Z,1897.86,1899.76,1897.58,1899.02
2022-05-02T02:30:00Z,1899.02,1899.23,1898.02,1898.6
2022-05-02T02:45:00Z,1898.51,1899.2,1896.85,1897.13
2022-05-02T03:00:00Z,1897.06,1897.54,1896.07,1897.25
2022-05-02T03:15:00Z,1897.24,1898.29,1892.69,1894.03
2022-05-02T03:30:00Z,1894.03,1894.33,1892.67,1893.82
2022-05-02T03:45:00Z,1893.95,1894.16,1888.86,1890.38
2022-05-02T04:00:00Z,1890.39,1892.02,1890.39,1890.98
2022-05-02T04:15:00Z,1890.96,1892.11,1890.66,1892.0
2022-05-02T04:30:00Z,1891.96,1892.43,1891.57,1892.07
2022-05-02T04:45:00Z,1892.06,1892.06,1889.76,1890.0
2022-05-02T05:00:00Z,1889.98,1891.54,1887.78,1888.53
2022-05-02T05:15:00Z,1888.53,1888.72,1884.19,1885.98
2022-05-02T05:30:00Z,1886.0,1888.91,1886.0,1888.76
2022-05-02T05:45:00Z,1888.77,1888.77,1887.43,1887.69
2022-05-02T06:00:00Z,1887.69,1889.24,1886.51,1888.01
2022-05-02T06:15:00Z,1888.08,1889.03,1887.46,1887.53
2022-05-02T06:30:00Z,1887.51,1889.09,1887.21,1889.07
2022-05-02T06:45:00Z,1889.03,1889.13,1888.28,1888.46
2022-05-02T07:00:00Z,1888.45,1888.45,1885.88,1886.77
2022-05-02T07:15:00Z,1886.77,1887.56,1884.58,1885.31
2022-05-02T07:30:00Z,1885.31,1886.23,1883.7,1886.07
2022-05-02T07:45:00Z,1886.1,1886.82,1885.15,1885.44
2022-05-02T08:00:00Z,1885.44,1885.44,1882.53,1882.74
2022-05-02T08:15:00Z,1882.75,1883.68,1882.55,1883.59
2022-05-02T08:30:00Z,1883.61,1887.0,1883.05,1884.49
2022-05-02T08:45:00Z,1884.61,1886.84,1884.61,1885.7
2022-05-02T09:00:00Z,1885.66,1885.91,1883.03,1884.92
2022-05-02T09:15:00Z,1884.94,1887.28,1883.5,1886.43
2022-05-02T09:30:00Z,1886.43,1886.79,1885.33,1885.33
2022-05-02T09:45:00Z,1885.28,1887.51,1885.0,1887.01
2022-05-02T10:00:00Z,1887.0,1887.2,1883.92,1883.99
2022-05-02T10:15:00Z,1884.02,1886.04,1882.92,1886.04
2022-05-02T10:30:00Z,1886.03,1886.15,1884.5,1885.38
2022-05-02T10:45:00Z,1885.36,1885.68,1884.02,1884.2
2022-05-02T11:00:00Z,1884.19,1885.33,1883.33,1884.53
2022-05-02T11:15:00Z,1884.45,1884.59,1881.1,1882.0
2022-05-02T11:30:00Z,1881.99,1882.37,1879.28,1880.1
2022-05-02T11:45:00Z,1880.09,1881.64,1879.39,1879.64
2022-05-02T12:00:00Z,1879.65,1879.84,1876.63,1879.39
2022-05-02T12:15:00Z,1879.42,1880.35,1878.72,1880.11
2022-05-02T12:30:00Z,1880.09,1880.17,1878.81,1879.48
2022-05-02T12:45:00Z,1879.47,1881.12,1879.26,1880.64
2022-05-02T13:00:00Z,1880.63,1880.67,1877.87,1878.55
2022-05-02T13:15:00Z,1878.55,1878.77,1877.06,1877.94
2022-05-02T13:30:00Z,1877.96,1879.39,1877.25,1878.7
2022-05-02T13:45:00Z,1878.7,1882.07,1878.7,1881.91
2022-05-02T14:00:00Z,1881.92,1882.15,1878.85,1879.33
2022-05-02T14:15:00Z,1879.26,1879.89,1877.51,1879.42
2022-05-02T14:30:00Z,1879.41,1879.62,1875.75,1876.36
2022-05-02T14:45:00Z,1876.42,1877.16,1875.66,1875.89
