variant,event_count,bars_in_blackout,bars_in_blackout_pct,events_with_at_least_one_bar,bars_per_event_median,windows_csv
all_events,47,8122,7.92444362053994,25,610.0,/Users/vahid/Desktop/xauusd-trader/reports/stage45b2a/stage45b2a_news_blackout_windows_all_events.csv
macro_semantic_only,47,8122,7.92444362053994,25,610.0,/Users/vahid/Desktop/xauusd-trader/reports/stage45b2a/stage45b2a_news_blackout_windows_macro_semantic_only.csv
macro_usd_or_unknown,47,8122,7.92444362053994,25,610.0,/Users/vahid/Desktop/xauusd-trader/reports/stage45b2a/stage45b2a_news_blackout_windows_macro_usd_or_unknown.csv
