candidate,family,direction,entry_time,exit_time,entry_price,exit_price,atr,tp_atr,sl_atr,horizon_min,gross,net_x1,net_x4,net_x6,exit_reason,meta_prev_range,meta_day_open,meta_extension,meta_confirm_move
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-05T15:00:00+00:00,2022-05-05T15:30:00,1899.17,1903.626927536232,5.5711594202898596,0.8,0.8,180,-4.456927536231888,-4.806927536231887,-5.856927536231888,-6.556927536231887,sl,28.319999999999936,1882.85,16.320000000000164,1.9400000000000546
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-06T15:00:00+00:00,2022-05-06T15:30:00,1882.51,1887.089043478261,5.723804347826091,0.8,0.8,180,-4.579043478260928,-4.929043478260928,-5.9790434782609285,-6.679043478260928,sl,37.289999999999964,1876.43,6.079999999999927,0.8699999999998909
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-09T15:00:00+00:00,2022-05-09T15:27:00,1862.57,1867.1004347826085,5.663043478260871,0.8,0.8,180,4.530434782608609,4.180434782608609,3.1304347826086087,2.430434782608609,tp,26.449999999999818,1882.94,-20.37000000000012,2.2100000000000364
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-10T15:00:00+00:00,2022-05-10T16:46:00,1860.35,1855.8465797101449,5.629275362318843,0.8,0.8,180,4.5034202898550575,4.153420289855058,3.1034202898550576,2.403420289855058,tp,34.0,1853.96,6.389999999999873,0.06999999999993634
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-11T15:00:00+00:00,2022-05-11T15:30:00,1850.25,1845.7306956521738,5.649130434782614,0.8,0.8,180,4.519304347826164,4.169304347826165,3.1193043478261644,2.4193043478261647,tp,29.940000000000055,1838.34,11.910000000000082,0.09999999999990905
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-12T15:00:00+00:00,2022-05-12T16:23:00,1843.84,1848.3677391304348,5.659673913043482,0.8,0.8,180,4.527739130434838,4.177739130434839,3.1277391304348385,2.427739130434839,tp,25.949999999999818,1851.61,-7.769999999999982,1.5499999999999545
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-13T15:00:00+00:00,2022-05-13T15:26:00,1815.89,1811.3341352657005,5.6948309178744,0.8,0.8,180,-4.5558647342995755,-4.905864734299575,-5.955864734299576,-6.655864734299575,sl,37.50999999999999,1821.95,-6.059999999999945,2.1100000000001273
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-16T15:00:00+00:00,2022-05-16T15:33:00,1801.62,1806.183223715415,5.704029644268775,0.8,0.8,180,4.563223715415006,4.2132237154150065,3.1632237154150062,2.4632237154150065,tp,29.649999999999864,1809.97,-8.350000000000136,1.3299999999999272
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-17T15:00:00+00:00,2022-05-17T15:24:00,1834.36,1829.743915199425,5.770106000718648,0.8,0.8,180,4.616084800574981,4.266084800574982,3.2160848005749814,2.5160848005749816,tp,40.070000000000164,1825.13,9.22999999999979,-0.08000000000015461
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-18T15:00:00+00:00,2022-05-18T15:38:00,1808.53,1813.097700922266,5.7096261528326755,0.8,0.8,180,4.567700922266113,4.217700922266113,3.1677009222661128,2.467700922266113,tp,23.24000000000001,1814.52,-5.990000000000009,-0.16000000000008185
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-19T15:00:00+00:00,2022-05-19T15:32:00,1829.14,1833.6595901489816,5.64948768622682,0.8,0.8,180,-4.519590148981479,-4.869590148981478,-5.919590148981479,-6.619590148981478,sl,17.430000000000064,1816.24,12.900000000000091,-1.1499999999998636
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-23T15:00:00+00:00,2022-05-23T15:30:00,1863.21,1858.8376453980802,5.465443252399779,0.8,0.8,180,4.372354601919824,4.022354601919824,2.972354601919824,2.272354601919824,tp,17.039999999999964,1848.87,14.340000000000146,1.1200000000001182
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-24T15:00:00+00:00,2022-05-24T15:21:00,1859.2,1854.868887634105,5.413890457368723,0.8,0.8,180,4.331112365895024,3.9811123658950236,2.9311123658950238,2.231112365895024,tp,21.809999999999945,1853.29,5.910000000000082,1.2699999999999818
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-25T15:00:00+00:00,2022-05-25T16:00:00,1853.73,1849.474092603049,5.319884246188598,0.8,0.8,180,-4.255907396950988,-4.605907396950988,-5.6559073969509885,-6.355907396950988,sl,20.420000000000073,1864.53,-10.799999999999955,-1.2100000000000364
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-26T15:00:00+00:00,2022-05-26T16:41:00,1845.86,1841.7125646527384,5.184294184076797,0.8,0.8,180,-4.147435347261535,-4.4974353472615345,-5.547435347261535,-6.2474353472615345,sl,26.61999999999989,1852.68,-6.820000000000164,-0.4600000000000364
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-05-27T15:00:00+00:00,2022-05-27T15:29:00,1860.07,1856.0110367024279,5.073704121964995,0.8,0.8,180,4.058963297572063,3.7089632975720632,2.6589632975720634,1.9589632975720637,tp,13.589999999999918,1850.3,9.769999999999982,1.8599999999999
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-05-31T15:00:00+00:00,2022-05-31T15:28:00,1851.77,1847.9273270414885,4.8033411981393375,0.8,0.8,180,-3.842672958511457,-4.192672958511457,-5.2426729585114575,-5.942672958511457,sl,15.839999999999918,1855.48,-3.7100000000000364,3.1099999999999
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,long,2022-06-01T15:00:00+00:00,2022-06-01T15:35:00,1832.12,1835.8904245113065,4.713030639133128,0.8,0.8,180,3.770424511306601,3.4204245113066007,2.370424511306601,1.6704245113066012,tp,22.00999999999999,1836.62,-4.5,2.5599999999999454
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-06-02T15:00:00+00:00,2022-06-02T15:32:00,1855.53,1851.8497369793768,4.600328775779092,0.8,0.8,180,3.680263020623215,3.330263020623215,2.2802630206232153,1.5802630206232156,tp,21.49000000000001,1846.6,8.930000000000064,-0.13000000000010914
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-06-06T15:00:00+00:00,2022-06-06T15:24:00,1856.42,1853.0253846360679,4.243269204915172,0.8,0.8,180,3.394615363932189,3.044615363932189,1.9946153639321893,1.2946153639321896,tp,26.70999999999981,1849.74,6.680000000000064,2.759999999999991
prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,prev_day_expansion_exhaustion_reversal,short,2022-06-07T15:00:00+00:00,2022-06-07T15:30:00,1848.38,1845.0990492323413,4.101188459573554,0.8,0.8,180,3.280950767658851,2.930950767658851,1.880950767658851,1.1809507676588513,tp,17.180000000000064,1841.16,7.220000000000027,1.2700000000002092
