period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022,96,-67.21,-0.700104,-0.235,0.5,0.807532,-113.76,0,1,1,3,8
2023,168,44.46,0.264643,-0.53,0.47619,1.06916,-103.67,1,1,3,4,12
2024,199,19.05,0.095729,0.52,0.522613,1.020497,-150.97,1,1,3,4,12
2025,217,834.92,3.847558,3.8,0.59447,1.566301,-265.88,1,1,4,4,12
2026,78,339.87,4.357308,-0.225,0.5,1.289658,-295.03,1,1,1,2,6
