stage,decision_scope,promotion,ea,paper_live,live,source_stage39e_classification,spec_id,spec_label,spec_type,candidate,dimension,bucket,dimension_a,bucket_a,dimension_b,bucket_b,full_n,train_n,oos_n,full_cost_mean_bps,train_cost_mean_bps,oos_cost_mean_bps,full_mean_after_cost_plus_slip_16bps,train_mean_after_cost_plus_slip_16bps,oos_mean_after_cost_plus_slip_16bps,ex2025_cost_mean_bps,leave_one_year_out_min_cost_mean_bps,full_median_mae_bps,oos_median_mae_bps,full_touch_stop_100bps_pct,oos_touch_stop_100bps_pct,full_hit_rate_pct,oos_hit_rate_pct,q1_cost_mean_bps,q2_cost_mean_bps,q3_cost_mean_bps,q4_cost_mean_bps,q1_mean_after_cost_plus_slip_16bps,q2_mean_after_cost_plus_slip_16bps,q3_mean_after_cost_plus_slip_16bps,q4_mean_after_cost_plus_slip_16bps,q1_n,q2_n,q3_n,q4_n,worst_quarter_cost_mean_bps,worst_quarter_slip16_mean_bps,oos_train_gap_bps,oos_train_ratio,q4_to_full_cost_ratio,failed_hard_checks,recency_flags,classification,train_mean_final_bps,train_median_final_bps,train_hit_rate_pct,train_median_mae_bps,train_mean_mae_bps,train_median_mfe_bps,train_mean_mfe_bps,train_touch_stop_50bps_pct,train_touch_stop_100bps_pct,train_touch_stop_150bps_pct,train_touch_target_50bps_pct,train_touch_target_100bps_pct,train_touch_target_150bps_pct,train_mean_after_cost_plus_slip_0bps,train_mean_after_cost_plus_slip_4bps,train_mean_after_cost_plus_slip_8bps,train_mean_after_cost_plus_slip_12bps,oos_mean_final_bps,oos_median_final_bps,oos_mean_mae_bps,oos_median_mfe_bps,oos_mean_mfe_bps,oos_touch_stop_50bps_pct,oos_touch_stop_150bps_pct,oos_touch_target_50bps_pct,oos_touch_target_100bps_pct,oos_touch_target_150bps_pct,oos_mean_after_cost_plus_slip_0bps,oos_mean_after_cost_plus_slip_4bps,oos_mean_after_cost_plus_slip_8bps,oos_mean_after_cost_plus_slip_12bps,first_half_n,first_half_mean_final_bps,first_half_median_final_bps,first_half_cost_mean_bps,first_half_hit_rate_pct,first_half_median_mae_bps,first_half_mean_mae_bps,first_half_median_mfe_bps,first_half_mean_mfe_bps,first_half_touch_stop_50bps_pct,first_half_touch_stop_100bps_pct,first_half_touch_stop_150bps_pct,first_half_touch_target_50bps_pct,first_half_touch_target_100bps_pct,first_half_touch_target_150bps_pct,first_half_mean_after_cost_plus_slip_0bps,first_half_mean_after_cost_plus_slip_4bps,first_half_mean_after_cost_plus_slip_8bps,first_half_mean_after_cost_plus_slip_12bps,first_half_mean_after_cost_plus_slip_16bps,second_half_n,second_half_mean_final_bps,second_half_median_final_bps,second_half_cost_mean_bps,second_half_hit_rate_pct,second_half_median_mae_bps,second_half_mean_mae_bps,second_half_median_mfe_bps,second_half_mean_mfe_bps,second_half_touch_stop_50bps_pct,second_half_touch_stop_100bps_pct,second_half_touch_stop_150bps_pct,second_half_touch_target_50bps_pct,second_half_touch_target_100bps_pct,second_half_touch_target_150bps_pct,second_half_mean_after_cost_plus_slip_0bps,second_half_mean_after_cost_plus_slip_4bps,second_half_mean_after_cost_plus_slip_8bps,second_half_mean_after_cost_plus_slip_12bps,second_half_mean_after_cost_plus_slip_16bps,q1_mean_final_bps,q1_median_final_bps,q1_hit_rate_pct,q1_median_mae_bps,q1_mean_mae_bps,q1_median_mfe_bps,q1_mean_mfe_bps,q1_touch_stop_50bps_pct,q1_touch_stop_100bps_pct,q1_touch_stop_150bps_pct,q1_touch_target_50bps_pct,q1_touch_target_100bps_pct,q1_touch_target_150bps_pct,q1_mean_after_cost_plus_slip_0bps,q1_mean_after_cost_plus_slip_4bps,q1_mean_after_cost_plus_slip_8bps,q1_mean_after_cost_plus_slip_12bps,q2_mean_final_bps,q2_median_final_bps,q2_hit_rate_pct,q2_median_mae_bps,q2_mean_mae_bps,q2_median_mfe_bps,q2_mean_mfe_bps,q2_touch_stop_50bps_pct,q2_touch_stop_100bps_pct,q2_touch_stop_150bps_pct,q2_touch_target_50bps_pct,q2_touch_target_100bps_pct,q2_touch_target_150bps_pct,q2_mean_after_cost_plus_slip_0bps,q2_mean_after_cost_plus_slip_4bps,q2_mean_after_cost_plus_slip_8bps,q2_mean_after_cost_plus_slip_12bps,q3_mean_final_bps,q3_median_final_bps,q3_hit_rate_pct,q3_median_mae_bps,q3_mean_mae_bps,q3_median_mfe_bps,q3_mean_mfe_bps,q3_touch_stop_50bps_pct,q3_touch_stop_100bps_pct,q3_touch_stop_150bps_pct,q3_touch_target_50bps_pct,q3_touch_target_100bps_pct,q3_touch_target_150bps_pct,q3_mean_after_cost_plus_slip_0bps,q3_mean_after_cost_plus_slip_4bps,q3_mean_after_cost_plus_slip_8bps,q3_mean_after_cost_plus_slip_12bps,q4_mean_final_bps,q4_median_final_bps,q4_hit_rate_pct,q4_median_mae_bps,q4_mean_mae_bps,q4_median_mfe_bps,q4_mean_mfe_bps,q4_touch_stop_50bps_pct,q4_touch_stop_100bps_pct,q4_touch_stop_150bps_pct,q4_touch_target_50bps_pct,q4_touch_target_100bps_pct,q4_touch_target_150bps_pct,q4_mean_after_cost_plus_slip_0bps,q4_mean_after_cost_plus_slip_4bps,q4_mean_after_cost_plus_slip_8bps,q4_mean_after_cost_plus_slip_12bps,recent_third_n,recent_third_mean_final_bps,recent_third_median_final_bps,recent_third_cost_mean_bps,recent_third_hit_rate_pct,recent_third_median_mae_bps,recent_third_mean_mae_bps,recent_third_median_mfe_bps,recent_third_mean_mfe_bps,recent_third_touch_stop_50bps_pct,recent_third_touch_stop_100bps_pct,recent_third_touch_stop_150bps_pct,recent_third_touch_target_50bps_pct,recent_third_touch_target_100bps_pct,recent_third_touch_target_150bps_pct,recent_third_mean_after_cost_plus_slip_0bps,recent_third_mean_after_cost_plus_slip_4bps,recent_third_mean_after_cost_plus_slip_8bps,recent_third_mean_after_cost_plus_slip_12bps,recent_third_mean_after_cost_plus_slip_16bps,event_recheck_n,event_recheck_cost_mean_bps,event_recheck_cost_median_bps,event_recheck_after_slip16_mean_bps,event_recheck_median_mae_bps,event_recheck_touch_stop_100bps_pct
Stage39F_RECENCY_BIAS_AND_RULE_STABILITY_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,4,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: weekday=Monday,single_condition,RANGE_BOTTOM_REV_LONG_W48_Q0.05,weekday,Monday,,NA,,NA,38,25,13,75.91493511097478,22.09796902439419,179.40910066209133,59.91493511097478,6.097969024394189,163.40910066209133,65.88042792933561,44.902480878710705,-64.1315371241208,-65.47322741591644,34.21052631578947,30.76923076923077,68.42105263157895,84.61538461538461,-5.3073447793154385,78.21842991120465,37.913376161698594,180.9128952663547,-21.30734477931544,62.21842991120465,21.913376161698594,164.9128952663547,9,10,9,10,-5.3073447793154385,-21.30734477931544,157.31113163769714,8.118804966376759,2.383100176558021,train_slip16_floor;worst_quarter_cost_floor;worst_quarter_slip16_floor,oos_train_gap_high;oos_train_ratio_high;early_quarter_negative;early_quarter_slip16_negative,RECENCY_BIASED_FROZEN_RULE_WATCH_ONLY_NO_PROMOTION,30.097969024394178,34.57991108023029,60.0,-62.78984683232514,-99.97625208823484,114.45443891450856,135.21651716085685,60.0,36.0,32.0,76.0,52.0,32.0,22.09796902439419,18.09796902439419,14.097969024394189,10.097969024394189,187.40910066209133,133.53042434099294,-101.25913582737196,217.32569314973472,285.41136090667226,69.23076923076923,23.076923076923077,92.3076923076923,92.3076923076923,61.53846153846154,179.40910066209133,175.40910066209133,171.40910066209133,167.40910066209133,19,46.65358926832672,34.57991108023029,38.65358926832671,63.1578947368421,-61.50338191913018,-78.75917537927788,115.17199017198942,150.054466579295,52.63157894736842,31.57894736842105,26.31578947368421,84.21052631578947,52.63157894736842,36.84210526315789,38.65358926832671,34.65358926832671,30.653589268326712,26.653589268326712,22.653589268326712,19,121.17628095362285,101.99610351964152,113.17628095362285,73.68421052631578,-71.2574837481994,-122.07109135554875,146.14627547395065,223.1434608316608,73.68421052631578,36.84210526315789,31.57894736842105,78.94736842105263,78.94736842105263,47.368421052631575,113.17628095362285,109.17628095362285,105.17628095362285,101.17628095362285,97.17628095362285,2.692655220684562,-60.72157265207934,44.44444444444444,-113.6033741407172,-110.52158409237023,93.96832979572388,120.32249924771934,66.66666666666666,55.55555555555556,44.44444444444444,77.77777777777779,44.44444444444444,22.22222222222222,-5.3073447793154385,-9.30734477931544,-13.30734477931544,-17.30734477931544,86.21842991120465,55.43790074696076,80.0,-41.9487475398378,-50.17300753749476,151.387793267721,176.81323717771315,40.0,10.0,10.0,90.0,60.0,50.0,78.21842991120465,74.21842991120465,70.21842991120465,66.21842991120465,45.913376161698594,114.2887640192436,66.66666666666666,-65.47322741591644,-122.42614182613534,128.92748496100114,125.39634397339134,66.66666666666666,33.33333333333333,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,37.913376161698594,33.913376161698594,29.913376161698594,25.913376161698594,188.9128952663547,83.65148866516182,80.0,-75.31116162524555,-121.75154593202087,211.23196191203397,311.1158660041034,80.0,40.0,30.0,90.0,90.0,60.0,180.9128952663547,176.9128952663547,172.9128952663547,168.9128952663547,13,187.40910066209133,133.53042434099294,179.40910066209133,84.61538461538461,-65.47322741591644,-101.25913582737196,217.32569314973472,285.41136090667226,69.23076923076923,30.76923076923077,23.076923076923077,92.3076923076923,92.3076923076923,61.53846153846154,179.40910066209133,175.40910066209133,171.40910066209133,167.40910066209133,163.40910066209133,38,75.91493511097478,47.43790074696076,59.91493511097479,-64.1315371241208,34.21052631578947
Stage39F_RECENCY_BIAS_AND_RULE_STABILITY_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,single_condition,RANGE_BOTTOM_REV_LONG_W48_Q0.05,trigger_severity_bucket,SEVERITY_LOW,,NA,,NA,52,34,18,40.44387818167949,5.594789531140706,106.26993452158607,24.443878181679487,-10.405210468859295,90.26993452158607,17.232455825591554,17.232455825591554,-69.57846416476175,-55.9136038747432,30.76923076923077,22.22222222222222,63.46153846153846,83.33333333333334,-27.718068458244314,19.86553098883512,52.033225245174144,117.59482495095293,-43.71806845824432,3.8655309888351184,36.033225245174144,101.59482495095293,13,13,13,13,-27.718068458244314,-43.71806845824432,100.67514499044536,10.626993452158606,2.9076050625684493,train_cost_floor;train_slip16_floor;worst_quarter_cost_floor;worst_quarter_slip16_floor,oos_train_gap_high;oos_train_ratio_high;early_quarter_negative;early_quarter_slip16_negative,RECENCY_BIASED_FROZEN_RULE_WATCH_ONLY_NO_PROMOTION,13.594789531140703,12.25690153582093,52.94117647058824,-79.60241749196295,-94.28084735363622,116.81181643942605,125.459952315388,64.70588235294117,35.294117647058826,29.411764705882355,79.41176470588235,55.88235294117647,32.35294117647059,5.594789531140706,1.594789531140706,-2.405210468859294,-6.405210468859294,114.26993452158607,158.83939649433017,-164.34717824602689,189.6928405163556,261.76829356169475,61.111111111111114,16.666666666666664,83.33333333333334,77.77777777777779,55.55555555555556,106.26993452158607,102.26993452158607,98.26993452158607,94.26993452158607,26,4.0737312652954065,-7.697170932757237,-3.9262687347045953,46.15384615384615,-82.48048920369288,-96.10229906149668,121.29960293337017,127.48456855277693,65.38461538461539,38.46153846153847,30.76923076923077,80.76923076923077,53.84615384615385,38.46153846153847,-3.9262687347045953,-7.926268734704595,-11.926268734704596,-15.926268734704596,-19.926268734704596,26,92.81402509806354,88.79437215066787,84.81402509806354,80.76923076923077,-58.29409055459479,-140.9668554943539,129.25682303122966,217.80264924851906,61.53846153846154,23.076923076923077,19.230769230769234,80.76923076923077,73.07692307692307,42.30769230769231,84.81402509806354,80.81402509806354,76.81402509806354,72.81402509806354,68.81402509806354,-19.718068458244314,-45.00180007200317,30.76923076923077,-88.5397637315799,-115.08925003444152,147.34478131076534,145.47711940248547,76.92307692307693,46.15384615384615,38.46153846153847,84.61538461538461,53.84615384615385,46.15384615384615,-27.718068458244314,-31.718068458244314,-35.71806845824432,-39.71806845824432,27.865530988835125,31.04748807067903,61.53846153846154,-73.10010174532367,-77.11534808855181,115.17199017198942,109.49201770306833,53.84615384615385,30.76923076923077,23.076923076923077,76.92307692307693,53.84615384615385,30.76923076923077,19.86553098883512,15.865530988835118,11.865530988835118,7.865530988835118,60.033225245174144,49.98685861355767,84.61538461538461,-61.47212576792293,-74.79776558565858,118.4516427068627,125.0757850604303,69.23076923076923,15.384615384615385,15.384615384615385,84.61538461538461,69.23076923076923,15.384615384615385,52.033225245174144,48.033225245174144,44.033225245174144,40.033225245174144,125.59482495095293,236.89286393451025,76.92307692307693,-56.35890665774191,-207.13594540304925,253.8926052462842,310.52951343660783,53.84615384615385,30.76923076923077,23.076923076923077,76.92307692307693,76.92307692307693,69.23076923076923,117.59482495095293,113.59482495095293,109.59482495095293,105.59482495095293,18,114.26993452158607,158.83939649433017,106.26993452158607,83.33333333333334,-55.9136038747432,-164.34717824602689,189.6928405163556,261.76829356169475,61.111111111111114,22.22222222222222,16.666666666666664,83.33333333333334,77.77777777777779,55.55555555555556,106.26993452158607,102.26993452158607,98.26993452158607,94.26993452158607,90.26993452158607,52,40.44387818167949,23.66577880221677,24.44387818167947,-69.57846416476175,30.76923076923077
Stage39F_RECENCY_BIAS_AND_RULE_STABILITY_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,7,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=NEUTRAL_-75_75BPS,single_condition,RANGE_BOTTOM_REV_LONG_W48_Q0.05,prior_ret72_regime,NEUTRAL_-75_75BPS,,NA,,NA,81,54,27,41.74987638079189,19.60446123413317,86.04070667410932,25.74987638079189,3.6044612341331685,70.04070667410932,17.52530905030511,17.52530905030511,-65.82497581835823,-58.96403957601604,35.80246913580247,33.33333333333333,61.72839506172839,66.66666666666666,10.887165999735885,-7.9810837929710114,28.223345814550175,131.38816316275438,-5.112834000264115,-23.981083792971013,12.223345814550175,115.38816316275438,20,20,20,21,-7.9810837929710114,-23.981083792971013,66.43624543997615,4.388833013391082,3.1470311903295336,train_slip16_floor;worst_quarter_cost_floor;worst_quarter_slip16_floor,oos_train_gap_high;oos_train_ratio_high;q4_to_full_ratio_high;early_quarter_negative;early_quarter_slip16_negative,RECENCY_BIASED_FROZEN_RULE_WATCH_ONLY_NO_PROMOTION,27.60446123413317,29.106410231449775,59.25925925925925,-72.30144299959329,-87.22461182909129,94.86916319809134,121.41709289141325,62.96296296296296,37.03703703703704,18.51851851851852,75.92592592592592,44.44444444444444,33.33333333333333,19.60446123413317,15.604461234133169,11.604461234133169,7.6044612341331685,94.04070667410932,80.88209758638554,-97.44656515882542,154.7783328412078,181.265030739887,66.66666666666666,22.22222222222222,77.77777777777779,74.07407407407408,51.85185185185185,86.04070667410932,82.04070667410932,78.04070667410932,74.04070667410932,40,9.453041103382436,11.314558500095107,1.4530411033824393,52.5,-77.94026114656572,-99.50017848678935,87.32993153315994,110.980710881092,72.5,42.5,22.5,70.0,37.5,32.5,1.4530411033824393,-2.5469588966175607,-6.546958896617561,-10.54695889661756,-14.54695889661756,41,89.06386201728893,65.30687381068212,81.06386201728893,70.73170731707317,-54.86859506700692,-81.97997947774738,133.40089870079063,171.01098563096548,56.09756097560976,29.268292682926827,17.073170731707318,82.92682926829268,70.73170731707317,46.34146341463415,81.06386201728893,77.06386201728893,73.06386201728893,69.06386201728893,65.06386201728893,18.887165999735885,1.707683483030408,50.0,-82.15800844654287,-110.12662302001718,96.08973292223877,133.11441514441805,70.0,45.0,35.0,75.0,45.0,40.0,10.887165999735885,6.887165999735885,2.8871659997358847,-1.1128340002641153,0.018916207028988375,13.922136293107457,55.00000000000001,-77.94026114656572,-88.87373395356153,74.54555752590352,88.84700661776601,75.0,40.0,10.0,65.0,30.0,25.0,-7.9810837929710114,-11.981083792971011,-15.981083792971011,-19.981083792971013,36.22334581455017,34.42605814271582,65.0,-49.187906746837044,-83.59521932512149,107.01434833548572,124.3624811439078,50.0,30.0,15.0,80.0,55.00000000000001,25.0,28.223345814550175,24.223345814550175,20.223345814550175,16.223345814550175,139.38816316275438,133.53042434099294,76.19047619047619,-55.4683010917445,-80.44165581358158,209.69162995594596,215.43813276149663,61.904761904761905,28.57142857142857,19.047619047619047,85.71428571428571,85.71428571428571,66.66666666666666,131.38816316275438,127.38816316275438,123.38816316275438,119.38816316275438,27,94.04070667410932,80.88209758638554,86.04070667410932,66.66666666666666,-58.96403957601604,-97.44656515882542,154.7783328412078,181.265030739887,66.66666666666666,33.33333333333333,22.22222222222222,77.77777777777779,74.07407407407408,51.85185185185185,86.04070667410932,82.04070667410932,78.04070667410932,74.04070667410932,70.04070667410932,81,41.74987638079189,26.308905671429635,25.749876380791896,-65.82497581835823,35.80246913580247
Stage39F_RECENCY_BIAS_AND_RULE_STABILITY_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,single_condition,RANGE_BOTTOM_REV_LONG_W48_Q0.05,trigger_severity_bucket,SEVERITY_MID,,NA,,NA,52,34,18,42.50381722050625,23.472281421159458,78.4522737303835,26.50381722050625,7.472281421159458,62.452273730383496,36.0047397306793,36.0047397306793,-74.06457517217468,-146.14357740292016,44.230769230769226,55.55555555555556,61.53846153846154,66.66666666666666,28.003308070888632,11.12150410010813,59.19762706558804,71.69282964544014,12.003308070888632,-4.87849589989187,43.19762706558804,55.69282964544014,13,13,13,13,11.12150410010813,-4.87849589989187,54.97999230922404,3.342336960039234,1.6867386115817253,train_slip16_floor;worst_quarter_slip16_floor;oos_median_mae_cap;oos_stop100_cap,oos_train_ratio_high;early_quarter_slip16_negative,RECENCY_BIASED_FROZEN_RULE_WATCH_ONLY_NO_PROMOTION,31.47228142115945,27.831931788376842,58.82352941176471,-63.444002490390396,-87.27473913578858,98.64237600551108,118.5855991578376,58.82352941176471,38.23529411764706,14.705882352941178,76.47058823529412,50.0,32.35294117647059,23.472281421159458,19.472281421159458,15.472281421159458,11.472281421159458,86.45227373038351,74.84761503876891,-140.57436559810074,154.63469867775137,196.07055612107393,72.22222222222221,44.44444444444444,88.88888888888889,83.33333333333334,55.55555555555556,78.4522737303835,74.4522737303835,70.4522737303835,66.4522737303835,26,27.562406085498374,31.403718427981396,19.562406085498385,61.53846153846154,-74.06457517217468,-92.87467316158406,94.86916319809134,113.74976640720453,65.38461538461539,38.46153846153847,15.384615384615385,73.07692307692307,46.15384615384615,30.76923076923077,19.562406085498385,15.562406085498385,11.562406085498385,7.5624060854983846,3.5624060854983846,26,73.4452283555141,46.23610310145132,65.4452283555141,61.53846153846154,-88.7528745413213,-118.57454650697845,150.31866999412279,177.06486365224967,61.53846153846154,50.0,34.61538461538461,88.46153846153845,76.92307692307693,50.0,65.4452283555141,61.445228355514104,57.445228355514104,53.445228355514104,49.445228355514104,36.00330807088863,28.49853118453316,61.53846153846154,-86.16867570429343,-96.69894099405178,93.96832979572388,128.1232349611114,61.53846153846154,38.46153846153847,23.076923076923077,76.92307692307693,46.15384615384615,30.76923076923077,28.003308070888632,24.003308070888632,20.003308070888632,16.003308070888632,19.121504100108126,34.308905671429635,61.53846153846154,-72.27349014429562,-89.05040532911633,95.76999660045882,99.37629785329766,69.23076923076923,38.46153846153847,7.6923076923076925,69.23076923076923,46.15384615384615,30.76923076923077,11.12150410010813,7.12150410010813,3.1215041001081296,-0.8784958998918704,67.19762706558804,84.38835626685571,61.53846153846154,-18.41596685992597,-63.29505712201888,128.92748496100114,151.6529354487645,38.46153846153847,30.76923076923077,15.384615384615385,92.3076923076923,69.23076923076923,38.46153846153847,59.19762706558804,55.19762706558804,51.19762706558804,47.19762706558804,79.69282964544013,21.064457239150517,61.53846153846154,-177.64708009183616,-173.854035891938,154.7783328412078,202.4767918557348,84.61538461538461,69.23076923076923,53.84615384615385,84.61538461538461,84.61538461538461,61.53846153846154,71.69282964544014,67.69282964544014,63.69282964544014,59.69282964544014,18,86.45227373038351,74.84761503876891,78.4522737303835,66.66666666666666,-146.14357740292016,-140.57436559810074,154.63469867775137,196.07055612107393,72.22222222222221,55.55555555555556,44.44444444444444,88.88888888888889,83.33333333333334,55.55555555555556,78.4522737303835,74.4522737303835,70.4522737303835,66.4522737303835,62.452273730383496,52,42.50381722050625,23.403718427981396,26.50381722050624,-74.06457517217468,44.230769230769226
Stage39F_RECENCY_BIAS_AND_RULE_STABILITY_AUDIT,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,single_condition,RANGE_BOTTOM_REV_LONG_W48_Q0.05,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,NA,,NA,50,33,17,42.07347084470807,24.233685129110142,76.7036431161629,26.07347084470807,8.233685129110142,60.703643116162894,32.15746775941753,32.15746775941753,-88.38887186624677,-84.0532964712215,40.0,41.17647058823529,66.0,82.35294117647058,-22.425423342930372,49.52469656971644,65.30112761263247,72.71877196866654,-38.42542334293037,33.52469656971644,49.30112761263247,56.718771968666545,12,13,12,13,-22.425423342930372,-38.42542334293037,52.46995798705275,3.165166284347916,1.7283758745996822,train_slip16_floor;worst_quarter_cost_floor;worst_quarter_slip16_floor,oos_train_ratio_high;early_quarter_negative;early_quarter_slip16_negative,RECENCY_BIASED_FROZEN_RULE_WATCH_ONLY_NO_PROMOTION,32.23368512911014,28.49853118453316,57.57575757575758,-89.62992037077733,-99.35024618429293,104.12435642694896,125.21781632903121,75.75757575757575,39.39393939393939,21.21212121212121,78.78787878787878,51.515151515151516,27.27272727272727,24.233685129110142,20.233685129110142,16.233685129110142,12.233685129110142,84.7036431161629,38.08806294994138,-132.00241190486656,130.16531416926824,175.81921397247172,76.47058823529412,29.411764705882355,88.23529411764706,82.35294117647058,35.294117647058826,76.7036431161629,72.7036431161629,68.7036431161629,64.7036431161629,25,22.988639011645958,9.9766525759315,14.988639011645962,52.0,-91.1998169466044,-103.52272622003387,80.93207230299937,118.98487700833014,80.0,44.0,20.0,80.0,48.0,24.0,14.988639011645962,10.988639011645962,6.988639011645962,2.9886390116459616,-1.0113609883540384,25,77.1583026777702,38.08806294994138,69.15830267777021,80.0,-82.78362030812004,-117.38123883854205,129.6164998874949,165.8597060472718,72.0,36.0,28.000000000000004,84.0,76.0,36.0,69.15830267777021,65.15830267777021,61.15830267777021,57.15830267777021,53.15830267777021,-14.42542334293038,-2.9152782373326183,50.0,-121.11363380062578,-139.18080620243217,70.2134932237175,92.50211217135688,100.0,75.0,33.33333333333333,83.33333333333334,41.66666666666667,16.666666666666664,-22.425423342930372,-26.425423342930372,-30.425423342930372,-34.42542334293037,57.52469656971644,9.9766525759315,53.84615384615385,-73.10010174532367,-70.60757546705082,120.250913607991,143.43050608861319,61.53846153846154,15.384615384615385,7.6923076923076925,76.92307692307693,53.84615384615385,30.76923076923077,49.52469656971644,45.52469656971644,41.52469656971644,37.52469656971644,73.30112761263247,45.570741469422856,83.33333333333334,-72.7867335702226,-78.22799123967755,121.76016103259025,145.77395652100034,66.66666666666666,16.666666666666664,16.666666666666664,83.33333333333334,75.0,33.33333333333333,65.30112761263247,61.30112761263247,57.30112761263247,53.30112761263247,80.71877196866654,33.7520856241591,76.92307692307693,-112.9315066166825,-153.52269816057085,130.16531416926824,184.40039791767614,76.92307692307693,53.84615384615385,38.46153846153847,84.61538461538461,76.92307692307693,38.46153846153847,72.71877196866654,68.71877196866654,64.71877196866654,60.718771968666545,17,84.7036431161629,38.08806294994138,76.7036431161629,82.35294117647058,-84.0532964712215,-132.00241190486656,130.16531416926824,175.81921397247172,76.47058823529412,41.17647058823529,29.411764705882355,88.23529411764706,82.35294117647058,35.294117647058826,76.7036431161629,72.7036431161629,68.7036431161629,64.7036431161629,60.703643116162894,50,42.07347084470807,24.131479137117445,26.073470844708073,-88.38887186624677,40.0
