spec_id,spec_label,segment,n,cost_mean_bps,hit_rate_pct,median_mae_bps,touch_stop_100bps_pct,mean_after_cost_plus_slip_16bps
2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,q2,13,49.52469656971644,53.84615384615385,-73.10010174532367,15.384615384615385,33.52469656971644
2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,q3,12,65.30112761263247,83.33333333333334,-72.7867335702226,16.666666666666664,49.30112761263247
2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,q4,13,72.71877196866654,76.92307692307693,-112.9315066166825,53.84615384615385,56.718771968666545
2,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: prior_ret72_regime=DOWN_MODERATE_-200_-75BPS,recent_third,17,76.7036431161629,82.35294117647058,-84.0532964712215,41.17647058823529,60.703643116162894
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,train,104,14.381576136861367,56.730769230769226,-81.40424120059886,38.46153846153847,-1.6184238631386325
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,oos,52,74.19615418870657,73.07692307692307,-81.7090679867566,46.15384615384615,58.19615418870657
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,first_half,78,11.444450356028696,56.41025641025641,-83.09676889868555,38.46153846153847,-4.555549643971304
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,second_half,78,57.19508728559083,67.94871794871796,-81.07422990520585,43.58974358974359,41.19508728559083
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,q1,39,9.533105601376905,51.28205128205128,-95.2995457780914,46.15384615384615,-6.466894398623095
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,q2,39,13.355795110680484,61.53846153846154,-72.32939585489095,30.76923076923077,-2.644204889319516
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,q3,39,50.152710372275,69.23076923076923,-61.47212576792293,33.33333333333333,34.152710372275
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,q4,39,64.23746419890668,66.66666666666666,-112.9315066166825,53.84615384615385,48.23746419890668
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,recent_third,52,74.19615418870657,73.07692307692307,-81.7090679867566,46.15384615384615,58.19615418870657
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,train,34,5.594789531140706,52.94117647058824,-79.60241749196295,35.294117647058826,-10.405210468859295
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,oos,18,106.26993452158607,83.33333333333334,-55.9136038747432,22.22222222222222,90.26993452158607
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,first_half,26,-3.9262687347045953,46.15384615384615,-82.48048920369288,38.46153846153847,-19.926268734704596
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,second_half,26,84.81402509806354,80.76923076923077,-58.29409055459479,23.076923076923077,68.81402509806354
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,q1,13,-27.718068458244314,30.76923076923077,-88.5397637315799,46.15384615384615,-43.71806845824432
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,q2,13,19.86553098883512,61.53846153846154,-73.10010174532367,30.76923076923077,3.8655309888351184
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,q3,13,52.033225245174144,84.61538461538461,-61.47212576792293,15.384615384615385,36.033225245174144
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,q4,13,117.59482495095293,76.92307692307693,-56.35890665774191,30.76923076923077,101.59482495095293
8,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_LOW,recent_third,18,106.26993452158607,83.33333333333334,-55.9136038747432,22.22222222222222,90.26993452158607
