family,name,london_move_atr_min,eff_min,pullback_atr_max,ny_confirm_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h90_e13_tp0.6_sl0.65,0.9,0.72,0.3,0.0,13,90,0.6,0.65,proxy_m15,166,1.1654,0.6996,53.1079,-121.1921,1.0279,0.5422,1.4428,1.6556,0.8981,2022-05-09 13:15:00,2026-05-29 13:15:00,6.3713
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h180_e13_tp0.6_sl0.65,0.9,0.72,0.1,0.0,13,180,0.6,0.65,proxy_m15,108,1.2115,0.7287,43.6216,-69.7784,1.3043,0.5556,1.8434,6.0548,0.6996,2022-05-09 13:15:00,2026-05-04 13:15:00,6.3697
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h90_e13_tp0.4_sl0.5,0.9,0.6,0.1,0.0,13,90,0.4,0.5,proxy_m15,198,1.0793,0.5098,22.2263,-185.6737,0.756,0.5707,1.819,2.9876,0.8367,2022-05-02 13:15:00,2026-06-02 13:15:00,6.3241
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h90_e13_tp0.4_sl0.5,0.9,0.72,0.1,0.0,13,90,0.4,0.5,proxy_m15,108,1.1664,0.5341,23.6635,-89.7365,0.8733,0.6019,2.0684,5.1279,0.6835,2022-05-09 13:15:00,2026-05-04 13:15:00,6.2938
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h180_e13_tp0.4_sl0.5,0.9,0.6,0.1,0.0,13,180,0.4,0.5,proxy_m15,198,1.0153,0.4953,4.637,-203.263,0.7529,0.5606,1.5441,2.5868,0.7679,2022-05-02 13:15:00,2026-06-02 13:15:00,5.8379
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h180_e13_tp0.6_sl0.65,0.9,0.72,0.3,0.0,13,180,0.6,0.65,proxy_m15,166,1.0661,0.6734,24.8581,-149.4419,1.2254,0.5361,1.2306,1.6105,0.7937,2022-05-09 13:15:00,2026-05-29 13:15:00,5.8299
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h90_e13_tp0.4_sl0.5,0.9,0.72,0.3,0.0,13,90,0.4,0.5,proxy_m15,166,1.0303,0.5072,7.8753,-166.4247,0.8709,0.5964,1.2077,1.1552,0.8042,2022-05-09 13:15:00,2026-05-29 13:15:00,5.5797
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h180_e13_tp0.6_sl0.65,0.9,0.6,0.3,0.0,13,180,0.6,0.65,proxy_m15,283,1.0052,0.6314,3.4071,-293.7429,1.1131,0.53,1.1309,1.4289,0.7269,2022-05-02 13:15:00,2026-06-02 13:15:00,5.4996
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h180_e13_tp0.4_sl0.5,0.9,0.72,0.1,0.0,13,180,0.4,0.5,proxy_m15,108,1.0414,0.4857,6.4757,-106.9244,0.7959,0.5833,1.579,5.1279,0.6374,2022-05-09 13:15:00,2026-05-04 13:15:00,5.4599
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h180_e15_tp0.6_sl0.65,0.9,0.72,0.3,0.0,15,180,0.6,0.65,proxy_m15,126,1.0153,0.6752,5.0488,-127.2512,1.2762,0.5397,1.0565,0.6368,0.8533,2022-05-09 15:15:00,2026-05-29 15:15:00,5.4031
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h90_e13_tp0.6_sl0.65,0.9,0.6,0.3,0.0,13,90,0.6,0.65,proxy_m15,283,0.993,0.5811,-4.023,-301.173,0.91,0.53,1.1401,1.3711,0.6841,2022-05-02 13:15:00,2026-06-02 13:15:00,5.3913
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h180_e15_tp0.6_sl0.65,0.9,0.72,0.1,0.0,15,180,0.6,0.65,proxy_m15,108,1.0363,0.6968,10.4537,-102.9463,1.357,0.5463,1.1318,0.6206,0.7061,2022-05-09 15:15:00,2026-05-15 15:15:00,5.2823
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h90_e15_tp0.6_sl0.65,0.9,0.72,0.3,0.0,15,90,0.6,0.65,proxy_m15,126,0.989,0.6551,-3.6454,-135.9454,1.1961,0.5317,1.0565,0.6368,0.8013,2022-05-09 15:15:00,2026-05-29 15:15:00,5.2784
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.0_h90_e15_tp0.6_sl0.65,0.9,0.72,0.1,0.0,15,90,0.6,0.65,proxy_m15,108,1.0061,0.6735,1.7596,-111.6404,1.2704,0.537,1.1318,0.6206,0.6736,2022-05-09 15:15:00,2026-05-15 15:15:00,5.1661
