family,name,london_move_atr_min,eff_min,pullback_atr_max,ny_confirm_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,decision
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.72,0.1,0.15,13,180,0.6,0.65,exact_m1,56,6.6576,3.5097,154.1035,95.3035,2.2141,0.8214,26.1167,inf,3.6382,2022-05-09 13:01:00,2026-05-04 13:01:00,STAGE23B_PROMOTION_CANDIDATE_REVIEW_ONLY
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.72,0.3,0.15,13,180,0.6,0.65,exact_m1,56,6.6576,3.5097,154.1035,95.3035,2.2141,0.8214,26.1167,inf,3.6382,2022-05-09 13:01:00,2026-05-04 13:01:00,STAGE23B_PROMOTION_CANDIDATE_REVIEW_ONLY
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.6,0.1,0.15,13,180,0.6,0.65,exact_m1,100,5.579,2.8514,232.6156,127.6156,2.0794,0.83,15.3407,inf,3.6632,2022-05-02 13:01:00,2026-05-20 13:01:00,STAGE23B_PROMOTION_CANDIDATE_REVIEW_ONLY
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h180_e13_tp0.6_sl0.65,0.9,0.6,0.3,0.15,13,180,0.6,0.65,exact_m1,100,5.579,2.8514,232.6156,127.6156,2.0794,0.83,15.3407,inf,3.6632,2022-05-02 13:01:00,2026-05-20 13:01:00,STAGE23B_PROMOTION_CANDIDATE_REVIEW_ONLY
