ts_utc,year,close,candidate,family,side,horizon_hours,signed_forward_bps
2022-05-06 04:00:00+00:00,2022,1869.95,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,44.22578143800537
2022-05-13 00:00:00+00:00,2022,1821.22,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-45.35421310989385
2022-05-25 15:00:00+00:00,2022,1852.39,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-50.097441683447656
2022-05-31 18:00:00+00:00,2022,1843.4,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,11.012259954432668
2022-06-03 20:00:00+00:00,2022,1848.74,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-38.40453498058061
2022-06-06 03:00:00+00:00,2022,1850.67,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-63.76069207368218
2022-06-13 17:00:00+00:00,2022,1827.23,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-73.38977578082661
2022-06-23 23:00:00+00:00,2022,1822.38,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,61.40321996509934
2022-06-30 13:00:00+00:00,2022,1810.16,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-113.80209484244563
2022-07-01 13:00:00+00:00,2022,1789.56,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,79.74027135161599
2022-07-05 16:00:00+00:00,2022,1786.08,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-144.39442802114067
2022-07-14 13:00:00+00:00,2022,1710.75,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-24.959812947537017
2022-07-21 11:00:00+00:00,2022,1684.9,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,197.40043919520335
2022-08-02 22:00:00+00:00,2022,1760.45,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,26.52730835865702
2022-08-05 18:00:00+00:00,2022,1773.57,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,76.28681134660641
2022-08-07 23:00:00+00:00,2022,1773.64,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,85.64308427865708
2022-08-15 12:00:00+00:00,2022,1779.41,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-21.636385093936063
2022-08-18 08:00:00+00:00,2022,1763.07,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-42.369276319148554
2022-08-19 13:00:00+00:00,2022,1751.09,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-95.31206277232917
2022-08-22 11:00:00+00:00,2022,1734.79,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,33.14522218827554
