stage,promotion,decision_scope,candidate,family,side,lookback_hours,trigger,horizon_hours,raw_n,raw_mean_bps,raw_median_bps,raw_hit_rate_pct,event_clock_n,event_clock_mean_bps,event_clock_median_bps,event_clock_hit_rate_pct,round_trip_cost_bps,event_clock_cost_stressed_mean_bps,directional_h1_all_drift_bps,directional_daily_anchor_drift_bps,h1_drift_adjusted_residual_bps,daily_anchor_adjusted_residual_bps,h1_benchmark_cost_adjusted_residual_bps,pre2025_n,pre2025_mean_bps,ex2025_n,ex2025_mean_bps,y2025_n,y2025_mean_bps,first_half_n,first_half_mean_bps,second_half_n,second_half_mean_bps,leave_one_year_out_min_mean_bps,median_mfe_bps,median_mae_bps,mean_mfe_bps,mean_mae_bps,classification,year_means_json,year_counts_json,leave_one_year_out_json
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RANGE_TOP_REV_SHORT_W48_Q0.05,ROLLING_RANGE_REVERSAL,SHORT,48,Short near top 0.95 of rolling 48H range,24,1729,-10.01836185656473,-5.337672567471419,47.77327935222672,339,-16.300734558276503,-14.47166069521888,41.5929203539823,8.0,-24.300734558276503,-8.502590481085887,-7.013983104031285,-7.798144077190615,-9.286751454245216,-15.798144077190615,198,-6.358732698368499,232,-10.980904230192554,107,-27.835319942533296,144,-5.136210420764747,195,-24.54530622905442,-20.937778507934045,53.605012143713715,-66.31933609565155,74.96795979965545,-86.43784179349589,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 15.619381932389333, ""2023"": -6.922978988398581, ""2024"": -17.255518195241038, ""2025"": -27.835319942533296, ""2026"": -37.89825609199147}","{""2022"": 43, ""2023"": 72, ""2024"": 83, ""2025"": 107, ""2026"": 34}","{""2022"": -20.937778507934045, ""2023"": -18.829567520940216, ""2024"": -15.991175800979413, ""2025"": -10.980904230192554, ""2026"": -13.89314199386238}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L120_T1.5,RETURN_ZSCORE_REVERSAL,LONG,120,Long after 120H downside move with z <= -1.5,24,2314,-1.7066808282547923,1.2204773815083225,50.56179775280899,164,-0.4622762515963844,2.8420523643002404,52.4390243902439,8.0,-8.462276251596384,8.502590481085887,7.013983104031285,-8.964866732682271,-7.47625935562767,-16.96486673268227,96,-5.0369075947712565,122,-8.3454289872506,42,22.43640550435157,74,-8.318196693141632,90,5.997036111451932,-8.3454289872506,77.19459458908838,-63.61802786883031,100.69305206655456,-112.06400548775214,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 4.924689735899039, ""2023"": -18.191275128801284, ""2024"": 3.9930794665950495, ""2025"": 22.43640550435157, ""2026"": -20.561507974866622}","{""2022"": 22, ""2023"": 40, ""2024"": 34, ""2025"": 42, ""2026"": 26}","{""2022"": -1.296876615856239, ""2023"": 5.256755644276161, ""2024"": -1.627523131738758, ""2025"": -8.3454289872506, ""2026"": 3.324535522353082}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W120_Q0.1,ROLLING_RANGE_REVERSAL,LONG,120,Long near bottom 0.1 of rolling 120H range,24,2073,8.508285035021702,8.296968455767662,55.23396044380126,228,-0.76844054904717,7.6342176562427255,52.63157894736842,8.0,-8.76844054904717,8.502590481085887,7.013983104031285,-9.271031030133058,-7.782423653078455,-17.27103103013306,169,6.993565804108171,193,-3.8066897789433454,35,15.985333775808876,139,4.5609003427489405,89,-9.091793177807387,-4.506873470792194,61.68002427076158,-52.817517019751456,76.84679167807225,-93.41583078744483,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 2.610967381735554, ""2023"": 7.331497448067046, ""2024"": 11.719625759124296, ""2025"": 15.985333775808876, ""2026"": -79.85848950959777}","{""2022"": 53, ""2023"": 72, ""2024"": 44, ""2025"": 35, ""2026"": 24}","{""2022"": -1.7919183795127966, ""2023"": -4.506873470792194, ""2024"": -3.754717274914262, ""2025"": -3.8066897789433454, ""2026"": 8.53627109337055}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RANGE_TOP_REV_SHORT_W120_Q0.05,ROLLING_RANGE_REVERSAL,SHORT,120,Short near top 0.95 of rolling 120H range,24,2105,-12.090147299748995,-10.12261329875308,46.22327790973872,282,-17.795460076867673,-14.682907993193162,42.198581560283685,8.0,-25.795460076867673,-8.502590481085887,-7.013983104031285,-9.292869595781786,-10.781476972836387,-17.292869595781788,159,-9.452788261668061,187,-13.2679631276782,95,-26.707480387377487,112,-12.159234982501621,170,-21.50873778609708,-21.002811960672894,53.76212675994418,-70.31089080737019,76.85817517933235,-89.87073594138447,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 7.26197651536059, ""2023"": -14.846942988893332, ""2024"": -12.638337437530197, ""2025"": -26.707480387377487, ""2026"": -34.93270611680723}","{""2022"": 32, ""2023"": 59, ""2024"": 68, ""2025"": 95, ""2026"": 28}","{""2022"": -21.002811960672894, ""2023"": -18.575561010457296, ""2024"": -19.43417194357304, ""2025"": -13.2679631276782, ""2026"": -15.906314844118432}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L120_T2.5,RETURN_ZSCORE_REVERSAL,LONG,120,Long after 120H downside move with z <= -2.5,24,505,29.81929506339275,0.32161234991612275,50.0990099009901,49,-1.6977576217574673,-22.18797532215211,40.816326530612244,8.0,-9.697757621757468,8.502590481085887,7.013983104031285,-10.200348102843355,-8.711740725788752,-18.200348102843357,24,-28.671149734405358,35,-3.6294428261087077,14,3.131455389120648,19,-29.845688608202426,30,16.129265336324345,-16.95440047836946,85.174974431943,-88.08262748407847,117.90816465517709,-157.59890669970122,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": -17.154827349007142, ""2023"": -52.27693951801328, ""2024"": 0.9793737483074239, ""2025"": 3.131455389120648, ""2026"": 51.00700861017489}","{""2022"": 4, ""2023"": 12, ""2024"": 8, ""2025"": 14, ""2026"": 11}","{""2022"": -0.32379586822415957, ""2023"": 14.706301371622802, ""2024"": -2.2201247183554864, ""2025"": -3.6294428261087077, ""2026"": -16.95440047836946}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,Long after 24H downside move with z <= -1.5,24,2393,-3.1694115016588915,7.137823234970586,53.489343919765986,272,-1.897542294857041,2.225901972982003,51.10294117647059,8.0,-9.897542294857042,8.502590481085887,7.013983104031285,-10.400132775942929,-8.911525398888326,-18.40013277594293,176,-3.012717966869262,208,-6.247015592741547,64,12.238245923267607,133,0.040236875805032456,139,-3.7516763214617583,-6.247015592741547,60.815749982403574,-61.30345345417176,81.76643600430113,-94.02931520229652,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": -4.941969923865395, ""2023"": 0.3791588260868594, ""2024"": -4.734199219917725, ""2025"": 12.238245923267607, ""2026"": -24.035652535039123}","{""2022"": 43, ""2023"": 61, ""2024"": 72, ""2025"": 64, ""2026"": 32}","{""2022"": -1.325881211680798, ""2023"": -2.5557355099166523, ""2024"": -0.8763458018351932, ""2025"": -6.247015592741547, ""2026"": 1.0542057371672382}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RANGE_TOP_REV_SHORT_W120_Q0.1,ROLLING_RANGE_REVERSAL,SHORT,120,Short near top 0.9 of rolling 120H range,24,4012,-14.244793953561915,-10.844964554073133,44.91525423728814,355,-19.05882421473792,-19.664650164372688,39.436619718309856,8.0,-27.05882421473792,-8.502590481085887,-7.013983104031285,-10.556233733652034,-12.044841110706635,-18.556233733652036,204,-12.850790289053798,239,-13.671246614525417,116,-30.15909185655506,149,-17.368398644261955,206,-20.28151067105306,-21.530509453375146,47.317543448239796,-74.3529527688358,73.4936872273977,-91.3214014364193,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": -0.6388842220366987, ""2023"": -17.191212408082432, ""2024"": -15.004450011899442, ""2025"": -30.15909185655506, ""2026"": -18.453334911559995}","{""2022"": 42, ""2023"": 75, ""2024"": 87, ""2025"": 116, ""2026"": 35}","{""2022"": -21.530509453375146, ""2023"": -19.559077377234924, ""2024"": -20.37498300446534, ""2025"": -13.671246614525417, ""2026"": -19.125049607273006}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L72_T2,RETURN_ZSCORE_REVERSAL,LONG,72,Long after 72H downside move with z <= -2,24,1114,12.993628472159745,5.847534614455974,53.680430879712745,98,-5.948287736663945,-1.6308070063308922,47.95918367346938,8.0,-13.948287736663945,8.502590481085887,7.013983104031285,-14.450878217749832,-12.96227084069523,-22.450878217749832,62,-2.6101077835841213,76,-6.471925898731248,22,-4.139355904067804,48,-6.688244141552432,50,-5.237929587971,-8.958528138580007,61.92346087148914,-54.82616920187366,91.52715205399016,-123.43877805807398,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 12.113154674832412, ""2023"": -7.01214483592926, ""2024"": -6.796640498648633, ""2025"": -4.139355904067804, ""2026"": -23.57426326581139}","{""2022"": 14, ""2023"": 24, ""2024"": 24, ""2025"": 22, ""2026"": 14}","{""2022"": -8.958528138580007, ""2023"": -5.6032530017670945, ""2024"": -5.673146300344591, ""2025"": -6.471925898731248, ""2026"": -3.0106251484727062}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L72_T2.5,RETURN_ZSCORE_REVERSAL,LONG,72,Long after 72H downside move with z <= -2.5,24,470,22.444300713712607,4.868402561684082,54.04255319148936,51,-8.639548294973109,-6.50066832713625,49.01960784313725,8.0,-16.63954829497311,8.502590481085887,7.013983104031285,-17.142138776058996,-15.653531399004393,-25.142138776058996,30,-1.3292026463187492,38,-3.63750340909592,13,-23.26091026907566,23,-7.611864371557542,28,-9.483717232064466,-12.599932924179662,77.57798007741678,-62.78984683232514,107.92155456427611,-147.404300201106,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 21.06333642407606, ""2023"": 5.387574566429212, ""2024"": -17.347647551133857, ""2025"": -23.26091026907566, ""2026"": -12.2936312695103}","{""2022"": 6, ""2023"": 11, ""2024"": 13, ""2025"": 13, ""2026"": 8}","{""2022"": -12.599932924179662, ""2023"": -12.497007081858746, ""2024"": -5.660461707339166, ""2025"": -3.63750340909592, ""2026"": -7.959718904361536}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T2,RETURN_ZSCORE_REVERSAL,LONG,24,Long after 24H downside move with z <= -2,24,1081,-14.597703634313227,3.038060142339649,51.3413506012951,151,-12.631390102159306,2.749588834631833,52.980132450331126,8.0,-20.63139010215931,8.502590481085887,7.013983104031285,-21.133980583245194,-19.64537320619059,-29.133980583245194,98,-1.9188946746673379,116,-16.05673225674735,35,-1.278827532667518,76,1.3399925908417814,75,-26.789057897733745,-17.695428769050984,61.78383516327379,-63.24496480520803,84.67542742348242,-109.19017350210565,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 14.165814510142491, ""2023"": 1.0870104237509384, ""2024"": -13.75372122791707, ""2025"": -1.278827532667518, ""2026"": -93.02940353696073}","{""2022"": 24, ""2023"": 33, ""2024"": 41, ""2025"": 35, ""2026"": 18}","{""2022"": -17.695428769050984, ""2023"": -16.467891944151155, ""2024"": -12.213066682558688, ""2025"": -16.05673225674735, ""2026"": -1.7504559530884392}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L120_T2,RETURN_ZSCORE_REVERSAL,LONG,120,Long after 120H downside move with z <= -2,24,1159,-3.6381043738873986,-10.030056624532602,44.69370146678171,88,-12.805979271678659,-9.522901545019892,45.45454545454545,8.0,-20.80597927167866,8.502590481085887,7.013983104031285,-21.308569752764548,-19.819962375709945,-29.308569752764548,53,-19.62429274023522,67,-18.52176179124945,21,5.430088766951965,41,-28.703335728925904,47,1.0619274250689479,-18.52176179124945,70.28763301806461,-71.04791718476943,98.11932003717138,-133.71402756815786,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": -28.05796053449519, ""2023"": -35.51511573692152, ""2024"": 4.494616452430307, ""2025"": 5.430088766951965, ""2026"": -14.347894627231922}","{""2022"": 11, ""2023"": 23, ""2024"": 19, ""2025"": 21, ""2026"": 14}","{""2022"": -10.627124805562008, ""2023"": -4.770438676285031, ""2024"": -17.569911427592718, ""2025"": -18.52176179124945, ""2026"": -12.514265555763174}"
