candidate,family,signal_count,pf_x4,avg_net_x4,win_rate_x4,tail_pf_x4,max_drawdown_x4,source,monitor_role,stage32_next_action,hour,weekday,sibling_group,member_quality
calendar_drop_friday_h13_tp06_sl065,calendar_time_risk_proxy_v1,26,0.933662,-0.147248,0.541667,1.197193,-18.9303,stage32e_focus,BACKGROUND_COLLECTION,KEEP_BACKGROUND_ONLY,13,friday,calendar_time_risk_proxy_v1::calendar_drop_WEEKDAY_hX_tp06_sl065,WEAK_OR_REPAIR_SIBLING
calendar_drop_friday_h9_tp06_sl065,calendar_time_risk_proxy_v1,26,1.282852,0.549791,0.541667,1.803638,-17.73745,stage32e_focus,SECONDARY_COLLECTION,KEEP_AS_SECONDARY_ONLY_UNTIL_METRICS_IMPROVE,9,friday,calendar_time_risk_proxy_v1::calendar_drop_WEEKDAY_hX_tp06_sl065,SECONDARY_SIBLING
calendar_drop_monday_h13_tp06_sl065,calendar_time_risk_proxy_v1,24,0.817511,-0.456615,0.5,0.417467,-33.07835,stage32d_diagnostics,UNKNOWN,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,13,monday,calendar_time_risk_proxy_v1::calendar_drop_WEEKDAY_hX_tp06_sl065,WEAK_OR_REPAIR_SIBLING
handoff_align_follow_h13_tp06_sl065,session_handoff_imbalance_v1,14,2.612842,2.174892,0.846154,1.734659,-17.5303,stage32e_focus,PROMISING_LOW_N_ACCELERATION,KEEP_COLLECTING_UNTIL_MIN_REVIEW_SAMPLES_THEN_STAGE32D,13,none,session_handoff_imbalance_v1::handoff_align_follow_hX_tp06_sl065,GOOD_SIBLING
handoff_align_follow_h14_tp06_sl065,session_handoff_imbalance_v1,14,2.85199,2.20266,0.833333,5.536625,-14.272175,stage32e_focus,PROMISING_LOW_N_ACCELERATION,KEEP_COLLECTING_UNTIL_MIN_REVIEW_SAMPLES_THEN_STAGE32D,14,none,session_handoff_imbalance_v1::handoff_align_follow_hX_tp06_sl065,GOOD_SIBLING
handoff_align_follow_h15_tp06_sl065,session_handoff_imbalance_v1,14,0.677438,-1.057488,0.583333,0.725849,-18.840375,stage32d_diagnostics,UNKNOWN,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,15,none,session_handoff_imbalance_v1::handoff_align_follow_hX_tp06_sl065,WEAK_OR_REPAIR_SIBLING
vol_trans_fade_h1_low_to_high_h12_tp06_sl065,volatility_transition_v1,21,1.298189,0.668022,0.684211,0.564206,-30.683475,stage32e_focus,SECONDARY_COLLECTION,KEEP_AS_SECONDARY_ONLY_UNTIL_METRICS_IMPROVE,1,none,volatility_transition_v1::vol_trans_fade_hX_low_to_high_hX_tp06_sl065,SECONDARY_SIBLING
vol_trans_follow_h1_low_to_high_h12_tp06_sl065,volatility_transition_v1,21,0.468069,-2.119478,0.473684,0.779321,-43.820675,stage32d_diagnostics,UNKNOWN,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,1,none,volatility_transition_v1::vol_trans_follow_hX_low_to_high_hX_tp06_sl065,WEAK_OR_REPAIR_SIBLING
vol_trans_follow_h1_low_to_high_h13_tp06_sl065,volatility_transition_v1,22,0.843633,-0.474349,0.6,0.327474,-45.034175,stage32d_diagnostics,UNKNOWN,PAUSE_OR_REPAIR_BEFORE_PRIMARY_SHADOW,1,none,volatility_transition_v1::vol_trans_follow_hX_low_to_high_hX_tp06_sl065,WEAK_OR_REPAIR_SIBLING
