variant,family,side,bias_min,horizon_bars,horizon_minutes,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,london_open,london_close,london_low,london_high,london_bias,signal_close
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-02 13:15:00+00:00,2022-05-02 13:30:00+00:00,2022-05-02 15:30:00+00:00,1878.7,m15_exact_open,1873.43,5.27,4.92,4.57,3.87,9.46,3.45,new_york,13,1889.0,1880.43,1879.28,1889.13,-8.569999999999936,1878.67
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-02 16:15:00+00:00,2022-05-02 16:30:00+00:00,2022-05-02 18:30:00+00:00,1862.44,m15_exact_open,1861.67,0.77,0.42,0.07,-0.63,8.01,2.35,new_york,16,1889.0,1880.43,1879.28,1889.13,-8.569999999999936,1862.45
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-09 13:00:00+00:00,2022-05-09 13:15:00+00:00,2022-05-09 15:15:00+00:00,1863.37,m15_exact_open,1863.58,-0.21,-0.56,-0.91,-1.61,7.39,1.24,new_york,13,1875.28,1865.28,1864.23,1876.02,-10.0,1863.41
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-09 16:45:00+00:00,2022-05-09 17:00:00+00:00,2022-05-09 19:00:00+00:00,1863.72,m15_exact_open,1860.61,3.11,2.76,2.41,1.71,6.15,2.48,new_york,16,1875.28,1865.28,1864.23,1876.02,-10.0,1863.72
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-12 14:45:00+00:00,2022-05-12 15:00:00+00:00,2022-05-12 17:00:00+00:00,1841.51,m15_exact_open,1837.39,4.12,3.77,3.42,2.72,4.86,7.37,new_york,14,1853.21,1848.14,1843.72,1853.96,-5.069999999999936,1841.46
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-13 13:30:00+00:00,2022-05-13 13:45:00+00:00,2022-05-13 15:45:00+00:00,1818.04,m15_exact_open,1812.16,5.88,5.53,5.18,4.48,7.79,2.21,new_york,13,1825.93,1822.39,1820.08,1828.56,-3.5399999999999636,1818.06
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-13 16:30:00+00:00,2022-05-13 16:45:00+00:00,2022-05-13 18:45:00+00:00,1803.65,m15_exact_open,1808.73,-5.08,-5.43,-5.78,-6.48,1.86,14.49,new_york,16,1825.93,1822.39,1820.08,1828.56,-3.5399999999999636,1803.7
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-25 13:15:00+00:00,2022-05-25 13:30:00+00:00,2022-05-25 15:30:00+00:00,1853.72,m15_exact_open,1856.69,-2.97,-3.32,-3.67,-4.37,2.62,3.17,new_york,13,1862.02,1856.74,1854.91,1863.11,-5.279999999999973,1853.7
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-05-25 16:15:00+00:00,2022-05-25 16:30:00+00:00,2022-05-25 18:30:00+00:00,1850.23,m15_exact_open,1848.98,1.25,0.9,0.55,-0.15,3.49,3.95,new_york,16,1862.02,1856.74,1854.91,1863.11,-5.279999999999973,1850.24
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-01 12:00:00+00:00,2022-06-01 12:15:00+00:00,2022-06-01 14:15:00+00:00,1828.73,m15_exact_open,1829.65,-0.92,-1.27,-1.62,-2.32,0.45,4.43,new_york,12,1837.05,1832.82,1829.57,1837.46,-4.230000000000018,1828.76
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-03 12:30:00+00:00,2022-06-03 12:45:00+00:00,2022-06-03 14:45:00+00:00,1863.47,m15_exact_open,1864.82,-1.35,-1.7,-2.05,-2.75,-0.46,4.18,new_york,12,1868.06,1865.81,1864.14,1869.02,-2.25,1863.45
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-03 15:30:00+00:00,2022-06-03 15:45:00+00:00,2022-06-03 17:45:00+00:00,1863.8,m15_exact_open,1859.31,4.49,4.14,3.79,3.09,6.97,1.19,new_york,15,1868.06,1865.81,1864.14,1869.02,-2.25,1863.82
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-06 16:45:00+00:00,2022-06-06 17:00:00+00:00,2022-06-06 19:00:00+00:00,1850.4,m15_exact_open,1843.62,6.78,6.43,6.08,5.38,8.76,-0.26,new_york,16,1855.22,1851.05,1850.77,1856.48,-4.170000000000073,1850.36
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-09 14:15:00+00:00,2022-06-09 14:30:00+00:00,2022-06-09 16:30:00+00:00,1846.78,m15_exact_open,1849.1,-2.32,-2.67,-3.02,-3.72,3.13,5.55,new_york,14,1854.5,1849.08,1847.39,1855.13,-5.420000000000073,1846.84
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-13 12:00:00+00:00,2022-06-13 12:15:00+00:00,2022-06-13 14:15:00+00:00,1852.59,m15_exact_open,1856.87,-4.28,-4.63,-4.98,-5.68,-0.85,5.89,new_york,12,1863.55,1853.89,1853.18,1866.95,-9.659999999999854,1852.59
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-13 15:30:00+00:00,2022-06-13 15:45:00+00:00,2022-06-13 17:45:00+00:00,1851.42,m15_exact_open,1829.66,21.76,21.41,21.06,20.36,28.06,-5.81,new_york,15,1863.55,1853.89,1853.18,1866.95,-9.659999999999854,1851.39
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-20 13:15:00+00:00,2022-06-20 13:30:00+00:00,2022-06-20 15:30:00+00:00,1838.56,m15_exact_open,1838.66,-0.1,-0.45,-0.8,-1.5,1.33,1.86,new_york,13,1845.22,1840.14,1838.8,1845.93,-5.079999999999927,1838.54
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-29 12:30:00+00:00,2022-06-29 12:45:00+00:00,2022-06-29 14:45:00+00:00,1815.06,m15_exact_open,1826.05,-10.99,-11.34,-11.69,-12.39,1.57,12.11,new_york,12,1820.48,1815.57,1815.55,1822.22,-4.910000000000082,1815.16
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-06-30 13:15:00+00:00,2022-06-30 13:30:00+00:00,2022-06-30 15:30:00+00:00,1811.45,m15_exact_open,1803.71,7.74,7.39,7.04,6.34,8.95,1.51,new_york,13,1817.47,1815.24,1812.22,1817.64,-2.230000000000018,1811.45
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-07-01 13:30:00+00:00,2022-07-01 13:45:00+00:00,2022-07-01 15:45:00+00:00,1790.99,m15_exact_open,1787.92,3.07,2.72,2.37,1.67,6.64,0.49,new_york,13,1802.64,1793.95,1792.18,1802.96,-8.690000000000055,1790.99
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,2.0,8,120,4,2022-07-01 16:45:00+00:00,2022-07-01 17:00:00+00:00,2022-07-01 19:00:00+00:00,1791.47,m15_exact_open,1806.01,-14.54,-14.89,-15.24,-15.94,-2.85,17.1,new_york,16,1802.64,1793.95,1792.18,1802.96,-8.690000000000055,1791.47
