candidate_id,base_candidate_id,context_variant,cw,pct,buffer_bps,m30_sma,horizon_m5_bars,params,trade_count,oos_trade_count,mean_stress_bps,median_stress_bps,win_rate,t_stat,is_mean_stress_bps,is_win_rate,oos_mean_stress_bps,oos_win_rate,positive_year_count,negative_year_count,worst_year_mean_stress_bps,cost_x15_mean_stress_bps,cost_x2_mean_stress_bps,declustered_trade_count,declustered_mean_stress_bps,declustered_win_rate,max_direction_share,max_day_share,first_entry_utc,last_entry_utc,span_days,status,failures
S58A_S51_VSQ_CW48_P20_B5_M3040_H24_CTX_SPREAD_LE90,S51_VSQ_CW48_P20_B5_M3040_H24,CTX_SPREAD_LE90,48,20.0,5.0,40,24,"{""spread_filter"": ""spread_le_90""}",2096,420,4.330573571863272,0.4809359772875932,0.5076335877862596,4.551634958568789,3.1560323335692226,0.4988066825775656,9.017552418008098,0.5428571428571428,4,1,-0.05314322184241217,2.83957170528641,1.3485698387095493,1127,5.0280787086102,0.5235137533274179,0.5534351145038168,0.005248091603053435,2022-05-30T17:50:00Z,2026-06-19T02:05:00Z,1480.34375,NO_PASS,win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H12_CTX_NO_ROLLOVER,S51_VSQ_CW48_P20_B5_M3040_H12,CTX_NO_ROLLOVER,48,20.0,5.0,40,12,"{""rollover_filter"": ""exclude_rollover_like""}",1821,365,3.200542881205615,0.728144829556292,0.515650741350906,4.594234523000548,1.765672434537823,0.5,8.92430006024207,0.5780821917808219,4,1,-0.6457684170230429,1.7095410146287549,0.21853914805189412,1027,2.749560679496007,0.5082765335929893,0.5293794618341571,0.0054914881933003845,2022-05-02T12:05:00Z,2026-06-19T02:05:00Z,1508.5833333333333,NO_PASS,win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H24_CTX_NO_ROLLOVER,S51_VSQ_CW48_P20_B5_M3020_H24,CTX_NO_ROLLOVER,48,20.0,5.0,20,24,"{""rollover_filter"": ""exclude_rollover_like""}",1965,393,3.028433020134692,-0.40485019923231613,0.4895674300254453,3.3770331298389347,1.6004814192826782,0.4815521628498728,8.74023942354275,0.5216284987277354,4,1,-1.9585364761379327,1.537431153557831,0.046429286980970375,1120,3.619041047922961,0.5107142857142857,0.5302798982188295,0.0055979643765903305,2022-05-02T04:05:00Z,2026-06-19T02:05:00Z,1508.9166666666667,NO_PASS,median_stress_lt_min;win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H24_CTX_ALL,S51_VSQ_CW48_P20_B5_M3020_H24,CTX_ALL,48,20.0,5.0,20,24,"{""range_filter"": ""all"", ""session_filter"": ""all"", ""spread_filter"": ""all""}",2535,507,3.0150605792940923,-0.17065207069422828,0.4958579881656805,3.8623686265435806,1.594481868622242,0.4896449704142012,8.697375421981496,0.5207100591715976,4,1,-1.108415639286659,1.524058712717232,0.0330568461403713,1385,3.464709115027968,0.5169675090252708,0.545956607495069,0.004733727810650888,2022-05-02T04:05:00Z,2026-06-19T02:05:00Z,1508.9166666666667,NO_PASS,median_stress_lt_min;win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW96_P20_B5_M3040_H24_CTX_OVERLAP_NY,S51_VSQ_CW96_P20_B5_M3040_H24,CTX_OVERLAP_NY,96,20.0,5.0,40,24,"{""session_filter"": ""overlap_new_york""}",571,115,1.8724000930307465,-2.0225959662841864,0.46760070052539404,1.0403568526657099,0.21072748513227935,0.4473684210526316,8.461293216523798,0.5478260869565217,1,4,-2.316200726383873,0.381398226453884,-1.1096036401229767,437,3.235843347925074,0.4759725400457666,0.5359019264448336,0.008756567425569177,2022-05-02T12:05:00Z,2026-06-18T18:50:00Z,1508.28125,NO_PASS,mean_stress_lt_min;median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H12_CTX_NO_ROLLOVER,S51_VSQ_CW48_P20_B5_M3020_H12,CTX_NO_ROLLOVER,48,20.0,5.0,20,12,"{""rollover_filter"": ""exclude_rollover_like""}",1965,393,2.9994461881745784,0.5470184019599134,0.5119592875318066,4.6092936461180685,1.6717624188948308,0.5012722646310432,8.31018126529357,0.55470737913486,4,1,-0.3934542543360827,1.5084443215977181,0.017442455020857395,1120,2.2430788756350615,0.5080357142857143,0.5302798982188295,0.0055979643765903305,2022-05-02T04:05:00Z,2026-06-19T02:05:00Z,1508.9166666666667,NO_PASS,win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H12_CTX_ALL,S51_VSQ_CW48_P20_B5_M3020_H12,CTX_ALL,48,20.0,5.0,20,12,"{""range_filter"": ""all"", ""session_filter"": ""all"", ""spread_filter"": ""all""}",2535,507,2.9290041101696134,0.7100462362633553,0.5187376725838264,5.215386968779374,1.608045923868371,0.5093688362919132,8.21283685537458,0.5562130177514792,5,0,0.27738714262698644,1.4380022435927513,-0.05299962298410943,1385,2.3282123402461425,0.5184115523465704,0.545956607495069,0.004733727810650888,2022-05-02T04:05:00Z,2026-06-19T02:05:00Z,1508.9166666666667,NO_PASS,win_rate_lt_min;cost_x2_mean_lt_min
S58A_S51_VSQ_CW96_P20_B3_M3020_H12_CTX_OVERLAP_NY,S51_VSQ_CW96_P20_B3_M3020_H12,CTX_OVERLAP_NY,96,20.0,3.0,20,12,"{""session_filter"": ""overlap_new_york""}",1004,201,0.6091775867295812,-1.2978574071994609,0.4531872509960159,0.723398898520594,-1.2517216040834318,0.42839352428393523,8.043516145052216,0.5522388059701493,2,3,-2.3890786230810015,-0.88182427984728,-2.3728261464241407,701,0.9935544805002098,0.4579172610556348,0.5229083665338645,0.00597609561752988,2022-05-02T12:05:00Z,2026-06-19T15:35:00Z,1509.1458333333333,NO_PASS,mean_stress_lt_min;median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW96_P20_B5_M3040_H24_CTX_RANGE_50_90,S51_VSQ_CW96_P20_B5_M3040_H24,CTX_RANGE_50_90,96,20.0,5.0,40,24,"{""range_filter"": ""range_50_to_90""}",1388,278,3.4063936556891816,1.034204108260377,0.5180115273775217,3.790879089380647,2.2574329703882547,0.509009009009009,7.993970492682091,0.5539568345323741,4,1,-0.3653373985025744,1.9153917891123209,0.42438992253546015,875,2.8588511087200965,0.5165714285714286,0.5821325648414986,0.006484149855907781,2022-05-02T12:05:00Z,2026-06-19T03:35:00Z,1508.6458333333333,NO_PASS,win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW96_P20_B5_M3040_H12_CTX_ALL,S51_VSQ_CW96_P20_B5_M3040_H12,CTX_ALL,96,20.0,5.0,40,12,"{""range_filter"": ""all"", ""session_filter"": ""all"", ""spread_filter"": ""all""}",2193,439,3.096420296028401,0.9662537420765882,0.5225718194254446,5.0320798497830355,1.9030301596959451,0.5108323831242874,7.864543984245091,0.5694760820045558,4,1,-0.38393024693955285,1.6054184294515395,0.11441656287467872,1207,2.912807480455488,0.52029826014913,0.5672594619243047,0.006839945280437756,2022-05-02T12:05:00Z,2026-06-19T03:35:00Z,1508.6458333333333,NO_PASS,win_rate_lt_min;worst_year_lt_min
