candidate_id,time_utc,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,entry_spread_cost_bps,gross_bps,stress_bps,horizon_m5_bars,session,spread_regime,range_regime,p95_spread_flag,rollover_like,hour_utc,weekday,range_bps,spread_cost_bps,entry_date_utc,entry_year
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-10 08:15:00+00:00,2022-05-10 08:20:00,2022-05-10 10:20:00,1,1861.8,1856.49,2.6855731012998176,-28.520786335803905,-31.502790068957626,24,london,spread_le_99,range_le_75,True,False,8,1,16.216158166608725,2.6847943984449674,2022-05-10,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-10 23:30:00+00:00,2022-05-10 23:35:00,2022-05-11 01:35:00,-1,1836.23,1834.59,2.7229704339870278,8.93134302347831,5.949339290324589,24,late_us,spread_le_99,range_le_90,True,True,23,1,21.472910887420117,2.724988691296931,2022-05-10,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-11 04:15:00+00:00,2022-05-11 04:20:00,2022-05-11 06:20:00,1,1836.8,1842.97,2.7221254355400695,33.59102787456436,30.60902414141064,24,asia,spread_le_99,range_le_75,True,False,4,2,15.501093234997317,2.719490041227469,2022-05-11,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-11 22:30:00+00:00,2022-05-11 22:35:00,2022-05-12 00:35:00,1,1852.08,1856.6,2.96963414107382,24.40499330482515,21.42298957167143,24,late_us,spread_gt_99,range_le_25,True,True,22,2,6.908984918981209,2.9687044573748014,2022-05-11,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-11 23:30:00+00:00,2022-05-11 23:35:00,2022-05-12 01:35:00,1,1854.06,1857.51,2.69678435433589,18.60781204491735,15.625808311763628,24,late_us,spread_le_99,range_le_25,True,True,23,2,6.5794086082395085,2.696478937803017,2022-05-11,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-12 04:30:00+00:00,2022-05-12 04:35:00,2022-05-12 06:35:00,-1,1850.83,1853.25,2.701490682558636,-13.075214903583987,-16.05721863673771,24,asia,spread_le_99,range_le_75,True,False,4,3,16.269654661715453,2.7026004421454326,2022-05-12,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-12 17:30:00+00:00,2022-05-12 17:35:00,2022-05-12 19:35:00,-1,1822.52,1823.85,2.743454118473323,-7.297587955139573,-10.279591688293294,24,new_york,spread_le_99,range_le_90,True,False,17,3,20.95217200526512,2.742430890741553,2022-05-12,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-12 22:15:00+00:00,2022-05-12 22:20:00,2022-05-13 00:20:00,-1,1822.4,1822.96,3.0179982440737487,-3.0728709394201026,-6.054874672573824,24,late_us,spread_gt_99,range_gt_90,True,True,22,3,26.928255433736506,3.0225592833786714,2022-05-12,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-13 17:15:00+00:00,2022-05-13 17:20:00,2022-05-13 19:20:00,-1,1811.36,1807.81,2.760356858934723,19.598533698436114,16.616529965282393,24,new_york,spread_gt_99,range_le_75,True,False,17,4,13.7086253786456,2.7638357618236897,2022-05-13,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-15 22:00:00+00:00,2022-05-15 22:05:00,2022-05-16 00:05:00,1,1813.14,1811.51,3.0334116505068556,-8.989929073320857,-11.971932806474578,24,late_us,spread_gt_99,range_le_90,True,True,22,6,23.657218484614333,3.0329767287967355,2022-05-15,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-16 00:45:00+00:00,2022-05-16 00:50:00,2022-05-16 02:50:00,1,1814.71,1812.04,2.755261171206419,-14.713094654242864,-17.695098387396587,24,asia,spread_le_99,range_le_75,True,True,0,0,16.19335081187102,2.753971226508625,2022-05-16,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-16 03:15:00+00:00,2022-05-16 03:20:00,2022-05-16 05:20:00,-1,1810.51,1807.49,2.8168858498434144,16.680382875543522,13.6983791423898,24,asia,spread_gt_99,range_le_75,True,False,3,0,14.145991048239738,2.7628888766093826,2022-05-16,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-16 04:30:00+00:00,2022-05-16 04:35:00,2022-05-16 06:35:00,-1,1809.6,1805.38,2.7630415561450046,23.32007073386322,20.338067000709497,24,asia,spread_gt_99,range_le_75,True,False,4,0,12.056921945256246,2.765349070013108,2022-05-16,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-16 23:15:00+00:00,2022-05-16 23:20:00,2022-05-17 01:20:00,1,1825.54,1824.03,2.73891560853227,-8.27152513776741,-11.253528870921132,24,late_us,spread_le_99,range_le_50,True,True,23,0,8.049854335969309,2.7380456925065166,2022-05-16,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-17 03:30:00+00:00,2022-05-17 03:35:00,2022-05-17 05:35:00,-1,1822.48,1825.11,2.743514332118871,-14.430885386944592,-17.412889120098313,24,asia,spread_le_99,range_le_75,True,False,3,1,12.239297475301965,2.7442371020856204,2022-05-17,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-17 17:30:00+00:00,2022-05-17 17:35:00,2022-05-17 19:35:00,-1,1819.47,1816.81,2.7480530044463496,14.619641983655285,11.637638250501563,24,new_york,spread_le_99,range_le_75,True,False,17,1,11.106162820745332,2.74905020315481,2022-05-17,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-17 18:00:00+00:00,2022-05-17 18:05:00,2022-05-17 20:05:00,-1,1819.62,1815.62,2.7478264692628134,21.98261175410221,19.000608020948487,24,new_york,spread_le_99,range_gt_90,True,False,18,1,27.630087073302192,2.752000704512181,2022-05-17,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-17 20:15:00+00:00,2022-05-17 20:20:00,2022-05-17 23:20:00,-1,1814.18,1813.78,2.756066101489378,2.2048528811924317,-0.7771508519612902,24,new_york,spread_gt_99,range_le_75,True,False,20,1,14.397299265240727,2.758103307517487,2022-05-17,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-18 18:15:00+00:00,2022-05-18 18:20:00,2022-05-18 20:20:00,1,1818.01,1815.48,2.7502598995605085,-13.916315091776488,-16.89831882493021,24,new_york,spread_le_99,range_le_75,True,False,18,2,13.911494303435383,2.749307174592003,2022-05-18,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-19 19:30:00+00:00,2022-05-19 19:35:00,2022-05-19 22:35:00,1,1840.89,1841.33,2.716077549446192,2.3901482435118027,-0.5918554896419193,24,new_york,spread_le_99,range_le_75,True,False,19,3,11.995158515205825,2.7138367681460696,2022-05-19,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-19 23:15:00+00:00,2022-05-19 23:20:00,2022-05-20 01:20:00,1,1842.75,1838.83,2.71333604666938,-21.27255460588784,-24.254558339041562,24,late_us,spread_le_99,range_le_75,True,True,23,3,14.316314633551693,2.7114232260513544,2022-05-19,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-19 23:45:00+00:00,2022-05-19 23:50:00,2022-05-20 01:50:00,-1,1842.35,1837.82,2.713925149944365,24.588161858495326,21.606158125341604,24,late_us,spread_le_99,range_le_75,True,True,23,3,11.292686899396966,2.7145881969705195,2022-05-19,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-20 17:15:00+00:00,2022-05-20 17:20:00,2022-05-20 19:20:00,1,1841.87,1843.14,2.7146324116251423,6.895166325529001,3.913162592375279,24,new_york,spread_le_99,range_le_75,True,False,17,4,16.868071073699518,2.7119085327490073,2022-05-20,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-23 00:00:00+00:00,2022-05-23 00:05:00,2022-05-23 02:05:00,1,1846.73,1850.31,2.707488371337445,19.385616738776257,16.403613005622535,24,asia,spread_le_99,range_le_50,True,True,0,0,9.797553318177831,2.7065064414853306,2022-05-23,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-23 17:00:00+00:00,2022-05-23 17:05:00,2022-05-23 19:05:00,-1,1848.86,1856.18,2.704369178845343,-39.591964778296074,-42.5739685114498,24,new_york,spread_le_99,range_le_50,True,False,17,0,10.927010813413078,2.7047056468844497,2022-05-23,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-23 19:15:00+00:00,2022-05-23 19:20:00,2022-05-23 22:20:00,-1,1855.17,1853.67,2.6951707929731508,8.08551237891919,5.103508645765469,24,new_york,spread_le_99,range_le_50,True,False,19,0,9.546925566342944,2.6968716289104635,2022-05-23,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-24 03:00:00+00:00,2022-05-24 03:05:00,2022-05-24 05:05:00,1,1852.22,1855.46,2.6994633466866786,17.49252248653077,14.510518753377049,24,asia,spread_le_99,range_le_75,True,False,3,1,14.083899027618079,2.698064947819424,2022-05-24,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-25 05:30:00+00:00,2022-05-25 05:35:00,2022-05-25 07:35:00,-1,1858.84,1858.09,2.958834541972413,4.03477437541655,1.052770642262828,24,asia,spread_gt_99,range_le_75,True,False,5,2,14.578435749982711,2.9587231226901785,2022-05-25,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-25 16:30:00+00:00,2022-05-25 16:35:00,2022-05-25 18:35:00,-1,1844.15,1851.44,2.71127619770626,-39.53040696255794,-42.512410695711665,24,new_york,spread_le_99,range_le_90,True,False,16,2,17.519404231776935,2.7119820792224205,2022-05-25,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-25 18:45:00+00:00,2022-05-25 18:50:00,2022-05-25 20:50:00,1,1853.16,1853.57,2.6980940663515294,2.2124371344078853,-0.7695665987458367,24,new_york,spread_le_99,range_le_90,True,False,18,2,18.604500671380052,2.696304445127508,2022-05-25,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-26 19:00:00+00:00,2022-05-26 19:05:00,2022-05-26 22:05:00,1,1852.98,1850.56,2.6983561614264593,-13.060043821304657,-16.042047554458378,24,new_york,spread_le_99,range_le_50,True,False,19,3,10.900476491125724,2.6981377453281743,2022-05-26,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-26 23:00:00+00:00,2022-05-26 23:05:00,2022-05-27 01:05:00,1,1851.72,1848.66,2.754196098762232,-16.525176592573352,-19.507180325727074,24,late_us,spread_le_99,range_le_25,True,True,23,3,6.262957843815231,2.6995507947477537,2022-05-26,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-27 16:15:00+00:00,2022-05-27 16:20:00,2022-05-27 18:20:00,-1,1853.71,1853.01,2.6972935356663124,3.7762109499328567,0.7942072167791348,24,new_york,spread_le_99,range_le_50,True,False,16,4,8.473478551844392,2.698560048358196,2022-05-27,2022
S51_VSQ_CW48_P20_B5_M3020_H24,2022-05-29 22:45:00+00:00,2022-05-29 22:50:00,2022-05-30 00:50:00,-1,1851.07,1849.95,2.971254463634547,6.050554544128062,3.06855081097434,24,late_us,spread_gt_99,range_le_50,True,True,22,6,7.348610518238603,2.971864547817301,2022-05-29,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-02 12:00:00+00:00,2022-05-02 12:05:00,2022-05-02 14:05:00,-1,1875.77,1861.14,2.665572005096574,77.99463686912533,75.01263313597161,24,london_ny_overlap,spread_le_99,range_le_90,True,False,12,0,18.304364763831344,2.66827474691414,2022-05-02,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-02 16:45:00+00:00,2022-05-02 16:50:00,2022-05-02 18:50:00,-1,1866.94,1861.65,2.6781792666073896,28.335136640705862,25.35313290755214,24,new_york,spread_le_99,range_le_90,True,False,16,0,17.79235464664457,2.67957148292845,2022-05-02,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-02 18:00:00+00:00,2022-05-02 18:05:00,2022-05-02 20:05:00,-1,1865.47,1861.92,2.6802896857092313,19.03005676853531,16.04805303538159,24,new_york,spread_le_99,range_le_75,True,False,18,0,17.01054439108193,2.6830511657857317,2022-05-02,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-02 18:30:00+00:00,2022-05-02 18:35:00,2022-05-02 20:35:00,-1,1862.52,1862.04,2.6845349311685247,2.577153533921406,-0.40485019923231613,24,new_york,spread_le_99,range_le_75,True,False,18,0,14.661890363431155,2.685327905390527,2022-05-02,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-03 04:30:00+00:00,2022-05-03 04:35:00,2022-05-03 06:35:00,-1,1862.3,1860.06,2.6848520646512375,12.028137249637805,9.046133516484083,24,asia,spread_le_99,range_le_90,True,False,4,1,20.474844423427157,2.68698745714255,2022-05-03,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-03 18:45:00+00:00,2022-05-03 18:50:00,2022-05-03 20:50:00,1,1869.55,1867.83,2.6744403733518762,-9.200074884330167,-12.182078617483889,24,new_york,spread_le_99,range_le_90,True,False,18,1,22.791108257764172,2.675012706310355,2022-05-03,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-04 23:00:00+00:00,2022-05-04 23:05:00,2022-05-05 01:05:00,1,1884.21,1898.33,2.6536320261541975,74.93856841859437,71.95656468544065,24,late_us,spread_le_99,range_le_90,True,True,23,2,22.737632106172356,2.650073672048083,2022-05-04,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-05 02:30:00+00:00,2022-05-05 02:35:00,2022-05-05 04:35:00,1,1900.88,1900.29,2.6303606750557633,-3.103825596566523,-6.085829329720244,24,asia,spread_le_99,range_le_50,True,False,2,3,9.676927365194329,2.6295998274982515,2022-05-05,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-05 09:45:00+00:00,2022-05-05 09:50:00,2022-05-05 11:50:00,1,1897.71,1897.39,2.634754519921379,-1.6862428927488793,-4.668246625902601,24,london,spread_le_99,range_le_90,True,False,9,3,18.60568079398279,2.6353655515556564,2022-05-05,2022
S51_VSQ_CW48_P20_B5_M3040_H24,2022-05-05 11:00:00+00:00,2022-05-05 11:05:00,2022-05-05 13:05:00,1,1899.92,1905.63,2.63168975535812,30.053897006190322,27.0718932730366,24,london,spread_le_99,range_le_90,True,False,11,3,25.532631756276075,2.6322300779666548,2022-05-05,2022
