family_id,candidate_count,best_candidate_id,best_mean_net_bps,best_oos_mean_net_bps,best_residual_vs_benchmark_bps,best_bootstrap_mean_p05_bps,best_worst_quarter_mean_net_bps,positive_mean_net_count,positive_oos_count
EXTCTX_A_DXY_YIELD_TREND_FILTER,72,EXTCTX_A_LONG_H8_Q0.75_avoid_exclude,-10.819902352342146,-8.862651965584801,0.37336840908258395,-11.62568796293317,-21.44769890770796,0,0
EXTCTX_C_REFERENCE_FEED_SANITY,12,EXTCTX_C_LONG_H4_lagged_reference_sign_exclude,-11.531270017902765,-10.07733827022114,-0.04393987589736348,-12.158714616998441,-20.43022991428086,0,0
EXTCTX_D_COMPOSITE_CONTEXT_SCORE,48,EXTCTX_D_LONG_H4_T2_REAL1_exclude,-11.4821942682904,-10.043389967951427,0.005135873715001793,-12.318395073648254,-19.302878252393644,0,0
