family,name,london_move_atr_min,eff_min,ny_cont_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e13_tp0.4_sl0.5,1.2,0.6,0.0,13,90,0.4,0.5,proxy_m15,147,0.6076,0.2429,-100.6852,-255.0352,0.5691,0.517,0.7142,0.5294,0.3684,2022-05-02 13:15:00,2026-05-04 13:15:00,3.45945
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h90_e15_tp0.6_sl0.65,0.9,0.72,0.0,15,90,0.6,0.65,proxy_m15,99,0.6642,0.439,-108.9396,-212.8896,-2.0107,0.4747,0.6204,1.2683,0.4431,2022-05-09 15:15:00,2026-05-15 15:15:00,3.44965
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h90_e15_tp0.6_sl0.65,0.9,0.72,0.2,15,90,0.6,0.65,proxy_m15,75,0.6694,0.4383,-80.1997,-158.9497,-1.9973,0.4933,0.7739,1.4381,0.4271,2022-05-09 15:15:00,2026-05-04 15:15:00,3.44685
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h90_e15_tp0.4_sl0.5,0.9,0.72,0.0,15,90,0.4,0.5,proxy_m15,99,0.6616,0.366,-78.9129,-182.8629,-1.6275,0.4848,0.7303,1.6687,0.3866,2022-05-09 15:15:00,2026-05-15 15:15:00,3.42485
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h90_e15_tp0.4_sl0.5,1.2,0.72,0.0,15,90,0.4,0.5,proxy_m15,97,0.6622,0.3688,-77.8828,-179.7328,-1.6275,0.4845,0.7303,1.6687,0.3687,2022-05-09 15:15:00,2026-05-15 15:15:00,3.39845
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h90_e15_tp0.6_sl0.65,1.2,0.72,0.0,15,90,0.6,0.65,proxy_m15,97,0.663,0.44,-108.2071,-210.0571,-2.0107,0.4742,0.6204,1.2683,0.3917,2022-05-09 15:15:00,2026-05-15 15:15:00,3.38435
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h180_e15_tp0.6_sl0.65,0.9,0.72,0.0,15,180,0.6,0.65,proxy_m15,99,0.645,0.4285,-118.2799,-222.2299,-2.0186,0.4646,0.6204,1.2683,0.4222,2022-05-09 15:15:00,2026-05-15 15:15:00,3.37985
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h180_e15_tp0.4_sl0.5,0.9,0.72,0.0,15,180,0.4,0.5,proxy_m15,99,0.6404,0.3569,-86.3147,-190.2647,-1.6336,0.4747,0.7303,1.6687,0.367,2022-05-09 15:15:00,2026-05-15 15:15:00,3.35375
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h180_e15_tp0.6_sl0.65,0.9,0.72,0.2,15,180,0.6,0.65,proxy_m15,75,0.6438,0.4243,-89.5401,-168.2901,-2.0107,0.48,0.7739,1.4381,0.387,2022-05-09 15:15:00,2026-05-04 15:15:00,3.34155
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h180_e15_tp0.4_sl0.5,1.2,0.72,0.0,15,180,0.4,0.5,proxy_m15,97,0.6407,0.3594,-85.2846,-187.1346,-1.6336,0.4742,0.7303,1.6687,0.3595,2022-05-09 15:15:00,2026-05-15 15:15:00,3.33685
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h180_e15_tp0.6_sl0.65,1.2,0.72,0.0,15,180,0.6,0.65,proxy_m15,97,0.6436,0.4293,-117.5474,-219.3974,-2.0186,0.4639,0.6204,1.2683,0.3913,2022-05-09 15:15:00,2026-05-15 15:15:00,3.33445
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h180_e13_tp0.4_sl0.5,1.2,0.6,0.0,13,180,0.4,0.5,proxy_m15,147,0.5682,0.2313,-119.7624,-274.1123,0.6011,0.5238,0.5991,0.373,0.3525,2022-05-02 13:15:00,2026-05-04 13:15:00,3.23805
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.0_h90_e13_tp0.4_sl0.5,0.9,0.6,0.0,13,90,0.4,0.5,proxy_m15,151,0.5434,0.2212,-132.5519,-291.1019,0.4574,0.5099,0.5485,0.3535,0.3769,2022-05-02 13:15:00,2026-05-20 13:15:00,3.17715
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h90_e15_tp0.4_sl0.5,0.9,0.72,0.2,15,90,0.4,0.5,proxy_m15,75,0.5837,0.3149,-77.2064,-155.9564,-1.6336,0.48,0.727,1.2264,0.3186,2022-05-09 15:15:00,2026-05-04 15:15:00,2.99665
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.0_h180_e13_tp0.4_sl0.5,0.9,0.6,0.0,13,180,0.4,0.5,proxy_m15,151,0.4901,0.2043,-165.9322,-324.4822,0.5691,0.5166,0.4384,0.2413,0.362,2022-05-02 13:15:00,2026-05-20 13:15:00,2.92865
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h180_e15_tp0.4_sl0.5,0.9,0.72,0.2,15,180,0.4,0.5,proxy_m15,75,0.56,0.305,-84.6082,-163.3582,-1.655,0.4667,0.727,1.2264,0.306,2022-05-09 15:15:00,2026-05-04 15:15:00,2.92675
