candidate,year,n,mean_final_bps,median_final_bps,hit_rate_pct,median_mae_bps,median_mfe_bps
BB_LOWER_REV_LONG_W120_K2.5,2022,17,-2.1518990266106477,-26.978965270814115,35.294117647058826,-104.26215126447369,137.33746400209412
BB_LOWER_REV_LONG_W120_K2.5,2023,19,41.810542373628145,27.4290149679568,73.68421052631578,-59.99269385717931,114.76488340764979
BB_LOWER_REV_LONG_W120_K2.5,2024,18,46.168437900677645,49.204282757161494,61.111111111111114,-36.74426885933502,140.58785858203638
BB_LOWER_REV_LONG_W120_K2.5,2025,17,111.04807471497818,182.5591562463136,70.58823529411765,-59.08902763353985,205.79505813513643
BB_LOWER_REV_LONG_W120_K2.5,2026,9,15.939109469066157,-26.84155883619144,44.44444444444444,-356.61292238577056,125.84349961289654
BB_LOWER_REV_LONG_W24_K2,2022,21,32.99960921628241,15.364614111805786,57.14285714285714,-125.41387188603426,167.20869701675855
BB_LOWER_REV_LONG_W24_K2,2023,33,9.517203104048424,44.85506806642725,51.515151515151516,-100.83721133707813,136.56261176624662
BB_LOWER_REV_LONG_W24_K2,2024,32,19.577583992166883,1.9526479186016132,50.0,-116.45530800707294,126.00013610210237
BB_LOWER_REV_LONG_W24_K2,2025,33,105.55644565125763,106.04338730809016,60.60606060606061,-88.46464010189293,183.34703640032757
BB_LOWER_REV_LONG_W24_K2,2026,13,146.62245847731452,206.00412490438646,61.53846153846154,-135.73609379006646,476.68155262249326
RANGE_BOTTOM_REV_LONG_W48_Q0.05,2022,27,5.202684525434963,14.53715049571036,51.85185185185185,-108.27245035842759,121.13624443805371
RANGE_BOTTOM_REV_LONG_W48_Q0.05,2023,39,29.398329368430932,31.04748807067903,56.41025641025641,-75.85566020005375,95.76999660045882
RANGE_BOTTOM_REV_LONG_W48_Q0.05,2024,34,47.45645127120109,37.670820080736306,67.64705882352942,-53.73550549275352,110.92649420634815
RANGE_BOTTOM_REV_LONG_W48_Q0.05,2025,32,104.27865602033854,135.23877836411845,78.125,-68.8501029100852,188.94267903603713
RANGE_BOTTOM_REV_LONG_W48_Q0.05,2026,13,57.016770062685396,65.30687381068212,61.53846153846154,-269.17441687364317,205.13823067433324
RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,2022,19,-15.355357357277452,23.996934052652463,52.63157894736842,-139.57107425959347,152.48531612875428
RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,2023,30,58.87665104866524,42.23140720045593,56.666666666666664,-78.04973979974316,151.25774409704974
RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,2024,34,70.55775115863452,60.31323848106341,70.58823529411765,-99.615579273869,170.5830435875022
RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,2025,33,126.37084912372056,144.6328434690125,66.66666666666666,-118.16780189792375,303.05390854153734
RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,2026,11,-89.31974846539919,-57.69943481886419,45.45454545454545,-283.4689868088669,227.28969699415512
