signal_time,entry_time,exit_time,direction,entry,exit,tp,sl,gross,net_x1,net_x4,exit_reason,family,candidate,entry_time_dt,year,month,net_x2,net_x6,net_x8,entry_timestamp,direction_norm,pnl_x1_norm,pnl_x4_norm,pnl_x6_norm,date,day_open,day_high,day_low,day_close,day_range,day_dir,prior_day_range,prior_day_dir,prior_day_close,asia_open,asia_high,asia_low,asia_close,asia_range,asia_dir,london_open,london_high,london_low,london_close,london_range,london_move,london_dir,london_eff,early_ny_high,early_ny_low,early_ny_range,trade_dir_num,align_london,align_prior_day,entry_hour
2022-05-09 13:00:00,2022-05-09 13:01:00,2022-05-09 13:17:00,short,1863.37,1860.56457,1860.56457,1866.40921,2.80543,2.45543,1.40543,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-05-09 13:01:00,2022,2022-05,2.10543,0.7054300000000002,0.00543,2022-05-09 13:01:00+00:00,short,2.45543,1.40543,0.7054300000000002,2022-05-09,1882.94,1885.49,1851.49,1853.47,34.0,-1.0,26.449999999999818,1.0,1881.34,1882.94,1885.49,1873.64,1874.84,11.849999999999909,-1.0,1874.89,1876.02,1862.13,1863.59,13.889999999999873,-11.300000000000182,-1.0,0.8135349172066441,1863.9,1855.98,7.920000000000073,-1,1.0,0.0,13
2022-05-10 13:00:00,2022-05-10 13:01:00,2022-05-10 14:25:00,short,1857.5,1860.18729,1855.01943,1860.18729,-2.68729,-3.03729,-4.087289999999999,sl_conservative,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-05-10 13:01:00,2022,2022-05,-3.38729,-4.78729,-5.48729,2022-05-10 13:01:00+00:00,short,-3.03729,-4.087289999999999,-4.78729,2022-05-10,1853.96,1865.24,1835.3,1838.03,29.940000000000055,-1.0,34.0,-1.0,1853.47,1853.96,1864.27,1852.11,1864.21,12.160000000000082,1.0,1864.2,1865.24,1857.33,1857.46,7.910000000000082,-6.740000000000009,-1.0,0.8520859671302072,1864.32,1856.07,8.25,-1,1.0,1.0,13
2022-06-02 13:00:00,2022-06-02 13:01:00,2022-06-02 13:20:00,long,1853.68,1855.321,1855.321,1851.90225,1.641,1.291,0.2410000000000001,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-06-02 13:01:00,2022,2022-06,0.941,-0.4589999999999996,-1.1589999999999998,2022-06-02 13:01:00+00:00,long,1.291,0.2410000000000001,-0.4589999999999996,2022-06-02,1846.6,1870.28,1843.92,1868.36,26.3599999999999,1.0,21.49000000000001,1.0,1846.08,1846.6,1848.77,1843.92,1844.65,4.849999999999909,-1.0,1844.64,1854.78,1843.92,1853.88,10.8599999999999,9.240000000000009,1.0,0.8508287292817767,1856.8,1853.6,3.2000000000000455,1,1.0,1.0,13
2022-07-14 13:00:00,2022-07-14 13:01:00,2022-07-14 13:11:00,short,1716.51,1713.693,1713.693,1719.56175,2.817,2.467,1.4170000000000005,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-07-14 13:01:00,2022,2022-07,2.117,0.7170000000000005,0.0170000000000003,2022-07-14 13:01:00+00:00,short,2.467,1.4170000000000005,0.7170000000000005,2022-07-14,1735.23,1736.22,1697.41,1709.68,38.809999999999945,-1.0,38.049999999999955,1.0,1735.34,1735.23,1736.22,1725.3,1731.83,10.920000000000073,-1.0,1731.82,1732.09,1712.06,1716.42,20.029999999999973,-15.399999999999864,-1.0,0.7688467299051365,1716.51,1709.77,6.740000000000009,-1,1.0,0.0,13
2022-08-05 13:00:00,2022-08-05 13:01:00,2022-08-05 13:42:00,short,1786.5,1784.60571,1784.60571,1788.55214,1.89429,1.5442900000000002,0.4942900000000001,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-08-05 13:01:00,2022,2022-08,1.19429,-0.2057099999999996,-0.9057099999999998,2022-08-05 13:01:00+00:00,short,1.5442900000000002,0.4942900000000001,-0.2057099999999996,2022-08-05,1790.51,1794.72,1764.78,1773.8,29.940000000000055,-1.0,31.680000000000064,1.0,1791.0,1790.51,1794.72,1788.62,1791.99,6.100000000000136,1.0,1791.97,1792.75,1785.18,1786.38,7.569999999999936,-5.589999999999918,-1.0,0.7384412153236414,1788.36,1783.69,4.669999999999845,-1,1.0,0.0,13
2022-08-15 13:00:00,2022-08-15 13:01:00,2022-08-15 13:10:00,short,1779.9,1777.72843,1777.72843,1782.25254,2.17157,1.82157,0.7715700000000001,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-08-15 13:01:00,2022,2022-08,1.47157,0.0715700000000003,-0.6284299999999998,2022-08-15 13:01:00+00:00,short,1.82157,0.7715700000000001,0.0715700000000003,2022-08-15,1802.09,1802.09,1772.78,1779.29,29.309999999999945,-1.0,17.24000000000001,1.0,1801.4,1802.09,1802.09,1793.75,1795.25,8.339999999999918,-1.0,1795.25,1795.29,1777.63,1779.41,17.659999999999854,-15.839999999999918,-1.0,0.8969422423556086,1780.73,1772.78,7.9500000000000455,-1,1.0,0.0,13
2022-08-18 13:00:00,2022-08-18 13:01:00,2022-08-18 14:16:00,long,1769.27,1770.84157,1770.84157,1767.56746,1.57157,1.2215699999999998,0.17157,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-08-18 13:01:00,2022,2022-08,0.87157,-0.5284299999999997,-1.22843,2022-08-18 13:01:00+00:00,long,1.2215699999999998,0.17157,-0.5284299999999997,2022-08-18,1762.16,1772.24,1755.15,1758.23,17.089999999999918,-1.0,22.449999999999818,-1.0,1761.9,1762.16,1767.38,1761.62,1762.24,5.760000000000218,1.0,1762.27,1768.86,1760.72,1768.75,8.139999999999873,6.480000000000018,1.0,0.7960687960688108,1772.24,1768.28,3.9600000000000364,1,1.0,0.0,13
2022-08-26 13:00:00,2022-08-26 13:01:00,2022-08-26 13:05:00,short,1749.58,1747.918,1747.918,1751.3805,1.662,1.3119999999999998,0.262,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-08-26 13:01:00,2022,2022-08,0.962,-0.4379999999999997,-1.138,2022-08-26 13:01:00+00:00,short,1.3119999999999998,0.262,-0.4379999999999997,2022-08-26,1758.35,1758.71,1733.97,1736.57,24.74000000000001,-1.0,15.519999999999982,1.0,1758.46,1758.35,1758.71,1752.13,1757.34,6.579999999999927,-1.0,1757.32,1758.61,1749.11,1749.68,9.5,-7.639999999999873,-1.0,0.804210526315776,1749.87,1743.55,6.319999999999936,-1,1.0,0.0,13
2022-09-20 13:00:00,2022-09-20 13:01:00,2022-09-20 14:18:00,short,1667.52,1669.56564,1665.63171,1669.56564,-2.04564,-2.39564,-3.44564,sl_conservative,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-09-20 13:01:00,2022,2022-09,-2.74564,-4.14564,-4.84564,2022-09-20 13:01:00+00:00,short,-2.39564,-3.44564,-4.14564,2022-09-20,1675.56,1679.28,1659.79,1664.7,19.49000000000001,-1.0,20.230000000000018,1.0,1675.52,1675.56,1679.28,1673.25,1676.81,6.029999999999973,1.0,1676.85,1677.05,1666.42,1667.6,10.629999999999882,-9.25,-1.0,0.8701787394167547,1670.12,1665.97,4.149999999999864,-1,1.0,0.0,13
2022-10-10 13:00:00,2022-10-10 13:01:00,2022-10-10 14:41:00,short,1679.99,1677.39329,1677.39329,1682.80311,2.59671,2.24671,1.19671,tp,london_oneway_continuation,S23B_A_pb0.1_eff0.72_h180_tp0.6_sl0.65,2022-10-10 13:01:00,2022,2022-10,1.89671,0.4967100000000002,-0.2032899999999999,2022-10-10 13:01:00+00:00,short,2.24671,1.19671,0.4967100000000002,2022-10-10,1696.11,1699.72,1665.49,1667.89,34.23000000000002,-1.0,24.230000000000018,-1.0,1694.83,1696.11,1699.72,1687.02,1688.71,12.700000000000045,-1.0,1688.69,1689.4,1677.88,1680.3,11.519999999999982,-8.3900000000001,-1.0,0.7282986111111209,1681.44,1673.94,7.5,-1,1.0,1.0,13
