event_key,entry_ts_norm,source_stage,source_file,family,candidate_name,net_x1,net_x4,net_x6,label_win_x4,label_win_x6,label_strong_win_x4,label_bad_loss_x4,sample_weight_abs_net_x4,prior_day_range,asia_range,asia_eff,london_range,london_eff,h1_range,h1_atr20,h1_atr20_pct_rank_250,direction_num,prior_day_aligned,london_aligned,entry_hour,dow,month,year,dxy_asof_ts,dxy_value,dxy_ret_1,dxy_ret_5,dxy_chg_1,dxy_chg_5,dxy_z60,dxy_rank250,dxy_age_hours,us10y_asof_ts,us10y_value,us10y_ret_1,us10y_ret_5,us10y_chg_1,us10y_chg_5,us10y_z60,us10y_rank250,us10y_age_hours,real_yield_asof_ts,real_yield_value,real_yield_ret_1,real_yield_ret_5,real_yield_chg_1,real_yield_chg_5,real_yield_z60,real_yield_rank250,real_yield_age_hours,vix_asof_ts,vix_value,vix_ret_1,vix_ret_5,vix_chg_1,vix_chg_5,vix_z60,vix_rank250,vix_age_hours,spx_asof_ts,spx_value,spx_ret_1,spx_ret_5,spx_chg_1,spx_chg_5,spx_z60,spx_rank250,spx_age_hours,oil_asof_ts,oil_value,oil_ret_1,oil_ret_5,oil_chg_1,oil_chg_5,oil_z60,oil_rank250,oil_age_hours,macro_event_within_2h,macro_event_within_6h,macro_event_within_24h,stage31e_gate_key,stage31e_source_decision
2026-03-03 13:01:00+00:00|0.0|S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,2026-03-03 13:01:00+00:00,STAGE28B,data/reports/stage28b_ml_meta_feature_screen/stage28b_normalized_lineage_trades.csv,london_oneway_continuation,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,28.28371,27.23371,26.53371,1,1,1,0,27.23371,158.2599999999993,50.46000000000004,0.2964724534284587,140.09999999999943,0.804354032833697,49.88000000000011,34.52399999999993,0.972,0.0,1.0,1.0,13,1,3.0,2026,2026-03-03 00:00:00+00:00,119.4341,0.0064643076845289,0.0126142151131489,0.7670999999999992,1.4878000000000071,0.3387745954341164,0.14,13.016666666666667,2026-03-03 00:00:00+00:00,4.06,0.0024691358024691,0.0049504950495049,0.0099999999999997,0.0199999999999995,-1.360836360903021,0.134,13.016666666666667,2026-03-03 00:00:00+00:00,1.77,0.0056818181818181,-0.0056179775280899,0.01,-0.01,-1.7764076212910214,0.126,13.016666666666667,2026-03-03 00:00:00+00:00,23.57,0.099347014925373,0.205626598465473,2.129999999999999,4.02,2.742206426743217,0.896,13.016666666666667,2026-03-03 00:00:00+00:00,6816.63,-0.0094439971983341,-0.0106588176898057,-64.98999999999978,-73.4399999999996,-1.3290605670474789,0.74,13.016666666666667,2026-03-03 00:00:00+00:00,74.48,0.0470968648952623,0.1350198110332214,3.3500000000000085,8.86,3.420053739311968,0.988,13.016666666666667,0,0,0,candidate_name:S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65|real_yield_z60_le_q20|london_q40_prior_q30,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY
2026-03-03 13:01:00+00:00|-1.0|S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,2026-03-03 13:01:00+00:00,STAGE27B,data/reports/stage27b_db_first_lineage_gate_discovery/stage27b_enriched_lineage_trades.csv,london_oneway_continuation,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,28.28371,27.23371,26.53371,1,1,1,0,27.23371,158.2599999999993,50.46000000000004,0.2964724534284587,140.09999999999943,0.804354032833697,49.88000000000011,34.52399999999993,0.972,-1.0,1.0,1.0,13,1,3.0,2026,2026-03-03 00:00:00+00:00,119.4341,0.0064643076845289,0.0126142151131489,0.7670999999999992,1.4878000000000071,0.3387745954341164,0.14,13.016666666666667,2026-03-03 00:00:00+00:00,4.06,0.0024691358024691,0.0049504950495049,0.0099999999999997,0.0199999999999995,-1.360836360903021,0.134,13.016666666666667,2026-03-03 00:00:00+00:00,1.77,0.0056818181818181,-0.0056179775280899,0.01,-0.01,-1.7764076212910214,0.126,13.016666666666667,2026-03-03 00:00:00+00:00,23.57,0.099347014925373,0.205626598465473,2.129999999999999,4.02,2.742206426743217,0.896,13.016666666666667,2026-03-03 00:00:00+00:00,6816.63,-0.0094439971983341,-0.0106588176898057,-64.98999999999978,-73.4399999999996,-1.3290605670474789,0.74,13.016666666666667,2026-03-03 00:00:00+00:00,74.48,0.0470968648952623,0.1350198110332214,3.3500000000000085,8.86,3.420053739311968,0.988,13.016666666666667,0,0,0,candidate_name:S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65|real_yield_rank250_le_q20|london_q40_prior_q30,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY
2026-03-06 13:01:00+00:00|0.0|S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,2026-03-06 13:01:00+00:00,STAGE28B,data/reports/stage28b_ml_meta_feature_screen/stage28b_normalized_lineage_trades.csv,london_oneway_continuation,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,13.41529,12.36529,11.66529,1,1,1,0,12.36529,143.6899999999996,76.73999999999978,0.5422204847537111,54.25,0.6733640552995345,16.86999999999989,26.76300000000001,0.572,0.0,1.0,1.0,13,4,3.0,2026,2026-03-06 00:00:00+00:00,119.491,-0.0006464924231589,0.0141628537212394,-0.0772999999999939,1.6687000000000012,0.4822905598531657,0.16,13.016666666666667,2026-03-06 00:00:00+00:00,4.15,0.0048426150121065,0.0453400503778338,0.0200000000000004,0.1800000000000001,-0.1403779696069455,0.33,13.016666666666667,2026-03-06 00:00:00+00:00,1.8,-0.0109890109890109,0.0465116279069768,-0.02,0.08,-1.1825060890956136,0.206,13.016666666666667,2026-03-06 00:00:00+00:00,29.49,0.2416842105263157,0.4848942598187311,5.739999999999998,9.63,4.022462658751306,0.948,13.016666666666667,2026-03-06 00:00:00+00:00,6740.02,-0.0132768043146319,-0.0201864256972065,-90.6899999999996,-138.85999999999967,-2.490025789286756,0.676,13.016666666666667,2026-03-06 00:00:00+00:00,90.77,0.1222799208704252,0.3555854241338112,9.89,23.81,4.6292122848642485,1.0,13.016666666666667,0,0,0,candidate_name:S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65|real_yield_rank250_le_q20|london_q40_prior_q30,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY
2026-03-06 13:01:00+00:00|-1.0|S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,2026-03-06 13:01:00+00:00,STAGE25C,data/reports/stage25c_deduped_filter_validation/stage25c_enriched_canonical_trades.csv,london_oneway_continuation,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,13.41529,12.36529,11.66529,1,1,1,0,12.36529,143.6899999999996,76.73999999999978,0.5422204847537111,54.25,0.6733640552995345,16.86999999999989,26.76300000000001,0.572,-1.0,1.0,1.0,13,4,3.0,2026,2026-03-06 00:00:00+00:00,119.491,-0.0006464924231589,0.0141628537212394,-0.0772999999999939,1.6687000000000012,0.4822905598531657,0.16,13.016666666666667,2026-03-06 00:00:00+00:00,4.15,0.0048426150121065,0.0453400503778338,0.0200000000000004,0.1800000000000001,-0.1403779696069455,0.33,13.016666666666667,2026-03-06 00:00:00+00:00,1.8,-0.0109890109890109,0.0465116279069768,-0.02,0.08,-1.1825060890956136,0.206,13.016666666666667,2026-03-06 00:00:00+00:00,29.49,0.2416842105263157,0.4848942598187311,5.739999999999998,9.63,4.022462658751306,0.948,13.016666666666667,2026-03-06 00:00:00+00:00,6740.02,-0.0132768043146319,-0.0201864256972065,-90.6899999999996,-138.85999999999967,-2.490025789286756,0.676,13.016666666666667,2026-03-06 00:00:00+00:00,90.77,0.1222799208704252,0.3555854241338112,9.89,23.81,4.6292122848642485,1.0,13.016666666666667,0,0,0,family:london_oneway_continuation|real_yield_rank250_le_q20|macro_only,STAGE31D_HAS_CONFIRMED_EXOGENOUS_CANDIDATE_REVIEW_ONLY
