candidate_id,family_id,direction,hold_bars,news_mode,entry_time,entry_close,exit_close,gross_bps,round_trip_cost_bps,net_bps,year,quarter,is_news_blackout
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T00:00:00Z,1841.76,1841.91,0.8144383633057473,200.0,-199.18556163669425,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T01:00:00Z,1841.91,1841.76,-0.8143720377218333,200.0,-200.81437203772182,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T02:00:00Z,1841.76,1841.91,0.8144383633057473,0.0,0.8144383633057473,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T03:00:00Z,1841.91,1839.02,-15.690234593438435,0.0,-15.690234593438435,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T04:00:00Z,1839.02,1837.17,-10.059705712824885,0.0,-10.059705712824885,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T05:00:00Z,1837.17,1839.37,11.974939717063204,0.0,11.974939717063204,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T06:00:00Z,1839.37,1841.66,12.449914916521365,0.0,12.449914916521365,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T07:00:00Z,1841.66,1842.21,2.986436149994276,0.0,2.986436149994276,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T08:00:00Z,1842.21,1845.38,17.207593053996106,0.0,17.207593053996106,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T09:00:00Z,1845.38,1846.86,8.020028395234746,0.0,8.020028395234746,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T10:00:00Z,1846.86,1844.33,-13.69892682715479,0.0,-13.69892682715479,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-20T11:00:00Z,1844.33,1844.82,2.656791355126753,0.0,2.656791355126753,2022,2022Q2,False
