feature,valid_count,coverage_pct,profile
dxy_slope_5d_lag1,101913,0.9943410769515967,"{'n': 101913, 'min': -292.5044122227216, 'p10': -85.62024475440744, 'p25': -45.859938431178634, 'median': 0.12466865409344052, 'p75': 47.99642262688586, 'p90': 89.30574398307911, 'p95': 111.13570917043569, 'p99': 186.77444470689198, 'max': 275.4570819707802, 'mean': 0.4289258904546117}"
us10y_ret_1d_lag1,102297,0.9980876742801947,"{'n': 102297, 'min': -30.00000000000003, 'p10': -8.000000000000007, 'p25': -4.0000000000000036, 'median': 0.0, 'p75': 4.0000000000000036, 'p90': 8.000000000000007, 'p95': 10.000000000000009, 'p99': 14.999999999999991, 'max': 28.000000000000025, 'mean': 0.08245598600154468}"
real_yield_ret_1d_lag1,102297,0.9980876742801947,"{'n': 102297, 'min': -27.0, 'p10': -6.000000000000005, 'p25': -3.0000000000000027, 'median': 0.0, 'p75': 3.0000000000000027, 'p90': 6.999999999999984, 'p95': 9.00000000000003, 'p99': 14.000000000000012, 'max': 29.999999999999993, 'mean': 0.13085427725153229}"
gc_ret_1d_reference_lag1,102297,0.9980876742801947,"{'n': 102297, 'min': -1136.6200569716557, 'p10': -119.3559840957059, 'p25': -46.89928608903826, 'median': 9.181894164049798, 'p75': 71.98751776515965, 'p90': 138.68128872947193, 'p95': 188.23992323959925, 'p99': 304.86749060769205, 'max': 608.3292489183334, 'mean': 9.373119080363152}"
is_news_blackout,102493,1.0,{'true_pct': 0.0}
