candidate_id,family_id,direction,hold_bars,news_mode,params_json,event_count,mean_gross_bps,mean_cost_bps,mean_net_bps,median_net_bps,win_rate,total_net_bps,train_event_count,train_mean_net_bps,oos_event_count,oos_mean_net_bps,quarter_count,worst_quarter_mean_net_bps,best_quarter_mean_net_bps,max_year_event_pct,benchmark_mean_net_bps,residual_vs_benchmark_bps,bootstrap_mean_p05_bps,classification
EXTCTX_A_LONG_H4_Q0.50_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.5}",7363,-0.04795882876033832,11.331902272956421,-11.37986110171676,-0.5213628424693972,0.4848567160124949,-83789.9172919405,4521,-11.943138113250736,2842,-10.48381065514916,17,-20.027516902173947,-7.085383594867715,0.28738286024718185,-11.487330142005401,0.10746904028864179,-12.18318804269161,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.50_confirm_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,tag_only,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.5}",7363,-0.04795882876033832,11.331902272956421,-11.37986110171676,-0.5213628424693972,0.4848567160124949,-83789.9172919405,4521,-11.943138113250736,2842,-10.48381065514916,17,-20.027516902173947,-7.085383594867715,0.28738286024718185,-11.487330142005401,0.10746904028864179,-12.430403272415106,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_D_LONG_H4_T2_REAL1_exclude,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,exclude,"{""threshold"": 2, ""use_real_yield"": true}",9594,-0.03399077589285186,11.448203492397546,-11.4821942682904,-0.5436783342244178,0.48551177819470503,-110160.17180997808,6091,-12.309666188186544,3503,-10.043389967951427,17,-19.302878252393644,-7.490753301248384,0.26579111944965605,-11.487330142005401,0.005135873715001793,-12.318395073648254,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_D_LONG_H4_T2_REAL1_tag_only,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,tag_only,"{""threshold"": 2, ""use_real_yield"": true}",9594,-0.03399077589285186,11.448203492397546,-11.4821942682904,-0.5436783342244178,0.48551177819470503,-110160.17180997808,6091,-12.309666188186544,3503,-10.043389967951427,17,-19.302878252393644,-7.490753301248384,0.26579111944965605,-11.487330142005401,0.005135873715001793,-12.278153997961882,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_C_LONG_H4_lagged_reference_sign_exclude,EXTCTX_C_REFERENCE_FEED_SANITY,long,4,exclude,"{""confirm_mode"": ""lagged_reference_sign""}",13993,0.13822938810620186,11.669499406008967,-11.531270017902765,-0.42449145923328935,0.48645751447152147,-161357.06136051338,8817,-12.384797377095245,5176,-10.07733827022114,17,-20.43022991428086,-7.641585693852356,0.26877724576574,-11.487330142005401,-0.04393987589736348,-12.158714616998441,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_C_LONG_H4_lagged_reference_sign_tag_only,EXTCTX_C_REFERENCE_FEED_SANITY,long,4,tag_only,"{""confirm_mode"": ""lagged_reference_sign""}",13993,0.13822938810620186,11.669499406008967,-11.531270017902765,-0.42449145923328935,0.48645751447152147,-161357.06136051338,8817,-12.384797377095245,5176,-10.07733827022114,17,-20.43022991428086,-7.641585693852356,0.26877724576574,-11.487330142005401,-0.04393987589736348,-12.265503709522013,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.25_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.25}",22020,-0.4308047042338002,11.32413267490877,-11.754937379142566,-1.4796273199768617,0.45499545867393276,-258843.72108871932,14140,-12.098818798484125,7880,-11.137870974385002,17,-18.341431462432585,-9.298727549151858,0.2598092643051771,-12.193059299741574,0.43812192059900745,-12.258137240977966,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.25_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.25}",22020,-0.4308047042338002,11.32413267490877,-11.754937379142566,-1.4796273199768617,0.45499545867393276,-258843.72108871932,14140,-12.098818798484125,7880,-11.137870974385002,17,-18.341431462432585,-9.298727549151858,0.2598092643051771,-12.193059299741574,0.43812192059900745,-12.279860767371895,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_D_LONG_H4_T3_REAL0_exclude,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,exclude,"{""threshold"": 3, ""use_real_yield"": false}",4492,-0.3328084436707414,11.435409746597104,-11.768218190267845,-0.7455917726956196,0.47996438112199463,-52862.83611068316,2881,-11.738510394582692,1611,-11.821345539348494,17,-20.983914085747944,-6.911846807950254,0.27203918076580585,-11.487330142005401,-0.28088804826244385,-12.908492844616678,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_D_LONG_H4_T3_REAL0_tag_only,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,tag_only,"{""threshold"": 3, ""use_real_yield"": false}",4492,-0.3328084436707414,11.435409746597104,-11.768218190267845,-0.7455917726956196,0.47996438112199463,-52862.83611068316,2881,-11.738510394582692,1611,-11.821345539348494,17,-20.983914085747944,-6.911846807950254,0.27203918076580585,-11.487330142005401,-0.28088804826244385,-12.894316950262496,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
