gate_name,split,bucket,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,years_positive_x4,year_count
h1_atr_drop_low30,year,2022,7,1.867030045065046,0.7175480091299133,0.23722325357719065,0.0,1.0312900000000005,-2.253449999999999,0.7142857142857143,0,1
h1_atr_drop_low30,year,2023,13,4.9764230231099535,1.955104198853298,0.7535794204003994,0.0,1.0407100000000002,6.954830000000003,0.8461538461538461,1,1
h1_atr_drop_low30,year,2024,21,6.548028305027042,3.178302921587391,1.621207843742384,0.0,1.33,21.785360000000004,0.9047619047619048,1,1
h1_atr_drop_low30,year,2025,14,8.357702646093696,5.681575471832087,4.3904594085919655,0.0,3.7242100000000002,52.745999999999995,0.8571428571428571,1,1
h1_atr_drop_low30,year,2026,4,inf,inf,inf,0.0,10.987645,58.52157,1.0,1,1
h1_atr_drop_low30,direction,-1,28,10.51883763168609,6.38306242012094,4.610957979210494,2.407684996169184,1.3735000000000004,90.30281,0.8571428571428571,5,5
h1_atr_drop_low30,direction,1,31,6.144013605660882,3.4023217490577067,2.1406622631547254,1.4954161490847098,1.5618600000000002,47.4515,0.8709677419354839,4,5
h1_atr_drop_low30,entry_hour,13,59,8.099913572772188,4.77122765155549,3.2880333257503866,2.463380416689747,1.44014,137.75431000000003,0.864406779661017,4,5
h1_atr_drop_low30,year_direction,2022/-1,5,3.31900503970963,1.2590874123156186,0.42821353688235103,0.0,1.0522900000000002,0.9665800000000009,0.8,1,1
h1_atr_drop_low30,year_direction,2022/1,2,0.6497125843638388,0.24189280181567346,0.06618143451387186,0.0,-1.6100149999999998,-3.2200299999999995,0.5,0,1
h1_atr_drop_low30,year_direction,2023/-1,7,5.527561554270118,2.1376150386216093,0.8037484720901813,0.0,1.0471400000000002,4.061900000000001,0.8571428571428571,1,1
h1_atr_drop_low30,year_direction,2023/1,6,4.454417351505517,1.7795112645201971,0.7052683560402099,0.0,0.9524250000000001,2.8929300000000007,0.8333333333333334,1,1
h1_atr_drop_low30,year_direction,2024/-1,8,5.676026568438785,2.904196742068633,1.6435286832179254,0.0,1.7390700000000001,9.14361,0.875,1,1
h1_atr_drop_low30,year_direction,2024/1,13,7.336506597577875,3.4314564600663564,1.6003729287621316,0.0,1.18857,12.641750000000002,0.9230769230769231,1,1
h1_atr_drop_low30,year_direction,2025/-1,5,9.963708041045857,6.8256550856218245,5.415091143627765,0.0,5.122859999999999,27.21915,0.8,1,1
h1_atr_drop_low30,year_direction,2025/1,9,7.308466334681834,4.870971410720866,3.6358262400214967,0.0,3.63271,25.526850000000003,0.8888888888888888,1,1
h1_atr_drop_low30,year_direction,2026/-1,3,inf,inf,inf,0.0,12.36529,48.91157,1.0,1,1
h1_atr_drop_low30,year_direction,2026/1,1,inf,inf,inf,0.0,9.61,9.61,1.0,1,1
h1_atr_drop_low30,dow,0,14,3.901501409486457,2.2655730617734653,1.5183768578386099,0.0,1.22457,18.44269,0.7857142857142857,4,5
h1_atr_drop_low30,dow,1,9,16.80779838168672,11.232761665050756,8.726766425490807,0.0,1.6244300000000005,47.81043,0.8888888888888888,4,4
h1_atr_drop_low30,dow,2,10,12.699760635199777,6.56032129682772,4.087809561767425,0.0,1.217715,20.63552,0.9,4,5
h1_atr_drop_low30,dow,3,11,3.9393818995800474,1.918500899109329,1.0348324791825272,0.0,1.4170000000000005,8.055060000000001,0.8181818181818182,4,4
h1_atr_drop_low30,dow,4,15,16.608587298964235,9.91549662419666,6.8727130295066,0.0,1.849,42.810610000000004,0.9333333333333333,4,4
